# trial: trial_001.csv
# date: 2026-08-01T16:20:56
# note: bench smoke test 2, robot at rest, USB power
# self-balancing-robot fw2 ��� motors DISARMED at boot
# no EEPROM settings, using defaults
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=0.00 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1515,107.09,107.27,0.05,0.0,0.0,0.0,0,5000
1534,107.27,107.27,0.02,0.0,0.0,0.0,0,5000
1555,107.15,107.27,-0.06,0.0,0.0,0.0,0,5004
1575,107.47,107.27,-0.05,0.0,0.0,0.0,0,5000
1595,107.09,107.27,0.00,0.0,0.0,0.0,0,5004
1615,107.35,107.27,0.05,0.0,0.0,0.0,0,5004
1635,107.49,107.27,0.06,0.0,0.0,0.0,0,5000
1655,107.45,107.27,-0.05,0.0,0.0,0.0,0,5004
1675,107.42,107.27,0.03,0.0,0.0,0.0,0,5000
1695,107.26,107.27,-0.08,0.0,0.0,0.0,0,5004
1715,107.57,107.28,0.00,0.0,0.0,0.0,0,5004
1735,107.52,107.29,0.00,0.0,0.0,0.0,0,5000
1755,107.35,107.29,0.08,0.0,0.0,0.0,0,5004
1775,107.46,107.29,-0.02,0.0,0.0,0.0,0,5004
1795,107.53,107.30,0.02,0.0,0.0,0.0,0,5000
1815,107.28,107.30,-0.03,0.0,0.0,0.0,0,5000
1836,107.33,107.30,-0.02,0.0,0.0,0.0,0,5000
1855,107.44,107.30,-0.08,0.0,0.0,0.0,0,5004
1875,107.25,107.30,0.08,0.0,0.0,0.0,0,5004
1895,107.21,107.30,-0.05,0.0,0.0,0.0,0,5004
1915,107.39,107.30,-0.05,0.0,0.0,0.0,0,5004
1935,107.33,107.31,0.00,0.0,0.0,0.0,0,5000
1955,107.58,107.31,0.03,0.0,0.0,0.0,0,5000
1975,107.48,107.32,-0.03,0.0,0.0,0.0,0,5000
1995,107.52,107.33,0.06,0.0,0.0,0.0,0,5000
2015,107.40,107.34,0.03,0.0,0.0,0.0,0,5000
2035,107.38,107.34,-0.06,0.0,0.0,0.0,0,5004
2055,107.27,107.34,0.02,0.0,0.0,0.0,0,5000
2075,107.20,107.34,-0.02,0.0,0.0,0.0,0,5004
2096,107.38,107.34,0.08,0.0,0.0,0.0,0,5004
2115,107.65,107.35,0.02,0.0,0.0,0.0,0,5000
2136,107.29,107.35,0.06,0.0,0.0,0.0,0,5000
2155,107.38,107.35,-0.06,0.0,0.0,0.0,0,5004
2176,107.35,107.36,0.03,0.0,0.0,0.0,0,5000
2195,107.23,107.35,-0.02,0.0,0.0,0.0,0,5004
2215,107.34,107.34,0.03,0.0,0.0,0.0,0,5004
2235,107.20,107.33,-0.05,0.0,0.0,0.0,0,5004
2255,107.19,107.33,0.00,0.0,0.0,0.0,0,5000
2275,107.26,107.33,0.00,0.0,0.0,0.0,0,5004
2295,107.42,107.33,0.03,0.0,0.0,0.0,0,5004
2315,107.44,107.33,0.06,0.0,0.0,0.0,0,5000
2335,107.34,107.33,0.02,0.0,0.0,0.0,0,5004
2356,107.34,107.33,-0.02,0.0,0.0,0.0,0,5000
2375,107.51,107.33,-0.02,0.0,0.0,0.0,0,5004
2396,107.26,107.33,-0.06,0.0,0.0,0.0,0,5004
2415,107.53,107.34,-0.05,0.0,0.0,0.0,0,5000
2436,107.39,107.33,0.03,0.0,0.0,0.0,0,5004
2455,107.64,107.34,0.00,0.0,0.0,0.0,0,5000
2476,107.32,107.35,0.03,0.0,0.0,0.0,0,5004
2495,107.27,107.35,0.02,0.0,0.0,0.0,0,5000
2515,107.16,107.34,-0.03,0.0,0.0,0.0,0,5000
2535,107.45,107.34,-0.05,0.0,0.0,0.0,0,5000
2555,107.24,107.34,-0.05,0.0,0.0,0.0,0,5004
2575,107.38,107.35,0.08,0.0,0.0,0.0,0,5004
2595,107.45,107.34,-0.05,0.0,0.0,0.0,0,5000
2616,107.12,107.34,-0.02,0.0,0.0,0.0,0,5004
2635,107.38,107.35,-0.11,0.0,0.0,0.0,0,5000
2656,107.28,107.35,0.02,0.0,0.0,0.0,0,5004
2675,107.54,107.35,0.03,0.0,0.0,0.0,0,5000
2696,107.27,107.35,0.02,0.0,0.0,0.0,0,5004
2715,107.34,107.35,0.05,0.0,0.0,0.0,0,5004
2736,107.40,107.35,0.00,0.0,0.0,0.0,0,5000
2755,107.24,107.35,0.00,0.0,0.0,0.0,0,5004
2776,107.21,107.35,0.00,0.0,0.0,0.0,0,5000
2795,107.31,107.35,0.03,0.0,0.0,0.0,0,5000
2816,107.48,107.35,-0.02,0.0,0.0,0.0,0,5004
2835,107.45,107.35,0.02,0.0,0.0,0.0,0,5004
2855,107.45,107.35,0.00,0.0,0.0,0.0,0,5004
2876,107.58,107.35,0.09,0.0,0.0,0.0,0,5000
2895,107.40,107.37,-0.03,0.0,0.0,0.0,0,5000
2916,107.22,107.36,0.03,0.0,0.0,0.0,0,5004
2935,107.26,107.36,0.00,0.0,0.0,0.0,0,5004
2956,107.47,107.36,0.00,0.0,0.0,0.0,0,5000
2975,107.29,107.36,-0.06,0.0,0.0,0.0,0,5004
2996,107.38,107.36,-0.08,0.0,0.0,0.0,0,5004
3015,107.23,107.36,0.03,0.0,0.0,0.0,0,5000
3036,107.17,107.36,0.00,0.0,0.0,0.0,0,5004
3055,107.27,107.35,-0.03,0.0,0.0,0.0,0,5000
3076,107.23,107.34,-0.03,0.0,0.0,0.0,0,5004
3095,107.12,107.33,-0.03,0.0,0.0,0.0,0,5000
3116,107.27,107.33,-0.02,0.0,0.0,0.0,0,5004
3136,107.19,107.33,0.00,0.0,0.0,0.0,0,5004
3155,107.22,107.33,-0.05,0.0,0.0,0.0,0,5004
3176,107.14,107.32,0.00,0.0,0.0,0.0,0,5004
3195,107.35,107.33,0.03,0.0,0.0,0.0,0,5004
3216,107.34,107.32,0.05,0.0,0.0,0.0,0,5004
3235,107.12,107.32,0.05,0.0,0.0,0.0,0,5004
3256,107.41,107.33,0.02,0.0,0.0,0.0,0,5004
3275,107.30,107.33,-0.02,0.0,0.0,0.0,0,5004
3296,107.37,107.33,-0.05,0.0,0.0,0.0,0,5004
3315,107.40,107.33,0.03,0.0,0.0,0.0,0,5000
3336,107.39,107.33,-0.03,0.0,0.0,0.0,0,5004
3355,107.28,107.34,-0.05,0.0,0.0,0.0,0,5000
3376,107.34,107.34,0.06,0.0,0.0,0.0,0,5000
3396,107.38,107.34,0.03,0.0,0.0,0.0,0,5000
3416,107.30,107.34,0.06,0.0,0.0,0.0,0,5000
3436,107.26,107.34,-0.03,0.0,0.0,0.0,0,5000
3456,107.35,107.35,0.00,0.0,0.0,0.0,0,5000
3476,107.24,107.35,0.12,0.0,0.0,0.0,0,5000
3495,107.52,107.35,-0.05,0.0,0.0,0.0,0,5004
3516,107.40,107.36,0.09,0.0,0.0,0.0,0,5000
3535,107.42,107.37,0.03,0.0,0.0,0.0,0,5004
3556,107.17,107.37,0.02,0.0,0.0,0.0,0,5004
3575,107.42,107.37,-0.06,0.0,0.0,0.0,0,5004
3596,107.35,107.37,0.03,0.0,0.0,0.0,0,5000
3615,107.40,107.38,0.00,0.0,0.0,0.0,0,5000
3636,107.54,107.38,0.00,0.0,0.0,0.0,0,5004
3656,107.17,107.39,-0.05,0.0,0.0,0.0,0,5000
3676,107.37,107.38,0.00,0.0,0.0,0.0,0,5004
3696,107.35,107.38,-0.02,0.0,0.0,0.0,0,5004
3716,107.48,107.37,-0.06,0.0,0.0,0.0,0,5004
3736,107.24,107.37,-0.08,0.0,0.0,0.0,0,5004
3756,107.43,107.38,0.00,0.0,0.0,0.0,0,5000
3776,107.51,107.37,-0.02,0.0,0.0,0.0,0,5000
3795,107.54,107.39,0.03,0.0,0.0,0.0,0,5004
3816,107.27,107.40,-0.03,0.0,0.0,0.0,0,5004
3835,107.23,107.39,0.03,0.0,0.0,0.0,0,5000
3856,107.17,107.39,0.05,0.0,0.0,0.0,0,5000
3875,107.34,107.38,-0.03,0.0,0.0,0.0,0,5000
3896,107.27,107.38,0.00,0.0,0.0,0.0,0,5000
3916,107.31,107.38,-0.03,0.0,0.0,0.0,0,5000
3936,107.15,107.37,0.00,0.0,0.0,0.0,0,5000
3956,107.25,107.37,0.00,0.0,0.0,0.0,0,5000
3976,107.42,107.38,0.03,0.0,0.0,0.0,0,5000
3996,107.48,107.38,0.05,0.0,0.0,0.0,0,5004
4016,107.49,107.37,0.00,0.0,0.0,0.0,0,5000
4036,107.22,107.37,0.02,0.0,0.0,0.0,0,5004
4056,107.64,107.37,0.02,0.0,0.0,0.0,0,5004
4076,107.31,107.37,0.08,0.0,0.0,0.0,0,5004
4096,107.39,107.37,-0.09,0.0,0.0,0.0,0,5004
4116,107.38,107.38,0.05,0.0,0.0,0.0,0,5004
4135,107.40,107.38,0.00,0.0,0.0,0.0,0,5000
4156,107.18,107.38,-0.02,0.0,0.0,0.0,0,5000
4176,107.44,107.37,-0.03,0.0,0.0,0.0,0,5004
4196,107.39,107.36,0.00,0.0,0.0,0.0,0,5004
4216,107.27,107.36,0.02,0.0,0.0,0.0,0,5000
4236,107.21,107.35,0.06,0.0,0.0,0.0,0,5004
4256,107.38,107.36,-0.02,0.0,0.0,0.0,0,5000
4276,107.31,107.36,0.02,0.0,0.0,0.0,0,5000
4296,107.39,107.36,0.05,0.0,0.0,0.0,0,5004
4316,107.48,107.36,-0.08,0.0,0.0,0.0,0,5004
4336,107.23,107.35,0.06,0.0,0.0,0.0,0,5004
4356,107.34,107.35,0.00,0.0,0.0,0.0,0,5004
4376,107.57,107.36,0.06,0.0,0.0,0.0,0,5004
4396,107.32,107.36,-0.03,0.0,0.0,0.0,0,5000
4416,107.32,107.38,-0.08,0.0,0.0,0.0,0,5004
4436,107.21,107.37,-0.02,0.0,0.0,0.0,0,5000
4456,107.24,107.36,-0.11,0.0,0.0,0.0,0,5004
4476,107.49,107.37,0.05,0.0,0.0,0.0,0,5000
4496,107.33,107.37,-0.09,0.0,0.0,0.0,0,5004
4516,107.35,107.36,0.06,0.0,0.0,0.0,0,5000
4536,107.39,107.36,0.05,0.0,0.0,0.0,0,5000
4556,107.30,107.35,0.00,0.0,0.0,0.0,0,5000
4576,107.45,107.36,0.09,0.0,0.0,0.0,0,5004
4596,107.36,107.36,-0.03,0.0,0.0,0.0,0,5000
4616,107.39,107.36,0.05,0.0,0.0,0.0,0,5000
