# trial: trial_002.csv
# date: 2026-08-01T17:10:26
# note: bench test 1: gyro recal + rest telemetry, robot flat, USB power
# self-balancing-robot fw2 ��� motors DISARMED at boot
# no EEPROM settings, using defaults
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=0.00 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1515,106.34,106.55,-0.05,0.0,0.0,0.0,0,5004
1534,106.49,106.55,-0.03,0.0,0.0,0.0,0,5004
1555,106.60,106.55,-0.05,0.0,0.0,0.0,0,5004
1574,106.59,106.55,0.02,0.0,0.0,0.0,0,5004
1595,106.49,106.55,-0.08,0.0,0.0,0.0,0,5000
1614,106.37,106.55,0.02,0.0,0.0,0.0,0,5000
1635,106.34,106.54,-0.03,0.0,0.0,0.0,0,5000
1654,106.60,106.54,-0.05,0.0,0.0,0.0,0,5000
1675,106.51,106.54,0.02,0.0,0.0,0.0,0,5000
1694,106.29,106.54,-0.02,0.0,0.0,0.0,0,5000
1715,106.38,106.54,0.00,0.0,0.0,0.0,0,5000
1734,106.65,106.54,-0.03,0.0,0.0,0.0,0,5000
1755,106.66,106.54,-0.06,0.0,0.0,0.0,0,5004
1775,106.44,106.53,-0.08,0.0,0.0,0.0,0,5000
1795,106.65,106.53,-0.08,0.0,0.0,0.0,0,5000
1815,106.53,106.53,0.05,0.0,0.0,0.0,0,5004
1835,106.53,106.53,-0.02,0.0,0.0,0.0,0,5000
1855,106.41,106.53,0.00,0.0,0.0,0.0,0,5000
1874,106.54,106.52,-0.03,0.0,0.0,0.0,0,5000
1895,106.66,106.53,0.06,0.0,0.0,0.0,0,5004
1914,106.41,106.53,0.05,0.0,0.0,0.0,0,5000
1935,106.65,106.53,0.00,0.0,0.0,0.0,0,5004
1954,106.56,106.53,0.02,0.0,0.0,0.0,0,5004
1975,106.72,106.53,-0.02,0.0,0.0,0.0,0,5000
1994,106.30,106.53,-0.02,0.0,0.0,0.0,0,5000
2015,106.35,106.53,0.00,0.0,0.0,0.0,0,5004
2034,106.44,106.52,0.05,0.0,0.0,0.0,0,5000
2055,106.80,106.53,0.09,0.0,0.0,0.0,0,5000
2075,106.74,106.53,-0.06,0.0,0.0,0.0,0,5000
2095,106.54,106.54,0.00,0.0,0.0,0.0,0,5004
2115,106.30,106.53,0.06,0.0,0.0,0.0,0,5000
2135,106.35,106.53,0.00,0.0,0.0,0.0,0,5000
2155,106.48,106.52,-0.02,0.0,0.0,0.0,0,5000
2174,106.47,106.52,-0.03,0.0,0.0,0.0,0,5004
2195,106.63,106.51,0.02,0.0,0.0,0.0,0,5004
2214,106.47,106.51,-0.02,0.0,0.0,0.0,0,5004
2235,106.48,106.51,-0.02,0.0,0.0,0.0,0,5000
2254,106.48,106.52,-0.03,0.0,0.0,0.0,0,5004
2275,106.32,106.51,-0.08,0.0,0.0,0.0,0,5004
2294,106.49,106.51,-0.08,0.0,0.0,0.0,0,5000
2315,106.57,106.52,-0.05,0.0,0.0,0.0,0,5000
2335,106.45,106.52,0.02,0.0,0.0,0.0,0,5000
2355,106.55,106.52,0.03,0.0,0.0,0.0,0,5000
2375,106.45,106.52,-0.05,0.0,0.0,0.0,0,5000
2395,106.48,106.51,0.02,0.0,0.0,0.0,0,5000
2415,106.56,106.52,0.02,0.0,0.0,0.0,0,5004
2435,106.37,106.51,-0.03,0.0,0.0,0.0,0,5000
2455,106.53,106.51,0.02,0.0,0.0,0.0,0,5000
# gyro cal: keep robot STILL...
# gyro cal done
3950,106.26,106.46,-0.05,0.0,0.0,0.0,0,5000
3971,106.64,106.46,-0.06,0.0,0.0,0.0,0,5004
3991,106.53,106.46,0.03,0.0,0.0,0.0,0,5004
4011,106.42,106.48,0.09,0.0,0.0,0.0,0,5004
4031,106.55,106.46,-0.08,0.0,0.0,0.0,0,5004
4050,106.54,106.48,-0.03,0.0,0.0,0.0,0,5000
4071,106.49,106.49,0.00,0.0,0.0,0.0,0,5004
4090,106.61,106.50,-0.06,0.0,0.0,0.0,0,5000
4111,106.34,106.49,0.11,0.0,0.0,0.0,0,5000
4130,106.37,106.50,0.05,0.0,0.0,0.0,0,5004
4151,106.46,106.48,-0.05,0.0,0.0,0.0,0,5000
4170,106.67,106.49,-0.09,0.0,0.0,0.0,0,5004
4191,106.60,106.49,-0.05,0.0,0.0,0.0,0,5000
4210,106.20,106.48,-0.05,0.0,0.0,0.0,0,5000
4231,106.54,106.49,0.06,0.0,0.0,0.0,0,5004
4251,106.45,106.49,-0.05,0.0,0.0,0.0,0,5000
4271,106.67,106.50,0.09,0.0,0.0,0.0,0,5000
4291,106.58,106.52,0.06,0.0,0.0,0.0,0,5004
4311,106.60,106.52,0.05,0.0,0.0,0.0,0,5000
4331,106.45,106.52,0.00,0.0,0.0,0.0,0,5004
4350,106.50,106.52,0.02,0.0,0.0,0.0,0,5004
4371,106.55,106.52,-0.06,0.0,0.0,0.0,0,5000
4390,106.43,106.51,0.00,0.0,0.0,0.0,0,5004
4411,106.72,106.51,-0.03,0.0,0.0,0.0,0,5004
4430,106.39,106.50,-0.05,0.0,0.0,0.0,0,5000
4451,106.58,106.51,0.03,0.0,0.0,0.0,0,5000
4470,106.59,106.51,-0.08,0.0,0.0,0.0,0,5000
4491,106.45,106.50,0.05,0.0,0.0,0.0,0,5000
4511,106.39,106.49,0.02,0.0,0.0,0.0,0,5000
4531,106.41,106.48,0.02,0.0,0.0,0.0,0,5004
4551,106.40,106.48,0.02,0.0,0.0,0.0,0,5004
4571,106.48,106.48,0.08,0.0,0.0,0.0,0,5000
4591,106.60,106.49,0.02,0.0,0.0,0.0,0,5004
4611,106.48,106.48,0.03,0.0,0.0,0.0,0,5004
4631,106.60,106.48,-0.02,0.0,0.0,0.0,0,5004
4651,106.32,106.47,-0.03,0.0,0.0,0.0,0,5004
4671,106.39,106.47,-0.08,0.0,0.0,0.0,0,5000
4690,106.58,106.48,0.02,0.0,0.0,0.0,0,5000
4711,106.64,106.47,-0.02,0.0,0.0,0.0,0,5004
4730,106.58,106.48,0.02,0.0,0.0,0.0,0,5000
4751,106.35,106.47,0.03,0.0,0.0,0.0,0,5000
4771,106.46,106.47,-0.08,0.0,0.0,0.0,0,5004
4791,106.28,106.47,-0.02,0.0,0.0,0.0,0,5004
4811,106.44,106.47,0.02,0.0,0.0,0.0,0,5000
4831,106.58,106.48,0.06,0.0,0.0,0.0,0,5004
4851,106.45,106.48,0.02,0.0,0.0,0.0,0,5000
4871,106.68,106.48,-0.08,0.0,0.0,0.0,0,5000
4891,106.39,106.47,0.02,0.0,0.0,0.0,0,5000
4911,106.45,106.47,-0.02,0.0,0.0,0.0,0,5000
4931,106.42,106.46,-0.02,0.0,0.0,0.0,0,5004
4951,106.46,106.46,0.02,0.0,0.0,0.0,0,5000
4971,106.47,106.45,0.02,0.0,0.0,0.0,0,5004
4990,106.29,106.45,0.02,0.0,0.0,0.0,0,5000
5011,106.41,106.45,0.08,0.0,0.0,0.0,0,5000
5031,106.45,106.44,0.08,0.0,0.0,0.0,0,5004
5051,106.42,106.44,0.00,0.0,0.0,0.0,0,5000
5071,106.47,106.44,0.02,0.0,0.0,0.0,0,5004
5091,106.31,106.44,-0.03,0.0,0.0,0.0,0,5000
5111,106.64,106.44,-0.06,0.0,0.0,0.0,0,5004
5131,106.38,106.44,0.02,0.0,0.0,0.0,0,5000
5151,106.59,106.44,0.03,0.0,0.0,0.0,0,5000
5171,106.24,106.44,0.02,0.0,0.0,0.0,0,5000
5191,106.70,106.45,-0.08,0.0,0.0,0.0,0,5004
5211,106.43,106.44,-0.05,0.0,0.0,0.0,0,5000
5231,106.44,106.45,0.02,0.0,0.0,0.0,0,5000
5251,106.53,106.46,0.02,0.0,0.0,0.0,0,5004
5271,106.62,106.47,0.05,0.0,0.0,0.0,0,5000
5292,106.51,106.47,-0.02,0.0,0.0,0.0,0,5000
5311,106.49,106.47,0.00,0.0,0.0,0.0,0,5000
5331,106.60,106.48,-0.03,0.0,0.0,0.0,0,5000
5351,106.73,106.48,0.09,0.0,0.0,0.0,0,5000
5371,106.40,106.48,0.05,0.0,0.0,0.0,0,5000
5391,106.45,106.48,0.06,0.0,0.0,0.0,0,5000
5411,106.49,106.49,0.05,0.0,0.0,0.0,0,5004
5431,106.41,106.49,-0.05,0.0,0.0,0.0,0,5004
5451,106.54,106.50,0.02,0.0,0.0,0.0,0,5000
5471,106.65,106.51,0.02,0.0,0.0,0.0,0,5004
5491,106.42,106.51,0.02,0.0,0.0,0.0,0,5000
5511,106.67,106.51,-0.05,0.0,0.0,0.0,0,5000
5531,106.51,106.50,0.09,0.0,0.0,0.0,0,5004
5552,106.42,106.50,0.00,0.0,0.0,0.0,0,5000
5571,106.61,106.51,0.00,0.0,0.0,0.0,0,5000
5592,106.50,106.51,0.03,0.0,0.0,0.0,0,5000
5611,106.42,106.50,-0.03,0.0,0.0,0.0,0,5004
5632,106.49,106.51,0.00,0.0,0.0,0.0,0,5000
5651,106.62,106.51,0.00,0.0,0.0,0.0,0,5000
5671,106.60,106.52,0.11,0.0,0.0,0.0,0,5000
5691,106.38,106.51,-0.02,0.0,0.0,0.0,0,5000
5711,106.46,106.52,0.08,0.0,0.0,0.0,0,5004
5731,106.42,106.52,0.02,0.0,0.0,0.0,0,5000
5751,106.81,106.53,0.09,0.0,0.0,0.0,0,5000
5771,106.41,106.53,0.03,0.0,0.0,0.0,0,5004
5791,106.35,106.52,0.03,0.0,0.0,0.0,0,5000
5811,106.29,106.52,0.00,0.0,0.0,0.0,0,5004
5831,106.59,106.51,0.00,0.0,0.0,0.0,0,5004
5852,106.59,106.52,0.00,0.0,0.0,0.0,0,5004
5871,106.61,106.52,-0.05,0.0,0.0,0.0,0,5004
5892,106.53,106.52,-0.11,0.0,0.0,0.0,0,5000
5911,106.60,106.52,-0.03,0.0,0.0,0.0,0,5000
5932,106.22,106.52,0.02,0.0,0.0,0.0,0,5000
5951,106.46,106.52,0.08,0.0,0.0,0.0,0,5000
5971,106.23,106.50,-0.11,0.0,0.0,0.0,0,5004
5991,106.44,106.50,-0.02,0.0,0.0,0.0,0,5004
6011,106.23,106.50,-0.03,0.0,0.0,0.0,0,5000
6031,106.52,106.50,0.05,0.0,0.0,0.0,0,5004
6051,106.54,106.50,0.02,0.0,0.0,0.0,0,5000
6072,106.49,106.50,-0.05,0.0,0.0,0.0,0,5004
6091,106.52,106.51,0.02,0.0,0.0,0.0,0,5004
6112,106.37,106.50,0.00,0.0,0.0,0.0,0,5000
6131,106.54,106.50,0.03,0.0,0.0,0.0,0,5000
6152,106.52,106.51,-0.03,0.0,0.0,0.0,0,5004
6171,106.09,106.50,0.02,0.0,0.0,0.0,0,5004
6192,106.50,106.49,0.02,0.0,0.0,0.0,0,5004
6211,106.48,106.49,0.02,0.0,0.0,0.0,0,5000
6232,106.41,106.49,-0.02,0.0,0.0,0.0,0,5000
6251,106.33,106.49,0.03,0.0,0.0,0.0,0,5004
6272,106.52,106.48,-0.02,0.0,0.0,0.0,0,5004
6291,106.42,106.49,0.00,0.0,0.0,0.0,0,5004
6311,106.42,106.49,-0.08,0.0,0.0,0.0,0,5000
6332,106.47,106.48,-0.03,0.0,0.0,0.0,0,5004
6351,106.50,106.48,-0.02,0.0,0.0,0.0,0,5004
6372,106.69,106.49,0.06,0.0,0.0,0.0,0,5000
6391,106.42,106.49,0.03,0.0,0.0,0.0,0,5000
6412,106.59,106.49,-0.02,0.0,0.0,0.0,0,5000
6431,106.57,106.49,-0.02,0.0,0.0,0.0,0,5000
6452,106.54,106.49,0.02,0.0,0.0,0.0,0,5004
6471,106.49,106.49,0.03,0.0,0.0,0.0,0,5004
6492,106.52,106.50,0.00,0.0,0.0,0.0,0,5004
6511,106.47,106.50,-0.03,0.0,0.0,0.0,0,5000
6532,106.69,106.50,0.02,0.0,0.0,0.0,0,5000
6551,106.49,106.50,-0.05,0.0,0.0,0.0,0,5000
6572,106.87,106.51,0.03,0.0,0.0,0.0,0,5004
6592,106.39,106.51,0.00,0.0,0.0,0.0,0,5000
6611,106.66,106.51,-0.03,0.0,0.0,0.0,0,5004
6632,106.57,106.51,0.03,0.0,0.0,0.0,0,5000
6651,106.49,106.52,0.06,0.0,0.0,0.0,0,5000
6672,106.64,106.52,-0.05,0.0,0.0,0.0,0,5004
6691,106.65,106.52,-0.06,0.0,0.0,0.0,0,5004
