# trial: trial_003.csv
# date: 2026-08-01T17:13:08
# note: bench test 2: trim capture at hand-held balance point
# self-balancing-robot fw2 ��� motors DISARMED at boot
# no EEPROM settings, using defaults
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=0.00 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
# capturing trim: hold robot at balance point 5 s
1519,2.18,2.07,0.02,0.0,0.0,0.0,0,5004
1539,2.05,2.07,0.00,0.0,0.0,0.0,0,5000
1559,2.27,2.07,0.02,0.0,0.0,0.0,0,5000
1579,2.16,2.07,-0.02,0.0,0.0,0.0,0,5000
1599,2.27,2.07,0.02,0.0,0.0,0.0,0,5004
1619,2.39,2.08,-0.03,0.0,0.0,0.0,0,5000
1639,2.33,2.08,-0.09,0.0,0.0,0.0,0,5000
1659,2.26,2.08,-0.05,0.0,0.0,0.0,0,5000
1679,2.29,2.09,0.03,0.0,0.0,0.0,0,5004
1699,2.33,2.09,0.00,0.0,0.0,0.0,0,5004
1719,2.26,2.10,-0.02,0.0,0.0,0.0,0,5000
1739,2.17,2.10,-0.05,0.0,0.0,0.0,0,5000
1759,2.39,2.11,-0.03,0.0,0.0,0.0,0,5004
1779,2.13,2.11,-0.03,0.0,0.0,0.0,0,5004
1799,2.15,2.12,-0.03,0.0,0.0,0.0,0,5004
1819,2.20,2.12,-0.02,0.0,0.0,0.0,0,5000
1839,2.48,2.13,-0.05,0.0,0.0,0.0,0,5004
1859,2.19,2.13,-0.09,0.0,0.0,0.0,0,5004
1880,2.20,2.13,-0.08,0.0,0.0,0.0,0,5004
1899,1.99,2.13,0.02,0.0,0.0,0.0,0,5004
1920,2.28,2.13,-0.02,0.0,0.0,0.0,0,5004
1939,2.29,2.14,-0.06,0.0,0.0,0.0,0,5000
1959,2.29,2.15,0.11,0.0,0.0,0.0,0,5000
1979,2.28,2.15,0.05,0.0,0.0,0.0,0,5000
1999,2.22,2.15,-0.06,0.0,0.0,0.0,0,5000
2019,2.41,2.16,0.00,0.0,0.0,0.0,0,5004
2039,2.18,2.17,0.05,0.0,0.0,0.0,0,5000
2059,2.10,2.17,0.02,0.0,0.0,0.0,0,5000
