# trial: trial_004.csv
# date: 2026-08-01T17:26:38
# note: bench test 3a: left wheel direction, PWM 80 fwd then rev, battery on, wheels free
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1514,-2.09,-2.09,0.08,0.0,0.0,0.0,0,5000
1534,-2.31,-2.09,0.02,0.0,0.0,0.0,0,5004
1554,-2.06,-2.09,0.09,0.0,0.0,0.0,0,5000
1574,-2.21,-2.09,-0.02,0.0,0.0,0.0,0,5004
1594,-2.07,-2.09,0.02,0.0,0.0,0.0,0,5000
1614,-2.17,-2.10,-0.02,0.0,0.0,0.0,0,5000
1634,-2.13,-2.10,0.09,0.0,0.0,0.0,0,5000
1654,-2.13,-2.10,0.00,0.0,0.0,0.0,0,5004
1675,-1.94,-2.09,0.08,0.0,0.0,0.0,0,5000
1694,-2.02,-2.09,0.02,0.0,0.0,0.0,0,5000
1715,-2.17,-2.09,0.02,0.0,0.0,0.0,0,5000
1734,-2.18,-2.09,0.08,0.0,0.0,0.0,0,5000
1755,-2.40,-2.10,-0.02,0.0,0.0,0.0,0,5000
1774,-2.14,-2.10,-0.06,0.0,0.0,0.0,0,5000
1795,-1.92,-2.10,0.02,0.0,0.0,0.0,0,5004
1814,-2.18,-2.10,0.02,0.0,0.0,0.0,0,5000
1835,-2.15,-2.11,0.05,0.0,0.0,0.0,0,5000
1854,-2.22,-2.11,-0.03,0.0,0.0,0.0,0,5000
1874,-2.16,-2.11,0.06,0.0,0.0,0.0,0,5000
1894,-2.00,-2.11,-0.02,0.0,0.0,0.0,0,5004
1914,-2.13,-2.11,0.12,0.0,0.0,0.0,0,5004
1934,-2.24,-2.11,0.03,0.0,0.0,0.0,0,5004
