# trial: trial_005.csv
# date: 2026-08-01T17:28:38
# note: bench test 3a repeat: left wheel, 4s fwd burst, 5s gap, 4s rev burst
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1514,-2.16,-1.98,0.02,0.0,0.0,0.0,0,5004
1534,-2.01,-1.99,0.00,0.0,0.0,0.0,0,5004
1554,-1.87,-1.99,-0.06,0.0,0.0,0.0,0,5000
1574,-1.98,-1.99,0.03,0.0,0.0,0.0,0,5004
1594,-1.95,-1.99,-0.02,0.0,0.0,0.0,0,5004
1614,-2.14,-1.99,0.03,0.0,0.0,0.0,0,5004
1635,-1.86,-1.99,0.00,0.0,0.0,0.0,0,5000
1654,-2.04,-1.99,-0.02,0.0,0.0,0.0,0,5000
1675,-2.09,-1.99,-0.06,0.0,0.0,0.0,0,5004
1694,-2.11,-2.00,0.00,0.0,0.0,0.0,0,5000
1715,-2.01,-2.00,-0.02,0.0,0.0,0.0,0,5000
1734,-2.05,-2.00,0.03,0.0,0.0,0.0,0,5000
1755,-2.04,-2.00,-0.09,0.0,0.0,0.0,0,5000
1774,-2.12,-2.00,-0.03,0.0,0.0,0.0,0,5000
1795,-2.02,-2.01,-0.02,0.0,0.0,0.0,0,5004
1814,-2.09,-2.01,0.05,0.0,0.0,0.0,0,5004
1835,-2.00,-2.01,0.02,0.0,0.0,0.0,0,5004
1854,-1.97,-2.01,-0.11,0.0,0.0,0.0,0,5000
1874,-2.12,-2.02,-0.09,0.0,0.0,0.0,0,5004
1895,-2.10,-2.02,0.06,0.0,0.0,0.0,0,5000
1914,-2.17,-2.03,-0.02,0.0,0.0,0.0,0,5000
1935,-2.06,-2.04,-0.02,0.0,0.0,0.0,0,5000
1954,-2.22,-2.05,-0.08,0.0,0.0,0.0,0,5004
1975,-2.18,-2.06,-0.05,0.0,0.0,0.0,0,5004
1994,-2.23,-2.06,0.02,0.0,0.0,0.0,0,5000
2015,-2.24,-2.06,0.05,0.0,0.0,0.0,0,5004
2034,-2.00,-2.07,-0.05,0.0,0.0,0.0,0,5000
2055,-2.18,-2.07,0.02,0.0,0.0,0.0,0,5000
2074,-2.21,-2.07,0.08,0.0,0.0,0.0,0,5000
2095,-1.98,-2.07,-0.02,0.0,0.0,0.0,0,5000
2115,-2.13,-2.08,-0.03,0.0,0.0,0.0,0,5000
2135,-2.00,-2.07,0.03,0.0,0.0,0.0,0,5004
2155,-2.02,-2.07,0.02,0.0,0.0,0.0,0,5000
2174,-2.18,-2.08,-0.02,0.0,0.0,0.0,0,5000
2195,-2.15,-2.08,-0.06,0.0,0.0,0.0,0,5004
2214,-2.11,-2.08,-0.03,0.0,0.0,0.0,0,5000
2235,-2.18,-2.09,-0.08,0.0,0.0,0.0,0,5000
2254,-1.96,-2.09,-0.03,0.0,0.0,0.0,0,5000
2275,-2.01,-2.08,-0.06,0.0,0.0,0.0,0,5000
2294,-2.05,-2.08,0.00,0.0,0.0,0.0,0,5000
2315,-2.22,-2.09,0.02,0.0,0.0,0.0,0,5000
2334,-2.12,-2.09,0.03,0.0,0.0,0.0,0,5004
2355,-1.79,-2.09,-0.03,0.0,0.0,0.0,0,5004
2375,-2.12,-2.09,-0.03,0.0,0.0,0.0,0,5004
2395,-1.96,-2.09,0.08,0.0,0.0,0.0,0,5004
2415,-2.21,-2.10,-0.03,0.0,0.0,0.0,0,5000
2435,-2.22,-2.10,-0.02,0.0,0.0,0.0,0,5000
2455,-1.93,-2.10,-0.09,0.0,0.0,0.0,0,5004
2475,-2.14,-2.10,-0.05,0.0,0.0,0.0,0,5004
2495,-2.09,-2.11,0.05,0.0,0.0,0.0,0,5000
2514,-2.03,-2.11,-0.06,0.0,0.0,0.0,0,5004
2535,-1.97,-2.11,-0.03,0.0,0.0,0.0,0,5000
2554,-2.15,-2.11,0.00,0.0,0.0,0.0,0,5000
2575,-2.32,-2.11,0.06,0.0,0.0,0.0,0,5000
2594,-1.94,-2.10,-0.02,0.0,0.0,0.0,0,5000
2615,-1.97,-2.10,0.02,0.0,0.0,0.0,0,5000
2635,-2.24,-2.10,-0.05,0.0,0.0,0.0,0,5004
2655,-2.08,-2.10,0.00,0.0,0.0,0.0,0,5004
2675,-2.07,-2.10,-0.06,0.0,0.0,0.0,0,5004
2695,-2.05,-2.10,-0.06,0.0,0.0,0.0,0,5000
2715,-2.16,-2.10,-0.05,0.0,0.0,0.0,0,5004
2735,-1.98,-2.10,0.08,0.0,0.0,0.0,0,5004
2755,-2.02,-2.09,0.05,0.0,0.0,0.0,0,5000
2775,-2.11,-2.08,0.03,0.0,0.0,0.0,0,5000
2795,-1.96,-2.08,-0.03,0.0,0.0,0.0,0,5004
2814,-2.15,-2.09,-0.02,0.0,0.0,0.0,0,5000
2835,-2.15,-2.09,-0.08,0.0,0.0,0.0,0,5004
2854,-1.86,-2.09,-0.05,0.0,0.0,0.0,0,5004
2875,-2.12,-2.09,-0.02,0.0,0.0,0.0,0,5000
2895,-2.30,-2.09,0.02,0.0,0.0,0.0,0,5004
2915,-2.03,-2.09,-0.11,0.0,0.0,0.0,0,5000
2935,-1.96,-2.09,0.03,0.0,0.0,0.0,0,5000
2955,-2.15,-2.09,-0.03,0.0,0.0,0.0,0,5000
2975,-1.99,-2.09,-0.02,0.0,0.0,0.0,0,5004
2995,-2.09,-2.09,0.05,0.0,0.0,0.0,0,5000
3015,-2.07,-2.08,0.02,0.0,0.0,0.0,0,5004
3035,-2.10,-2.08,0.02,0.0,0.0,0.0,0,5000
3055,-1.93,-2.08,0.00,0.0,0.0,0.0,0,5000
