# trial: trial_006.csv
# date: 2026-08-01T17:29:37
# note: bench test 3b: right wheel, 4s fwd burst, 5s gap, 4s rev burst
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1515,-2.15,-1.88,-0.12,0.0,0.0,0.0,0,5000
1534,-2.16,-1.88,0.05,0.0,0.0,0.0,0,5004
1555,-2.13,-1.88,-0.02,0.0,0.0,0.0,0,5004
1574,-2.02,-1.88,-0.02,0.0,0.0,0.0,0,5000
1595,-2.14,-1.88,-0.05,0.0,0.0,0.0,0,5004
1614,-2.25,-1.89,0.02,0.0,0.0,0.0,0,5004
1635,-2.21,-1.89,0.02,0.0,0.0,0.0,0,5004
1654,-2.08,-1.90,0.02,0.0,0.0,0.0,0,5000
1675,-2.29,-1.91,0.06,0.0,0.0,0.0,0,5000
1694,-2.00,-1.91,0.03,0.0,0.0,0.0,0,5000
1715,-2.20,-1.91,-0.03,0.0,0.0,0.0,0,5000
1734,-2.02,-1.92,-0.08,0.0,0.0,0.0,0,5000
1755,-1.85,-1.92,0.00,0.0,0.0,0.0,0,5000
1775,-2.06,-1.93,0.03,0.0,0.0,0.0,0,5000
1795,-1.97,-1.93,0.09,0.0,0.0,0.0,0,5000
1815,-1.94,-1.93,-0.03,0.0,0.0,0.0,0,5000
1835,-1.96,-1.93,0.00,0.0,0.0,0.0,0,5004
1855,-2.29,-1.95,-0.06,0.0,0.0,0.0,0,5004
1874,-2.26,-1.96,-0.08,0.0,0.0,0.0,0,5000
1895,-2.16,-1.96,-0.09,0.0,0.0,0.0,0,5000
1914,-1.88,-1.97,0.02,0.0,0.0,0.0,0,5004
1935,-2.06,-1.97,0.05,0.0,0.0,0.0,0,5004
1954,-2.10,-1.98,-0.05,0.0,0.0,0.0,0,5004
1975,-2.12,-1.99,-0.05,0.0,0.0,0.0,0,5004
1994,-2.04,-1.99,-0.03,0.0,0.0,0.0,0,5004
2015,-2.06,-1.99,0.03,0.0,0.0,0.0,0,5000
2035,-2.22,-1.99,-0.03,0.0,0.0,0.0,0,5000
2055,-2.25,-2.01,0.02,0.0,0.0,0.0,0,5004
2075,-2.00,-2.02,-0.06,0.0,0.0,0.0,0,5004
2095,-1.95,-2.02,0.00,0.0,0.0,0.0,0,5000
2115,-2.08,-2.03,0.05,0.0,0.0,0.0,0,5000
2135,-2.09,-2.03,0.00,0.0,0.0,0.0,0,5004
2155,-2.17,-2.03,-0.02,0.0,0.0,0.0,0,5012
2174,-2.08,-2.04,-0.02,0.0,0.0,0.0,0,5000
2195,-2.18,-2.05,-0.05,0.0,0.0,0.0,0,5000
2214,-2.28,-2.06,-0.02,0.0,0.0,0.0,0,5000
2235,-2.17,-2.06,0.02,0.0,0.0,0.0,0,5000
2254,-2.12,-2.07,0.03,0.0,0.0,0.0,0,5004
2275,-2.14,-2.08,0.08,0.0,0.0,0.0,0,5004
2295,-2.31,-2.08,-0.02,0.0,0.0,0.0,0,5000
2315,-2.00,-2.08,0.02,0.0,0.0,0.0,0,5004
2335,-2.10,-2.08,-0.03,0.0,0.0,0.0,0,5000
2355,-2.11,-2.08,-0.11,0.0,0.0,0.0,0,5000
2375,-2.12,-2.08,0.00,0.0,0.0,0.0,0,5004
2395,-2.17,-2.09,-0.03,0.0,0.0,0.0,0,5004
2415,-2.18,-2.10,0.02,0.0,0.0,0.0,0,5000
2435,-2.25,-2.11,-0.05,0.0,0.0,0.0,0,5000
2455,-2.12,-2.11,-0.02,0.0,0.0,0.0,0,5004
2475,-2.11,-2.11,-0.03,0.0,0.0,0.0,0,5004
2495,-2.16,-2.11,0.00,0.0,0.0,0.0,0,5000
2515,-2.17,-2.11,-0.02,0.0,0.0,0.0,0,5004
2535,-2.01,-2.11,0.06,0.0,0.0,0.0,0,5000
2555,-2.01,-2.11,0.02,0.0,0.0,0.0,0,5004
2575,-2.11,-2.11,-0.05,0.0,0.0,0.0,0,5000
2595,-2.09,-2.11,-0.09,0.0,0.0,0.0,0,5004
2615,-2.04,-2.11,-0.02,0.0,0.0,0.0,0,5000
2635,-2.00,-2.12,0.03,0.0,0.0,0.0,0,5000
2655,-1.88,-2.11,0.00,0.0,0.0,0.0,0,5000
