# trial: trial_007.csv
# date: 2026-08-01T17:30:49
# note: bench test 4a: left wheel deadband staircase 20-72 step 4 every 1.8s
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1514,-2.00,-2.10,0.00,0.0,0.0,0.0,0,5004
1534,-2.11,-2.10,0.02,0.0,0.0,0.0,0,5004
1554,-2.03,-2.10,0.05,0.0,0.0,0.0,0,5004
1574,-2.13,-2.10,-0.02,0.0,0.0,0.0,0,5004
1595,-2.16,-2.10,0.03,0.0,0.0,0.0,0,5004
1614,-2.02,-2.10,0.05,0.0,0.0,0.0,0,5000
1635,-2.06,-2.10,0.05,0.0,0.0,0.0,0,5000
1654,-2.38,-2.10,0.05,0.0,0.0,0.0,0,5000
1675,-2.17,-2.10,-0.06,0.0,0.0,0.0,0,5004
1694,-2.11,-2.10,0.00,0.0,0.0,0.0,0,5000
1715,-2.16,-2.10,0.05,0.0,0.0,0.0,0,5004
1734,-2.05,-2.10,0.08,0.0,0.0,0.0,0,5000
1755,-2.00,-2.09,-0.03,0.0,0.0,0.0,0,5004
1774,-1.98,-2.09,-0.06,0.0,0.0,0.0,0,5004
1795,-1.99,-2.09,-0.02,0.0,0.0,0.0,0,5000
1814,-2.11,-2.09,0.02,0.0,0.0,0.0,0,5004
1835,-2.21,-2.09,0.02,0.0,0.0,0.0,0,5000
1855,-2.07,-2.09,-0.06,0.0,0.0,0.0,0,5004
1874,-1.88,-2.09,0.02,0.0,0.0,0.0,0,5000
1895,-1.91,-2.08,0.05,0.0,0.0,0.0,0,5004
1914,-2.20,-2.08,0.03,0.0,0.0,0.0,0,5004
1935,-2.04,-2.09,-0.09,0.0,0.0,0.0,0,5000
1954,-2.20,-2.09,0.03,0.0,0.0,0.0,0,5000
1975,-2.02,-2.08,0.05,0.0,0.0,0.0,0,5004
1994,-1.97,-2.08,0.00,0.0,0.0,0.0,0,5000
2015,-2.06,-2.08,0.00,0.0,0.0,0.0,0,5000
2034,-1.75,-2.08,-0.03,0.0,0.0,0.0,0,5000
2055,-2.07,-2.08,0.00,0.0,0.0,0.0,0,5000
2074,-2.18,-2.08,0.03,0.0,0.0,0.0,0,5000
2095,-2.12,-2.08,0.02,0.0,0.0,0.0,0,5000
2114,-2.05,-2.08,0.05,0.0,0.0,0.0,0,5000
2135,-1.95,-2.08,0.02,0.0,0.0,0.0,0,5000
2155,-1.96,-2.08,0.02,0.0,0.0,0.0,0,5004
2174,-2.14,-2.08,0.00,0.0,0.0,0.0,0,5004
2195,-2.10,-2.08,0.02,0.0,0.0,0.0,0,5004
2214,-2.12,-2.08,0.00,0.0,0.0,0.0,0,5004
2235,-2.20,-2.09,0.02,0.0,0.0,0.0,0,5000
2254,-2.14,-2.09,0.05,0.0,0.0,0.0,0,5000
2275,-2.30,-2.10,0.09,0.0,0.0,0.0,0,5004
2294,-1.98,-2.10,-0.08,0.0,0.0,0.0,0,5000
2315,-2.16,-2.10,0.03,0.0,0.0,0.0,0,5004
2334,-1.93,-2.10,-0.05,0.0,0.0,0.0,0,5004
2355,-2.06,-2.09,-0.06,0.0,0.0,0.0,0,5004
2374,-1.97,-2.10,-0.05,0.0,0.0,0.0,0,5000
2395,-2.18,-2.10,0.03,0.0,0.0,0.0,0,5004
2415,-2.21,-2.10,-0.08,0.0,0.0,0.0,0,5000
2435,-2.09,-2.11,-0.06,0.0,0.0,0.0,0,5000
2455,-2.21,-2.10,-0.02,0.0,0.0,0.0,0,5004
2475,-2.00,-2.10,0.03,0.0,0.0,0.0,0,5000
2495,-2.15,-2.10,0.05,0.0,0.0,0.0,0,5004
2514,-2.01,-2.10,-0.02,0.0,0.0,0.0,0,5000
2535,-2.22,-2.10,-0.02,0.0,0.0,0.0,0,5000
2554,-2.05,-2.10,0.08,0.0,0.0,0.0,0,5004
2575,-2.07,-2.09,0.02,0.0,0.0,0.0,0,5004
2594,-2.06,-2.08,0.03,0.0,0.0,0.0,0,5000
2615,-2.31,-2.08,0.05,0.0,0.0,0.0,0,5004
2634,-2.14,-2.08,-0.09,0.0,0.0,0.0,0,5004
2655,-2.03,-2.08,0.02,0.0,0.0,0.0,0,5004
2675,-2.08,-2.08,-0.06,0.0,0.0,0.0,0,5000
2695,-2.25,-2.08,-0.03,0.0,0.0,0.0,0,5004
2715,-2.08,-2.09,0.03,0.0,0.0,0.0,0,5004
2735,-1.97,-2.09,-0.03,0.0,0.0,0.0,0,5000
2755,-2.20,-2.09,0.09,0.0,0.0,0.0,0,5000
2775,-1.97,-2.08,-0.02,0.0,0.0,0.0,0,5000
2795,-2.20,-2.10,0.05,0.0,0.0,0.0,0,5000
2814,-2.07,-2.09,-0.02,0.0,0.0,0.0,0,5000
2835,-2.04,-2.09,0.02,0.0,0.0,0.0,0,5000
2854,-2.01,-2.09,-0.03,0.0,0.0,0.0,0,5000
2875,-2.15,-2.09,0.02,0.0,0.0,0.0,0,5004
2894,-1.96,-2.08,0.00,0.0,0.0,0.0,0,5000
2915,-2.09,-2.08,0.00,0.0,0.0,0.0,0,5000
2935,-1.96,-2.08,0.03,0.0,0.0,0.0,0,5000
2955,-2.20,-2.09,-0.03,0.0,0.0,0.0,0,5000
2975,-1.97,-2.08,0.03,0.0,0.0,0.0,0,5000
2995,-2.21,-2.09,-0.02,0.0,0.0,0.0,0,5004
3015,-2.03,-2.09,-0.06,0.0,0.0,0.0,0,5004
3035,-2.27,-2.10,0.00,0.0,0.0,0.0,0,5000
3055,-2.25,-2.10,0.00,0.0,0.0,0.0,0,5004
3075,-2.26,-2.10,-0.11,0.0,0.0,0.0,0,5000
3095,-2.20,-2.11,0.00,0.0,0.0,0.0,0,5004
3115,-2.12,-2.11,-0.08,0.0,0.0,0.0,0,5004
3135,-2.24,-2.12,-0.02,0.0,0.0,0.0,0,5000
3154,-1.99,-2.11,-0.06,0.0,0.0,0.0,0,5000
3175,-2.07,-2.11,-0.03,0.0,0.0,0.0,0,5004
3195,-2.03,-2.10,-0.02,0.0,0.0,0.0,0,5000
3215,-2.02,-2.09,-0.02,0.0,0.0,0.0,0,5000
3235,-2.14,-2.10,-0.05,0.0,0.0,0.0,0,5000
3255,-2.17,-2.11,0.00,0.0,0.0,0.0,0,5004
3275,-2.15,-2.12,0.03,0.0,0.0,0.0,0,5004
3295,-2.14,-2.12,-0.03,0.0,0.0,0.0,0,5004
3315,-2.01,-2.12,0.02,0.0,0.0,0.0,0,5004
3335,-2.02,-2.11,0.03,0.0,0.0,0.0,0,5004
3355,-2.07,-2.11,0.02,0.0,0.0,0.0,0,5000
3375,-2.23,-2.11,-0.03,0.0,0.0,0.0,0,5004
3395,-2.21,-2.12,-0.02,0.0,0.0,0.0,0,5000
3415,-2.03,-2.11,-0.05,0.0,0.0,0.0,0,5004
3435,-2.03,-2.11,-0.09,0.0,0.0,0.0,0,5000
3456,-2.25,-2.12,0.02,0.0,0.0,0.0,0,5000
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
3477,-2.21,-2.12,-0.02,0.0,0.0,0.0,0,5004
3497,-1.97,-2.12,-0.03,0.0,0.0,0.0,0,5004
3517,-2.28,-2.12,0.06,0.0,0.0,0.0,0,5004
3537,-2.00,-2.12,-0.05,0.0,0.0,0.0,0,5000
3557,-2.11,-2.12,0.00,0.0,0.0,0.0,0,5000
3577,-2.09,-2.13,0.05,0.0,0.0,0.0,0,5000
3597,-2.08,-2.12,0.00,0.0,0.0,0.0,0,5004
3617,-1.97,-2.12,-0.03,0.0,0.0,0.0,0,5000
3637,-1.94,-2.11,0.00,0.0,0.0,0.0,0,5004
3657,-2.06,-2.10,0.05,0.0,0.0,0.0,0,5004
3677,-2.11,-2.10,0.03,0.0,0.0,0.0,0,5000
3697,-2.01,-2.10,0.08,0.0,0.0,0.0,0,5004
3717,-2.09,-2.09,0.00,0.0,0.0,0.0,0,5000
3737,-1.95,-2.08,-0.03,0.0,0.0,0.0,0,5000
3758,-2.06,-2.08,0.02,0.0,0.0,0.0,0,5004
3777,-1.90,-2.07,-0.03,0.0,0.0,0.0,0,5000
3798,-2.16,-2.07,0.08,0.0,0.0,0.0,0,5000
3817,-2.04,-2.07,0.02,0.0,0.0,0.0,0,5004
3837,-2.19,-2.08,-0.08,0.0,0.0,0.0,0,5000
3857,-2.18,-2.09,-0.08,0.0,0.0,0.0,0,5000
3877,-2.24,-2.10,-0.06,0.0,0.0,0.0,0,5000
3897,-2.20,-2.10,-0.06,0.0,0.0,0.0,0,5004
3917,-2.13,-2.11,0.03,0.0,0.0,0.0,0,5000
3937,-2.07,-2.10,-0.09,0.0,0.0,0.0,0,5004
3957,-2.17,-2.11,-0.08,0.0,0.0,0.0,0,5004
3977,-1.95,-2.10,-0.08,0.0,0.0,0.0,0,5000
3997,-2.17,-2.10,0.02,0.0,0.0,0.0,0,5004
4018,-2.21,-2.10,0.02,0.0,0.0,0.0,0,5000
4037,-2.17,-2.10,0.02,0.0,0.0,0.0,0,5000
