# trial: trial_008.csv
# date: 2026-08-01T17:31:42
# note: bench test 4b: right wheel deadband staircase 20-72 step 4 every 1.8s
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1514,-2.01,-2.27,-0.08,0.0,0.0,0.0,0,5000
1534,-2.19,-2.27,0.02,0.0,0.0,0.0,0,5000
1554,-2.23,-2.27,-0.02,0.0,0.0,0.0,0,5004
1574,-2.17,-2.26,-0.11,0.0,0.0,0.0,0,5000
1594,-2.14,-2.26,0.00,0.0,0.0,0.0,0,5000
1614,-2.00,-2.26,0.00,0.0,0.0,0.0,0,5004
1634,-1.89,-2.25,-0.02,0.0,0.0,0.0,0,5004
1654,-2.09,-2.25,0.09,0.0,0.0,0.0,0,5004
1675,-2.13,-2.24,0.00,0.0,0.0,0.0,0,5004
1694,-2.05,-2.24,-0.03,0.0,0.0,0.0,0,5000
1715,-2.20,-2.23,-0.03,0.0,0.0,0.0,0,5004
1734,-2.09,-2.23,0.03,0.0,0.0,0.0,0,5000
1755,-1.97,-2.22,0.05,0.0,0.0,0.0,0,5000
1774,-2.07,-2.22,0.00,0.0,0.0,0.0,0,5004
1795,-2.29,-2.22,-0.05,0.0,0.0,0.0,0,5000
1814,-1.96,-2.21,0.05,0.0,0.0,0.0,0,5000
1835,-1.94,-2.20,0.03,0.0,0.0,0.0,0,5004
1854,-2.21,-2.19,0.00,0.0,0.0,0.0,0,5000
1874,-1.95,-2.19,0.02,0.0,0.0,0.0,0,5004
1894,-2.16,-2.18,-0.02,0.0,0.0,0.0,0,5000
1914,-1.93,-2.18,-0.06,0.0,0.0,0.0,0,5004
1935,-2.07,-2.17,0.05,0.0,0.0,0.0,0,5000
1954,-2.03,-2.17,-0.03,0.0,0.0,0.0,0,5004
1975,-2.11,-2.17,-0.03,0.0,0.0,0.0,0,5004
1994,-2.01,-2.16,0.02,0.0,0.0,0.0,0,5004
2015,-2.18,-2.15,-0.03,0.0,0.0,0.0,0,5000
2034,-2.22,-2.15,0.03,0.0,0.0,0.0,0,5004
2055,-2.08,-2.14,-0.03,0.0,0.0,0.0,0,5004
2074,-2.04,-2.14,-0.02,0.0,0.0,0.0,0,5004
2095,-2.05,-2.14,-0.02,0.0,0.0,0.0,0,5000
2114,-2.27,-2.14,-0.02,0.0,0.0,0.0,0,5000
2135,-1.99,-2.13,0.02,0.0,0.0,0.0,0,5000
2154,-2.02,-2.13,0.00,0.0,0.0,0.0,0,5004
2174,-2.22,-2.13,-0.11,0.0,0.0,0.0,0,5000
2195,-2.10,-2.13,-0.02,0.0,0.0,0.0,0,5004
2214,-2.06,-2.13,-0.09,0.0,0.0,0.0,0,5000
2235,-2.09,-2.12,0.05,0.0,0.0,0.0,0,5004
2254,-2.15,-2.12,0.00,0.0,0.0,0.0,0,5004
2275,-2.32,-2.13,0.08,0.0,0.0,0.0,0,5004
2294,-2.00,-2.13,-0.02,0.0,0.0,0.0,0,5004
2315,-2.06,-2.12,-0.05,0.0,0.0,0.0,0,5004
2334,-2.10,-2.11,-0.02,0.0,0.0,0.0,0,5004
2355,-1.95,-2.10,-0.02,0.0,0.0,0.0,0,5004
2374,-2.03,-2.10,0.00,0.0,0.0,0.0,0,5000
2395,-2.17,-2.11,-0.02,0.0,0.0,0.0,0,5000
2414,-2.14,-2.10,-0.03,0.0,0.0,0.0,0,5004
2435,-1.98,-2.09,0.02,0.0,0.0,0.0,0,5000
2455,-2.15,-2.09,0.00,0.0,0.0,0.0,0,5000
2475,-2.02,-2.09,-0.05,0.0,0.0,0.0,0,5000
2495,-2.21,-2.09,0.08,0.0,0.0,0.0,0,5004
2514,-2.24,-2.09,0.03,0.0,0.0,0.0,0,5004
2535,-2.18,-2.09,-0.09,0.0,0.0,0.0,0,5000
2554,-2.14,-2.10,0.00,0.0,0.0,0.0,0,5000
2575,-2.15,-2.09,0.03,0.0,0.0,0.0,0,5004
2594,-1.99,-2.09,-0.02,0.0,0.0,0.0,0,5000
2615,-2.03,-2.08,0.02,0.0,0.0,0.0,0,5004
2634,-2.20,-2.09,0.05,0.0,0.0,0.0,0,5004
2655,-2.00,-2.08,-0.09,0.0,0.0,0.0,0,5000
2674,-2.00,-2.07,-0.03,0.0,0.0,0.0,0,5000
2695,-2.11,-2.07,-0.09,0.0,0.0,0.0,0,5000
2715,-2.25,-2.08,0.02,0.0,0.0,0.0,0,5000
2735,-2.23,-2.08,0.00,0.0,0.0,0.0,0,5000
2755,-1.93,-2.07,0.02,0.0,0.0,0.0,0,5000
2775,-2.05,-2.07,-0.08,0.0,0.0,0.0,0,5004
2795,-2.07,-2.07,0.03,0.0,0.0,0.0,0,5004
2814,-2.14,-2.07,-0.08,0.0,0.0,0.0,0,5000
2835,-2.21,-2.07,0.08,0.0,0.0,0.0,0,5004
2854,-2.12,-2.07,0.02,0.0,0.0,0.0,0,5000
2875,-2.25,-2.08,0.00,0.0,0.0,0.0,0,5000
2894,-2.08,-2.08,0.02,0.0,0.0,0.0,0,5004
2915,-2.14,-2.08,-0.02,0.0,0.0,0.0,0,5000
2934,-2.26,-2.09,-0.03,0.0,0.0,0.0,0,5000
2955,-1.96,-2.09,-0.06,0.0,0.0,0.0,0,5000
2975,-2.00,-2.08,-0.02,0.0,0.0,0.0,0,5004
2995,-2.18,-2.08,0.03,0.0,0.0,0.0,0,5004
3015,-2.03,-2.08,-0.03,0.0,0.0,0.0,0,5004
3035,-2.07,-2.08,-0.05,0.0,0.0,0.0,0,5000
3055,-1.91,-2.07,-0.03,0.0,0.0,0.0,0,5000
3075,-2.13,-2.08,-0.02,0.0,0.0,0.0,0,5004
3095,-2.15,-2.08,-0.08,0.0,0.0,0.0,0,5004
3115,-2.18,-2.09,-0.02,0.0,0.0,0.0,0,5004
3135,-2.14,-2.09,0.03,0.0,0.0,0.0,0,5004
3154,-2.05,-2.09,-0.02,0.0,0.0,0.0,0,5000
3175,-2.12,-2.09,-0.02,0.0,0.0,0.0,0,5000
3194,-2.07,-2.08,0.03,0.0,0.0,0.0,0,5000
3215,-1.90,-2.08,0.00,0.0,0.0,0.0,0,5004
3235,-2.14,-2.08,0.00,0.0,0.0,0.0,0,5004
3255,-1.92,-2.07,-0.03,0.0,0.0,0.0,0,5004
3275,-2.18,-2.07,-0.06,0.0,0.0,0.0,0,5004
3295,-1.99,-2.06,-0.09,0.0,0.0,0.0,0,5004
3315,-1.98,-2.06,-0.02,0.0,0.0,0.0,0,5000
3335,-1.80,-2.06,0.00,0.0,0.0,0.0,0,5000
3355,-2.09,-2.05,-0.02,0.0,0.0,0.0,0,5004
