# trial: trial_009.csv
# date: 2026-08-01T17:37:49
# note: bench test 4a-v2: left wheel deadband, 14 counted bursts 20-72 step 4, 1.3s on 0.9s off
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1514,-1.94,-2.18,-0.06,0.0,0.0,0.0,0,5000
1534,-2.14,-2.18,-0.05,0.0,0.0,0.0,0,5000
1554,-2.10,-2.18,0.03,0.0,0.0,0.0,0,5000
1574,-2.02,-2.18,0.02,0.0,0.0,0.0,0,5004
1594,-1.72,-2.17,-0.03,0.0,0.0,0.0,0,5000
1614,-2.10,-2.17,0.02,0.0,0.0,0.0,0,5008
1634,-1.97,-2.17,0.08,0.0,0.0,0.0,0,5004
1654,-2.00,-2.17,0.06,0.0,0.0,0.0,0,5000
1674,-2.13,-2.16,0.00,0.0,0.0,0.0,0,5000
1694,-1.98,-2.16,-0.02,0.0,0.0,0.0,0,5000
1714,-2.02,-2.16,-0.05,0.0,0.0,0.0,0,5000
1734,-2.09,-2.16,-0.02,0.0,0.0,0.0,0,5004
1755,-2.12,-2.15,0.08,0.0,0.0,0.0,0,5004
1774,-2.00,-2.15,0.08,0.0,0.0,0.0,0,5000
1795,-1.89,-2.14,0.03,0.0,0.0,0.0,0,5000
1814,-2.09,-2.14,0.03,0.0,0.0,0.0,0,5000
1835,-1.91,-2.14,0.02,0.0,0.0,0.0,0,5004
1854,-2.01,-2.13,-0.06,0.0,0.0,0.0,0,5004
1874,-1.93,-2.13,0.05,0.0,0.0,0.0,0,5012
1894,-2.21,-2.12,-0.08,0.0,0.0,0.0,0,5000
1914,-2.25,-2.12,-0.03,0.0,0.0,0.0,0,5000
1934,-2.09,-2.12,0.00,0.0,0.0,0.0,0,5004
1954,-2.04,-2.11,0.02,0.0,0.0,0.0,0,5004
1974,-1.88,-2.11,-0.06,0.0,0.0,0.0,0,5004
1994,-1.86,-2.10,0.06,0.0,0.0,0.0,0,5004
2015,-2.06,-2.09,0.05,0.0,0.0,0.0,0,5000
2034,-1.97,-2.08,0.03,0.0,0.0,0.0,0,5004
2055,-2.10,-2.08,-0.03,0.0,0.0,0.0,0,5004
2074,-2.15,-2.08,-0.03,0.0,0.0,0.0,0,5004
2095,-1.91,-2.08,-0.06,0.0,0.0,0.0,0,5004
2114,-2.11,-2.07,-0.08,0.0,0.0,0.0,0,5000
2135,-2.09,-2.08,0.02,0.0,0.0,0.0,0,5000
2154,-2.10,-2.08,0.05,0.0,0.0,0.0,0,5004
2174,-2.06,-2.08,0.02,0.0,0.0,0.0,0,5000
2194,-2.06,-2.07,-0.03,0.0,0.0,0.0,0,5000
2214,-2.06,-2.07,0.05,0.0,0.0,0.0,0,5004
2234,-1.98,-2.06,-0.05,0.0,0.0,0.0,0,5004
2254,-2.13,-2.07,-0.06,0.0,0.0,0.0,0,5000
2275,-2.08,-2.07,0.00,0.0,0.0,0.0,0,5000
2294,-2.02,-2.07,0.03,0.0,0.0,0.0,0,5000
2315,-2.19,-2.07,0.02,0.0,0.0,0.0,0,5004
2334,-1.92,-2.06,0.03,0.0,0.0,0.0,0,5004
2355,-2.11,-2.06,0.03,0.0,0.0,0.0,0,5000
2374,-2.09,-2.06,-0.11,0.0,0.0,0.0,0,5004
2395,-2.01,-2.06,0.03,0.0,0.0,0.0,0,5000
2414,-2.14,-2.06,-0.02,0.0,0.0,0.0,0,5000
2435,-2.29,-2.06,0.02,0.0,0.0,0.0,0,5000
2454,-1.97,-2.06,-0.03,0.0,0.0,0.0,0,5004
2475,-2.15,-2.06,0.02,0.0,0.0,0.0,0,5004
2495,-1.87,-2.05,-0.02,0.0,0.0,0.0,0,5004
2514,-2.00,-2.04,0.00,0.0,0.0,0.0,0,5004
2535,-1.97,-2.03,-0.02,0.0,0.0,0.0,0,5000
2554,-2.02,-2.03,-0.06,0.0,0.0,0.0,0,5000
2575,-2.17,-2.03,-0.06,0.0,0.0,0.0,0,5000
2594,-2.06,-2.02,-0.02,0.0,0.0,0.0,0,5000
2615,-2.08,-2.02,0.05,0.0,0.0,0.0,0,5004
2634,-1.94,-2.02,-0.09,0.0,0.0,0.0,0,5000
2655,-1.94,-2.01,-0.05,0.0,0.0,0.0,0,5000
2674,-2.02,-2.01,-0.02,0.0,0.0,0.0,0,5004
2695,-1.99,-2.01,-0.03,0.0,0.0,0.0,0,5000
2714,-2.24,-2.01,-0.03,0.0,0.0,0.0,0,5004
2735,-2.08,-2.02,-0.05,0.0,0.0,0.0,0,5004
2755,-2.15,-2.02,-0.02,0.0,0.0,0.0,0,5004
2775,-1.91,-2.02,0.06,0.0,0.0,0.0,0,5004
2795,-2.13,-2.02,-0.03,0.0,0.0,0.0,0,5000
2814,-2.12,-2.02,0.02,0.0,0.0,0.0,0,5004
2835,-1.94,-2.03,-0.05,0.0,0.0,0.0,0,5004
2854,-2.13,-2.04,-0.08,0.0,0.0,0.0,0,5004
2875,-1.88,-2.03,-0.02,0.0,0.0,0.0,0,5000
2894,-2.01,-2.03,0.00,0.0,0.0,0.0,0,5004
2915,-2.04,-2.03,0.00,0.0,0.0,0.0,0,5000
2934,-1.93,-2.02,0.02,0.0,0.0,0.0,0,5000
2955,-1.93,-2.01,-0.08,0.0,0.0,0.0,0,5004
2974,-1.88,-2.01,0.02,0.0,0.0,0.0,0,5000
2995,-2.15,-2.01,-0.02,0.0,0.0,0.0,0,5004
3015,-2.04,-2.01,-0.06,0.0,0.0,0.0,0,5000
3035,-1.90,-2.00,-0.06,0.0,0.0,0.0,0,5004
3055,-2.00,-2.00,0.02,0.0,0.0,0.0,0,5000
3075,-2.00,-2.01,-0.02,0.0,0.0,0.0,0,5000
3095,-2.03,-2.00,-0.02,0.0,0.0,0.0,0,5004
3115,-1.96,-2.01,-0.06,0.0,0.0,0.0,0,5004
3135,-2.01,-2.01,0.00,0.0,0.0,0.0,0,5000
3154,-1.98,-2.00,-0.02,0.0,0.0,0.0,0,5000
3175,-1.97,-2.01,0.03,0.0,0.0,0.0,0,5004
3194,-2.18,-2.02,0.02,0.0,0.0,0.0,0,5000
3215,-1.88,-2.01,0.05,0.0,0.0,0.0,0,5000
3234,-2.22,-2.02,-0.03,0.0,0.0,0.0,0,5000
3255,-2.01,-2.03,-0.03,0.0,0.0,0.0,0,5004
3274,-1.96,-2.02,0.00,0.0,0.0,0.0,0,5004
3295,-2.06,-2.02,0.02,0.0,0.0,0.0,0,5000
3315,-2.03,-2.02,-0.02,0.0,0.0,0.0,0,5004
3335,-2.03,-2.02,0.00,0.0,0.0,0.0,0,5000
3355,-2.08,-2.03,-0.05,0.0,0.0,0.0,0,5004
3375,-2.00,-2.02,0.02,0.0,0.0,0.0,0,5004
3395,-1.96,-2.02,0.00,0.0,0.0,0.0,0,5000
3415,-2.02,-2.02,-0.03,0.0,0.0,0.0,0,5000
3435,-2.22,-2.03,0.06,0.0,0.0,0.0,0,5000
3454,-2.06,-2.04,-0.12,0.0,0.0,0.0,0,5004
# MOTOR TEST: wheels OFF the ground, battery on.
# l <pwm> / r <pwm> (-255..255); auto-zero after 2 s idle; x exits
3480,-2.02,-2.04,-0.02,0.0,0.0,0.0,0,5004
3501,-1.94,-2.03,-0.02,0.0,0.0,0.0,0,5004
3521,-1.95,-2.02,-0.03,0.0,0.0,0.0,0,5004
3540,-2.07,-2.02,0.03,0.0,0.0,0.0,0,5000
3561,-2.23,-2.03,-0.08,0.0,0.0,0.0,0,5000
3580,-1.93,-2.02,0.05,0.0,0.0,0.0,0,5004
3601,-2.02,-2.02,0.03,0.0,0.0,0.0,0,5004
3620,-2.03,-2.02,-0.05,0.0,0.0,0.0,0,5004
3641,-2.04,-2.02,0.02,0.0,0.0,0.0,0,5000
3660,-2.14,-2.03,-0.02,0.0,0.0,0.0,0,5000
3681,-2.01,-2.02,0.03,0.0,0.0,0.0,0,5004
3700,-1.99,-2.02,-0.05,0.0,0.0,0.0,0,5000
3721,-1.80,-2.01,-0.03,0.0,0.0,0.0,0,5004
3740,-2.07,-2.01,-0.09,0.0,0.0,0.0,0,5004
3761,-2.15,-2.01,-0.05,0.0,0.0,0.0,0,5000
3781,-2.08,-2.01,0.03,0.0,0.0,0.0,0,5000
3801,-2.00,-2.00,-0.03,0.0,0.0,0.0,0,5000
3821,-2.13,-2.01,-0.02,0.0,0.0,0.0,0,5000
3841,-2.13,-2.01,-0.09,0.0,0.0,0.0,0,5000
3861,-2.29,-2.02,0.00,0.0,0.0,0.0,0,5004
3880,-2.04,-2.03,-0.02,0.0,0.0,0.0,0,5004
3901,-2.14,-2.03,0.02,0.0,0.0,0.0,0,5004
3920,-2.12,-2.04,-0.08,0.0,0.0,0.0,0,5004
