# trial: trial_010.csv
# date: 2026-08-01T17:39:18
# note: bench test 4a-v3: left wheel deadband, 14 counted bursts 20-72 step 4
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=0/0
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us
1515,-2.02,-2.13,-0.03,0.0,0.0,0.0,0,5004
1534,-2.08,-2.13,-0.05,0.0,0.0,0.0,0,5000
1555,-1.91,-2.13,-0.03,0.0,0.0,0.0,0,5000
1574,-2.08,-2.13,0.00,0.0,0.0,0.0,0,5000
1595,-2.09,-2.13,-0.05,0.0,0.0,0.0,0,5004
1615,-2.13,-2.13,-0.02,0.0,0.0,0.0,0,5000
1635,-2.21,-2.13,-0.02,0.0,0.0,0.0,0,5004
1655,-2.24,-2.13,-0.06,0.0,0.0,0.0,0,5000
1675,-2.03,-2.13,-0.03,0.0,0.0,0.0,0,5000
1695,-1.89,-2.13,-0.08,0.0,0.0,0.0,0,5000
1715,-1.95,-2.12,-0.08,0.0,0.0,0.0,0,5004
1735,-2.12,-2.12,0.00,0.0,0.0,0.0,0,5004
1755,-1.91,-2.12,-0.03,0.0,0.0,0.0,0,5000
1775,-2.03,-2.11,0.06,0.0,0.0,0.0,0,5000
1795,-2.06,-2.11,0.02,0.0,0.0,0.0,0,5000
1815,-1.95,-2.11,-0.06,0.0,0.0,0.0,0,5000
1835,-1.96,-2.10,0.06,0.0,0.0,0.0,0,5000
1855,-2.08,-2.10,-0.11,0.0,0.0,0.0,0,5000
1875,-2.07,-2.10,-0.08,0.0,0.0,0.0,0,5000
1895,-2.19,-2.10,0.00,0.0,0.0,0.0,0,5004
1915,-2.11,-2.10,-0.03,0.0,0.0,0.0,0,5004
1935,-1.97,-2.10,0.00,0.0,0.0,0.0,0,5004
1955,-2.12,-2.10,0.03,0.0,0.0,0.0,0,5000
1975,-2.02,-2.09,-0.05,0.0,0.0,0.0,0,5004
1995,-2.15,-2.09,-0.02,0.0,0.0,0.0,0,5000
2015,-2.08,-2.09,-0.03,0.0,0.0,0.0,0,5000
2035,-2.09,-2.09,-0.08,0.0,0.0,0.0,0,5004
2055,-2.20,-2.10,-0.03,0.0,0.0,0.0,0,5000
2075,-1.95,-2.09,0.00,0.0,0.0,0.0,0,5004
2095,-1.95,-2.09,-0.03,0.0,0.0,0.0,0,5004
2115,-2.03,-2.08,-0.02,0.0,0.0,0.0,0,5004
2136,-1.92,-2.08,0.02,0.0,0.0,0.0,0,5004
2155,-1.94,-2.08,0.00,0.0,0.0,0.0,0,5004
2176,-2.11,-2.07,0.02,0.0,0.0,0.0,0,5000
2195,-2.03,-2.07,-0.06,0.0,0.0,0.0,0,5000
2215,-1.90,-2.06,-0.02,0.0,0.0,0.0,0,5004
2235,-2.05,-2.06,0.00,0.0,0.0,0.0,0,5000
2255,-1.92,-2.06,-0.05,0.0,0.0,0.0,0,5004
2275,-2.05,-2.05,0.05,0.0,0.0,0.0,0,5004
2295,-2.00,-2.05,-0.02,0.0,0.0,0.0,0,5004
2315,-2.12,-2.05,0.03,0.0,0.0,0.0,0,5004
2335,-2.04,-2.05,0.02,0.0,0.0,0.0,0,5004
2355,-1.97,-2.05,-0.05,0.0,0.0,0.0,0,5004
2375,-2.01,-2.05,-0.08,0.0,0.0,0.0,0,5004
2396,-2.13,-2.05,-0.11,0.0,0.0,0.0,0,5000
2415,-1.93,-2.04,0.02,0.0,0.0,0.0,0,5004
2436,-2.03,-2.04,0.02,0.0,0.0,0.0,0,5000
2455,-2.01,-2.03,0.05,0.0,0.0,0.0,0,5000
2476,-2.01,-2.03,-0.06,0.0,0.0,0.0,0,5000
2495,-1.86,-2.03,0.00,0.0,0.0,0.0,0,5000
2515,-2.12,-2.03,-0.02,0.0,0.0,0.0,0,5000
2535,-2.20,-2.03,-0.05,0.0,0.0,0.0,0,5000
2555,-2.17,-2.04,-0.06,0.0,0.0,0.0,0,5004
2575,-2.03,-2.04,-0.02,0.0,0.0,0.0,0,5000
2595,-2.20,-2.04,0.09,0.0,0.0,0.0,0,5000
2615,-1.85,-2.04,-0.05,0.0,0.0,0.0,0,5004
2635,-2.08,-2.04,0.02,0.0,0.0,0.0,0,5000
2656,-1.98,-2.04,0.00,0.0,0.0,0.0,0,5004
2675,-2.07,-2.04,0.02,0.0,0.0,0.0,0,5000
2696,-2.09,-2.04,0.00,0.0,0.0,0.0,0,5004
2715,-1.79,-2.04,-0.03,0.0,0.0,0.0,0,5004
2736,-1.99,-2.03,-0.02,0.0,0.0,0.0,0,5000
2755,-1.93,-2.04,-0.06,0.0,0.0,0.0,0,5000
2776,-1.97,-2.04,-0.03,0.0,0.0,0.0,0,5012
2795,-2.20,-2.05,-0.08,0.0,0.0,0.0,0,5000
2816,-1.99,-2.05,0.03,0.0,0.0,0.0,0,5000
