# trial: trial_012.csv
# date: 2026-08-01T17:45:04
# note: gyro axis ID: 3x slow cycle upright-forward-upright-backward, forward first
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
1516,-2.10,-2.14,0.00,0.0,0.0,0.0,0,5000,0.02,-0.06
1537,-2.30,-2.14,0.02,0.0,0.0,0.0,0,5000,0.02,-0.03
1557,-2.18,-2.14,0.03,0.0,0.0,0.0,0,5004,0.03,0.00
1577,-2.17,-2.14,-0.03,0.0,0.0,0.0,0,5000,0.00,0.06
1597,-2.06,-2.14,0.03,0.0,0.0,0.0,0,5000,0.02,-0.05
1617,-2.15,-2.14,0.00,0.0,0.0,0.0,0,5004,0.06,-0.09
1638,-2.10,-2.14,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.05
1658,-2.00,-2.14,-0.05,0.0,0.0,0.0,0,5000,0.02,0.05
1679,-2.16,-2.14,0.06,0.0,0.0,0.0,0,5004,0.02,-0.02
1699,-2.07,-2.14,0.00,0.0,0.0,0.0,0,5004,-0.02,0.03
1720,-2.14,-2.14,-0.12,0.0,0.0,0.0,0,5000,-0.06,-0.03
1740,-2.14,-2.14,-0.05,0.0,0.0,0.0,0,5000,0.05,-0.06
1761,-2.16,-2.14,-0.09,0.0,0.0,0.0,0,5000,0.06,-0.09
1781,-2.09,-2.14,0.06,0.0,0.0,0.0,0,5004,-0.05,0.00
1802,-2.26,-2.14,0.02,0.0,0.0,0.0,0,5000,0.00,0.03
1822,-2.03,-2.14,-0.06,0.0,0.0,0.0,0,5000,0.03,-0.08
1843,-2.13,-2.14,0.00,0.0,0.0,0.0,0,5000,-0.06,0.06
1863,-2.14,-2.14,-0.03,0.0,0.0,0.0,0,5000,0.02,-0.02
1884,-2.02,-2.14,0.03,0.0,0.0,0.0,0,5000,0.02,-0.05
1903,-2.30,-2.14,-0.02,0.0,0.0,0.0,0,5000,-0.03,0.03
1924,-2.11,-2.13,-0.02,0.0,0.0,0.0,0,5000,-0.03,0.02
1944,-2.13,-2.14,-0.06,0.0,0.0,0.0,0,5000,0.02,0.00
1965,-2.19,-2.14,-0.05,0.0,0.0,0.0,0,5004,-0.03,-0.03
1985,-2.02,-2.13,-0.03,0.0,0.0,0.0,0,5000,0.00,0.00
2006,-2.03,-2.13,-0.03,0.0,0.0,0.0,0,5000,-0.02,0.05
2026,-2.41,-2.13,-0.02,0.0,0.0,0.0,0,5004,0.00,-0.02
2046,-2.13,-2.13,0.00,0.0,0.0,0.0,0,5004,0.02,-0.03
2067,-2.14,-2.13,0.03,0.0,0.0,0.0,0,5000,0.05,0.05
2087,-2.15,-2.13,-0.08,0.0,0.0,0.0,0,5000,0.00,0.03
2108,-2.21,-2.13,-0.08,0.0,0.0,0.0,0,5004,0.00,-0.06
2128,-2.10,-2.13,0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
2149,-2.25,-2.13,-0.05,0.0,0.0,0.0,0,5000,0.06,0.06
2169,-2.23,-2.13,-0.02,0.0,0.0,0.0,0,5000,-0.05,-0.02
2190,-2.19,-2.13,-0.05,0.0,0.0,0.0,0,5004,0.02,0.05
2209,-2.01,-2.13,0.02,0.0,0.0,0.0,0,5000,0.02,-0.05
2230,-2.29,-2.13,-0.02,0.0,0.0,0.0,0,5000,0.02,0.00
2250,-2.16,-2.14,0.02,0.0,0.0,0.0,0,5004,-0.02,-0.03
2271,-2.17,-2.14,0.02,0.0,0.0,0.0,0,5000,-0.02,0.02
2291,-2.11,-2.14,-0.12,0.0,0.0,0.0,0,5000,0.03,0.00
2312,-2.20,-2.14,-0.02,0.0,0.0,0.0,0,5004,0.02,-0.02
2332,-2.25,-2.14,-0.02,0.0,0.0,0.0,0,5000,0.08,0.00
2353,-2.23,-2.15,-0.05,0.0,0.0,0.0,0,5004,-0.02,0.00
2373,-2.09,-2.14,0.05,0.0,0.0,0.0,0,5000,0.00,-0.09
2394,-2.08,-2.14,-0.02,0.0,0.0,0.0,0,5000,0.00,0.05
2414,-2.09,-2.14,0.03,0.0,0.0,0.0,0,5004,0.02,0.00
2435,-2.00,-2.13,-0.06,0.0,0.0,0.0,0,5000,0.00,0.02
2454,-2.28,-2.13,-0.08,0.0,0.0,0.0,0,5000,-0.03,0.02
2475,-2.06,-2.13,0.05,0.0,0.0,0.0,0,5004,0.00,0.03
2495,-2.02,-2.13,-0.08,0.0,0.0,0.0,0,5004,-0.05,-0.03
2515,-2.29,-2.13,-0.03,0.0,0.0,0.0,0,5004,-0.08,0.00
2536,-2.27,-2.13,-0.03,0.0,0.0,0.0,0,5000,0.05,0.03
2556,-2.11,-2.13,-0.03,0.0,0.0,0.0,0,5000,-0.03,0.00
2577,-2.20,-2.13,0.08,0.0,0.0,0.0,0,5000,0.03,-0.05
2597,-2.15,-2.13,-0.05,0.0,0.0,0.0,0,5004,-0.02,0.05
2618,-2.24,-2.13,0.03,0.0,0.0,0.0,0,5004,0.06,0.00
2638,-2.10,-2.13,0.09,0.0,0.0,0.0,0,5000,0.06,0.00
2659,-2.32,-2.13,-0.03,0.0,0.0,0.0,0,5004,0.05,-0.02
2679,-2.14,-2.13,-0.06,0.0,0.0,0.0,0,5004,0.02,0.03
2700,-2.06,-2.13,0.00,0.0,0.0,0.0,0,5004,0.00,-0.05
2720,-2.13,-2.13,0.03,0.0,0.0,0.0,0,5000,-0.06,0.03
2740,-2.03,-2.13,-0.09,0.0,0.0,0.0,0,5004,0.02,-0.02
2760,-1.98,-2.13,-0.03,0.0,0.0,0.0,0,5004,0.03,-0.03
2781,-2.01,-2.13,0.05,0.0,0.0,0.0,0,5004,-0.05,0.03
2801,-1.96,-2.13,-0.08,0.0,0.0,0.0,0,5000,-0.09,-0.05
2822,-2.25,-2.13,-0.08,0.0,0.0,0.0,0,5004,0.03,0.11
2842,-2.13,-2.13,-0.03,0.0,0.0,0.0,0,5000,0.08,-0.03
2863,-1.94,-2.12,0.06,0.0,0.0,0.0,0,5004,0.03,0.08
2883,-2.26,-2.13,-0.05,0.0,0.0,0.0,0,5004,0.00,0.03
2904,-2.04,-2.12,-0.02,0.0,0.0,0.0,0,5004,-0.03,0.05
2924,-2.06,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.00,0.03
2945,-2.18,-2.11,-0.09,0.0,0.0,0.0,0,5000,0.00,0.03
2965,-2.14,-2.11,0.02,0.0,0.0,0.0,0,5004,0.05,0.00
2985,-2.03,-2.11,-0.03,0.0,0.0,0.0,0,5000,-0.05,0.06
3006,-2.02,-2.11,0.00,0.0,0.0,0.0,0,5000,-0.05,-0.05
3026,-2.15,-2.11,-0.14,0.0,0.0,0.0,0,5004,0.03,-0.03
3047,-2.12,-2.11,0.02,0.0,0.0,0.0,0,5004,-0.02,-0.08
3067,-2.12,-2.11,0.00,0.0,0.0,0.0,0,5004,0.02,-0.03
3087,-2.18,-2.12,-0.05,0.0,0.0,0.0,0,5004,0.03,-0.06
3107,-2.07,-2.11,-0.02,0.0,0.0,0.0,0,5000,0.03,-0.03
3128,-2.26,-2.11,-0.03,0.0,0.0,0.0,0,5004,-0.02,-0.02
3148,-2.20,-2.11,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
3169,-2.18,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.00,0.00
3189,-2.05,-2.12,0.03,0.0,0.0,0.0,0,5000,0.06,0.03
3210,-2.08,-2.12,-0.08,0.0,0.0,0.0,0,5000,0.00,0.02
3230,-2.12,-2.12,0.00,0.0,0.0,0.0,0,5004,-0.02,0.05
3251,-2.23,-2.12,0.00,0.0,0.0,0.0,0,5000,0.03,0.00
3271,-2.06,-2.12,-0.05,0.0,0.0,0.0,0,5004,-0.05,-0.06
3292,-2.19,-2.13,-0.02,0.0,0.0,0.0,0,5000,0.05,-0.02
3312,-2.16,-2.13,-0.06,0.0,0.0,0.0,0,5000,0.11,0.02
3333,-2.13,-2.13,0.05,0.0,0.0,0.0,0,5000,0.00,-0.06
3353,-2.12,-2.13,-0.05,0.0,0.0,0.0,0,5000,0.05,-0.03
3374,-2.12,-2.13,0.05,0.0,0.0,0.0,0,5004,0.02,0.02
3393,-2.21,-2.13,-0.03,0.0,0.0,0.0,0,5000,0.08,-0.02
3414,-1.93,-2.13,0.02,0.0,0.0,0.0,0,5000,-0.06,-0.03
3434,-1.97,-2.12,0.00,0.0,0.0,0.0,0,5004,-0.11,0.03
3454,-2.29,-2.12,-0.11,0.0,0.0,0.0,0,5000,0.03,-0.06
3475,-2.24,-2.11,-0.06,0.0,0.0,0.0,0,5000,-0.02,0.00
3495,-2.07,-2.11,-0.05,0.0,0.0,0.0,0,5000,-0.05,0.08
3516,-2.25,-2.12,-0.03,0.0,0.0,0.0,0,5004,0.02,0.03
3536,-2.03,-2.12,-0.09,0.0,0.0,0.0,0,5004,-0.08,0.02
3557,-2.07,-2.12,-0.03,0.0,0.0,0.0,0,5000,0.06,0.03
3577,-2.19,-2.13,0.00,0.0,0.0,0.0,0,5004,-0.02,0.08
3598,-2.16,-2.12,0.03,0.0,0.0,0.0,0,5004,-0.03,-0.03
3618,-2.15,-2.13,-0.02,0.0,0.0,0.0,0,5004,-0.02,0.08
3639,-1.82,-2.12,-0.06,0.0,0.0,0.0,0,5004,-0.06,0.06
3659,-2.00,-2.11,-0.02,0.0,0.0,0.0,0,5004,0.05,0.00
3680,-2.20,-2.11,0.05,0.0,0.0,0.0,0,5004,0.02,-0.03
3700,-2.02,-2.11,-0.02,0.0,0.0,0.0,0,5000,-0.03,0.02
3721,-1.99,-2.11,0.02,0.0,0.0,0.0,0,5000,-0.08,0.06
3740,-2.32,-2.12,0.03,0.0,0.0,0.0,0,5004,-0.05,-0.08
3761,-2.08,-2.12,-0.06,0.0,0.0,0.0,0,5000,-0.03,-0.06
3781,-2.01,-2.12,0.03,0.0,0.0,0.0,0,5000,0.03,-0.06
3802,-2.26,-2.12,0.03,0.0,0.0,0.0,0,5000,0.03,-0.03
3822,-2.12,-2.13,0.00,0.0,0.0,0.0,0,5004,0.00,-0.02
3843,-2.11,-2.12,0.09,0.0,0.0,0.0,0,5000,0.02,0.00
3863,-2.19,-2.12,0.03,0.0,0.0,0.0,0,5004,-0.05,-0.02
3884,-2.18,-2.12,-0.11,0.0,0.0,0.0,0,5000,0.00,-0.05
3904,-2.19,-2.12,0.02,0.0,0.0,0.0,0,5004,0.02,0.03
3924,-2.27,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,0.06
3945,-1.91,-2.11,0.02,0.0,0.0,0.0,0,5004,0.03,0.00
3965,-2.13,-2.11,-0.03,0.0,0.0,0.0,0,5000,0.00,0.03
3986,-2.09,-2.11,0.05,0.0,0.0,0.0,0,5000,-0.03,-0.05
4006,-2.24,-2.11,-0.02,0.0,0.0,0.0,0,5000,-0.05,-0.05
4026,-2.21,-2.11,0.02,0.0,0.0,0.0,0,5004,-0.03,0.00
4046,-2.18,-2.11,0.00,0.0,0.0,0.0,0,5000,0.03,0.02
4067,-2.22,-2.12,-0.03,0.0,0.0,0.0,0,5000,-0.02,-0.02
4087,-2.02,-2.12,0.05,0.0,0.0,0.0,0,5000,0.02,0.02
4108,-2.05,-2.12,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
4128,-2.10,-2.12,0.03,0.0,0.0,0.0,0,5000,-0.02,0.05
4149,-2.02,-2.12,0.05,0.0,0.0,0.0,0,5004,0.00,-0.02
4169,-2.03,-2.11,0.00,0.0,0.0,0.0,0,5000,-0.03,0.00
4190,-2.16,-2.11,-0.05,0.0,0.0,0.0,0,5004,-0.06,0.00
4210,-2.08,-2.11,-0.06,0.0,0.0,0.0,0,5004,0.05,-0.02
4231,-2.25,-2.11,0.06,0.0,0.0,0.0,0,5004,-0.03,-0.06
