# trial: trial_013.csv
# date: 2026-08-01T17:46:25
# note: gyro axis ID take 2: 3x slow cycle fwd-up-back-up, forward first
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
1516,-2.02,-2.28,-0.03,0.0,0.0,0.0,0,5012,-0.03,0.08
1537,-2.19,-2.28,-0.03,0.0,0.0,0.0,0,5000,0.06,0.05
1557,-2.17,-2.28,-0.05,0.0,0.0,0.0,0,5000,-0.02,-0.02
1577,-2.19,-2.28,0.05,0.0,0.0,0.0,0,5000,-0.02,0.06
1598,-2.20,-2.27,0.06,0.0,0.0,0.0,0,5000,0.03,0.05
1618,-2.22,-2.27,-0.05,0.0,0.0,0.0,0,5000,0.00,-0.02
1638,-1.91,-2.27,0.05,0.0,0.0,0.0,0,5004,0.05,0.06
1658,-2.21,-2.26,0.00,0.0,0.0,0.0,0,5000,0.08,0.11
1679,-2.03,-2.26,0.06,0.0,0.0,0.0,0,5000,0.02,0.05
1699,-2.06,-2.25,-0.03,0.0,0.0,0.0,0,5004,0.05,0.03
1720,-2.18,-2.25,0.02,0.0,0.0,0.0,0,5000,0.03,-0.02
1740,-2.01,-2.25,0.05,0.0,0.0,0.0,0,5004,0.05,-0.05
1761,-2.10,-2.24,-0.12,0.0,0.0,0.0,0,5004,0.00,0.02
1781,-1.86,-2.23,0.05,0.0,0.0,0.0,0,5004,0.00,-0.11
1802,-2.03,-2.22,0.00,0.0,0.0,0.0,0,5000,-0.03,-0.05
1822,-2.01,-2.21,-0.05,0.0,0.0,0.0,0,5000,0.06,0.05
1843,-2.06,-2.21,0.02,0.0,0.0,0.0,0,5000,-0.06,-0.03
1863,-2.15,-2.20,-0.06,0.0,0.0,0.0,0,5000,0.03,0.05
1884,-2.08,-2.20,-0.03,0.0,0.0,0.0,0,5004,-0.03,0.02
1904,-2.23,-2.20,-0.06,0.0,0.0,0.0,0,5004,0.02,-0.02
1925,-2.01,-2.19,0.03,0.0,0.0,0.0,0,5004,0.00,-0.02
1944,-2.01,-2.19,0.02,0.0,0.0,0.0,0,5004,-0.03,-0.06
1965,-2.08,-2.18,0.05,0.0,0.0,0.0,0,5000,-0.05,-0.05
1985,-2.01,-2.18,0.02,0.0,0.0,0.0,0,5000,0.00,-0.03
2006,-2.16,-2.17,-0.02,0.0,0.0,0.0,0,5004,0.02,-0.08
2026,-2.22,-2.17,-0.02,0.0,0.0,0.0,0,5000,0.02,-0.05
2046,-1.98,-2.16,-0.03,0.0,0.0,0.0,0,5000,0.05,0.03
2067,-2.22,-2.17,-0.03,0.0,0.0,0.0,0,5004,0.02,0.08
2087,-2.00,-2.16,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
2108,-2.15,-2.15,-0.03,0.0,0.0,0.0,0,5000,0.05,0.00
2128,-2.07,-2.15,0.00,0.0,0.0,0.0,0,5000,0.05,0.00
2149,-2.21,-2.15,0.05,0.0,0.0,0.0,0,5004,0.06,-0.03
2169,-2.42,-2.15,-0.06,0.0,0.0,0.0,0,5000,0.03,-0.05
