# trial: trial_014.csv
# date: 2026-08-01T17:48:09
# note: gyro axis ID take 3: background window, 3x slow cycle fwd-up-back-up
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_x,gyro_z
1516,-2.01,-2.23,0.00,0.0,0.0,0.0,0,5004,0.02,-0.08
1537,-1.95,-2.23,-0.06,0.0,0.0,0.0,0,5004,0.03,-0.06
1557,-2.07,-2.23,0.03,0.0,0.0,0.0,0,5000,0.00,0.05
1577,-2.03,-2.23,0.03,0.0,0.0,0.0,0,5000,-0.03,-0.05
1598,-2.10,-2.22,-0.03,0.0,0.0,0.0,0,5000,-0.02,-0.09
1618,-2.03,-2.22,-0.03,0.0,0.0,0.0,0,5004,-0.06,0.05
1638,-2.05,-2.22,0.08,0.0,0.0,0.0,0,5004,-0.03,0.05
1658,-2.14,-2.22,0.05,0.0,0.0,0.0,0,5000,0.02,0.00
1679,-2.13,-2.22,0.00,0.0,0.0,0.0,0,5004,0.00,-0.03
1699,-1.92,-2.21,0.00,0.0,0.0,0.0,0,5000,0.02,0.02
1720,-2.13,-2.21,-0.05,0.0,0.0,0.0,0,5000,0.00,-0.05
1740,-1.97,-2.21,-0.05,0.0,0.0,0.0,0,5000,-0.06,-0.08
1761,-2.17,-2.20,-0.09,0.0,0.0,0.0,0,5000,-0.02,-0.05
1781,-2.07,-2.20,0.05,0.0,0.0,0.0,0,5004,-0.05,-0.02
1802,-2.09,-2.20,-0.06,0.0,0.0,0.0,0,5000,0.02,0.00
1822,-2.13,-2.19,-0.06,0.0,0.0,0.0,0,5000,-0.03,-0.02
1843,-2.23,-2.19,-0.06,0.0,0.0,0.0,0,5004,0.02,-0.03
1863,-2.17,-2.19,0.03,0.0,0.0,0.0,0,5004,-0.02,-0.03
