# trial: trial_015.csv
# date: 2026-08-01T17:53:29
# note: verify gyro axis+scale fix: 1x slow cycle fwd-up-back-up
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1516,-4.24,-4.30,-0.04,0.0,0.0,0.0,0,5004,-0.06,0.04
1537,-4.38,-4.30,0.08,0.0,0.0,0.0,0,5004,0.04,0.00
1557,-4.26,-4.30,0.06,0.0,0.0,0.0,0,5000,0.02,0.04
1577,-4.37,-4.30,-0.04,0.0,0.0,0.0,0,5000,-0.06,-0.02
1598,-4.25,-4.30,-0.08,0.0,0.0,0.0,0,5004,-0.10,-0.04
1617,-4.13,-4.30,0.00,0.0,0.0,0.0,0,5004,-0.06,0.00
1638,-4.28,-4.30,0.02,0.0,0.0,0.0,0,5000,0.04,-0.10
1658,-4.22,-4.30,0.04,0.0,0.0,0.0,0,5000,-0.12,-0.02
1679,-4.29,-4.30,0.00,0.0,0.0,0.0,0,5004,0.08,-0.02
1699,-4.04,-4.29,0.04,0.0,0.0,0.0,0,5004,0.02,0.04
1720,-4.11,-4.29,0.10,0.0,0.0,0.0,0,5004,0.00,0.08
1740,-4.09,-4.29,0.02,0.0,0.0,0.0,0,5004,-0.04,-0.04
1761,-4.12,-4.28,0.02,0.0,0.0,0.0,0,5000,-0.14,0.14
1781,-4.44,-4.28,0.02,0.0,0.0,0.0,0,5000,0.14,-0.02
1802,-4.24,-4.28,0.06,0.0,0.0,0.0,0,5000,-0.08,-0.06
1822,-4.29,-4.28,0.02,0.0,0.0,0.0,0,5000,0.00,0.06
1843,-4.36,-4.28,-0.02,0.0,0.0,0.0,0,5004,-0.06,-0.10
1863,-4.08,-4.28,0.06,0.0,0.0,0.0,0,5000,-0.04,0.00
1884,-4.20,-4.28,0.08,0.0,0.0,0.0,0,5004,-0.08,0.02
1903,-4.24,-4.27,-0.04,0.0,0.0,0.0,0,5000,0.02,0.00
1924,-4.34,-4.27,0.00,0.0,0.0,0.0,0,5004,0.00,0.06
1944,-4.16,-4.27,0.02,0.0,0.0,0.0,0,5000,0.02,0.18
1965,-4.07,-4.26,-0.02,0.0,0.0,0.0,0,5000,-0.04,0.00
1985,-4.24,-4.26,0.04,0.0,0.0,0.0,0,5004,-0.02,0.06
2006,-4.19,-4.26,0.02,0.0,0.0,0.0,0,5004,0.00,-0.04
2026,-4.12,-4.25,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.04
