# trial: trial_016.csv
# date: 2026-08-01T17:59:05
# note: armed direction sanity: wheels free, tilt fwd/back, expect wheels chase the fall
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� old bias kept, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1519,6.54,6.29,0.37,0.0,0.0,0.0,0,5004,-4.20,-3.18
1540,6.82,6.30,-0.06,0.0,0.0,0.0,0,5004,-4.02,-3.47
1560,6.91,6.31,0.71,0.0,0.0,0.0,0,5000,-3.44,-4.40
1581,6.55,6.34,2.14,0.0,0.0,0.0,0,5004,-3.42,-4.48
1601,6.35,6.40,3.36,0.0,0.0,0.0,0,5000,-2.45,-4.12
1622,6.05,6.47,3.77,0.0,0.0,0.0,0,5004,-1.08,-4.85
1642,6.05,6.55,4.38,0.0,0.0,0.0,0,5000,-1.22,-4.85
1662,5.61,6.62,3.42,0.0,0.0,0.0,0,5004,-3.10,-4.63
1683,5.12,6.61,0.29,0.0,0.0,0.0,0,5004,-4.57,-4.38
1703,5.89,6.57,-1.12,0.0,0.0,0.0,0,5000,-3.69,-4.04
1724,6.70,6.56,0.82,0.0,0.0,0.0,0,5000,-1.45,-3.32
1744,6.99,6.63,4.30,0.0,0.0,0.0,0,5000,-1.32,-3.51
1765,6.81,6.74,5.12,0.0,0.0,0.0,0,5004,-2.20,-4.71
1785,5.99,6.82,3.85,0.0,0.0,0.0,0,5000,-3.61,-4.81
1806,5.86,6.83,1.67,0.0,0.0,0.0,0,5004,-3.79,-3.93
1826,6.49,6.81,-0.24,0.0,0.0,0.0,0,5000,-2.73,-4.28
1847,6.80,6.80,0.33,0.0,0.0,0.0,0,5004,-1.83,-5.18
1867,6.56,6.84,2.87,0.0,0.0,0.0,0,5004,-1.75,-4.75
1888,6.26,6.89,4.30,0.0,0.0,0.0,0,5004,-2.71,-4.55
1908,6.17,6.93,3.30,0.0,0.0,0.0,0,5000,-2.24,-3.91
1928,6.00,6.93,1.73,0.0,0.0,0.0,0,5000,-0.98,-4.30
1948,6.01,6.91,0.57,0.0,0.0,0.0,0,5000,-2.38,-4.95
1969,6.43,6.88,0.04,0.0,0.0,0.0,0,5000,-4.50,-5.18
1989,6.22,6.86,0.94,0.0,0.0,0.0,0,5004,-4.65,-4.89
2010,5.90,6.85,2.08,0.0,0.0,0.0,0,5000,-3.06,-3.79
2030,6.09,6.85,2.26,0.0,0.0,0.0,0,5004,-1.14,-3.34
2051,7.03,6.89,2.16,0.0,0.0,0.0,0,5000,-0.71,-3.47
2071,6.72,6.91,1.65,0.0,0.0,0.0,0,5004,-2.26,-4.73
2092,6.38,6.92,1.30,0.0,0.0,0.0,0,5000,-4.59,-5.32
2112,6.25,6.92,2.20,0.0,0.0,0.0,0,5000,-4.38,-5.06
2132,5.90,6.91,3.12,0.0,0.0,0.0,0,5000,-3.10,-4.14
2153,5.95,6.89,2.02,0.0,0.0,0.0,0,5004,-2.10,-3.83
2173,6.47,6.87,1.20,0.0,0.0,0.0,0,5000,-1.47,-3.73
2194,6.68,6.88,1.57,0.0,0.0,0.0,0,5000,-1.98,-4.22
2214,6.61,6.90,1.98,0.0,0.0,0.0,0,5000,-3.22,-4.93
2235,6.23,6.90,2.49,0.0,0.0,0.0,0,5004,-3.12,-4.93
2255,5.93,6.88,2.20,0.0,0.0,0.0,0,5000,-2.71,-4.08
2276,5.85,6.84,1.81,0.0,0.0,0.0,0,5004,-1.85,-3.67
2296,6.10,6.80,1.83,0.0,0.0,0.0,0,5004,-1.51,-3.79
2317,6.72,6.83,3.08,0.0,0.0,0.0,0,5000,-2.22,-3.73
2337,6.16,6.84,2.89,0.0,0.0,0.0,0,5004,-4.02,-3.83
2358,5.72,6.80,1.10,0.0,0.0,0.0,0,5000,-4.95,-3.81
2378,5.91,6.72,0.24,0.0,0.0,0.0,0,5000,-4.00,-3.02
2399,6.70,6.70,0.73,0.0,0.0,0.0,0,5000,-1.92,-2.89
2419,7.29,6.74,1.85,0.0,0.0,0.0,0,5004,-1.10,-3.79
2440,6.95,6.80,3.18,0.0,0.0,0.0,0,5000,-2.14,-3.89
2460,6.40,6.84,2.71,0.0,0.0,0.0,0,5004,-3.85,-3.51
2480,6.16,6.80,0.96,0.0,0.0,0.0,0,5000,-3.79,-3.77
2500,6.50,6.78,1.08,0.0,0.0,0.0,0,5000,-2.32,-4.12
2521,6.57,6.78,2.61,0.0,0.0,0.0,0,5000,-1.30,-4.61
2541,6.44,6.80,3.26,0.0,0.0,0.0,0,5004,-2.85,-5.77
2562,5.70,6.79,3.22,0.0,0.0,0.0,0,5004,-3.87,-4.79
2582,5.12,6.70,1.92,0.0,0.0,0.0,0,5004,-4.46,-2.10
2603,5.60,6.58,-1.94,0.0,0.0,0.0,0,5004,-3.02,-3.24
2623,6.87,6.49,-3.22,0.0,0.0,0.0,0,5000,-0.69,-4.89
2643,7.66,6.51,0.57,0.0,0.0,0.0,0,5000,0.16,-4.44
2664,7.01,6.62,4.67,0.0,0.0,0.0,0,5000,-1.90,-3.93
2684,6.37,6.70,5.65,0.0,0.0,0.0,0,5004,-3.67,-3.02
2705,6.20,6.73,3.75,0.0,0.0,0.0,0,5000,-1.41,-3.30
2725,6.19,6.72,1.94,0.0,0.0,0.0,0,5000,-0.47,-4.48
2746,6.47,6.70,1.43,0.0,0.0,0.0,0,5000,-2.63,-4.61
2766,6.44,6.69,1.71,0.0,0.0,0.0,0,5004,-3.69,-4.83
2787,5.91,6.66,1.94,0.0,0.0,0.0,0,5004,-3.30,-4.61
2807,5.78,6.61,1.53,0.0,0.0,0.0,0,5000,-2.16,-4.12
2828,6.53,6.58,1.28,0.0,0.0,0.0,0,5000,-1.49,-4.08
2848,6.64,6.60,1.92,0.0,0.0,0.0,0,5000,-1.69,-4.61
2869,6.64,6.62,2.45,0.0,0.0,0.0,0,5000,-2.94,-4.73
2889,6.01,6.62,2.96,0.0,0.0,0.0,0,5004,-3.81,-4.20
2910,5.82,6.60,2.67,0.0,0.0,0.0,0,5004,-3.85,-4.00
2930,5.50,6.54,0.82,0.0,0.0,0.0,0,5000,-2.96,-4.16
2951,6.21,6.48,0.10,0.0,0.0,0.0,0,5004,-2.57,-3.69
2971,6.46,6.43,0.18,0.0,0.0,0.0,0,5004,-3.40,-3.32
2992,7.09,6.45,1.41,0.0,0.0,0.0,0,5000,-3.77,-3.51
3012,6.76,6.48,1.92,0.0,0.0,0.0,0,5004,-3.73,-3.95
3033,6.42,6.48,1.43,0.0,0.0,0.0,0,5004,-4.65,-4.22
3053,6.69,6.48,0.73,0.0,0.0,0.0,0,5000,-3.57,-4.50
3073,6.57,6.48,1.39,0.0,0.0,0.0,0,5004,-1.65,-4.55
3093,6.80,6.52,2.71,0.0,0.0,0.0,0,5004,-1.79,-4.79
3113,6.58,6.57,3.75,0.0,0.0,0.0,0,5004,-2.49,-5.12
3134,5.74,6.58,3.30,0.0,0.0,0.0,0,5004,-3.24,-4.34
3154,5.71,6.51,0.73,0.0,0.0,0.0,0,5000,-3.59,-4.14
3175,6.04,6.42,-0.86,0.0,0.0,0.0,0,5004,-1.79,-4.65
3195,6.88,6.40,0.59,0.0,0.0,0.0,0,5000,-1.14,-3.83
3216,6.76,6.44,2.75,0.0,0.0,0.0,0,5004,-3.20,-4.67
3236,5.96,6.46,3.28,0.0,0.0,0.0,0,5000,-5.54,-5.20
3257,5.57,6.41,1.85,0.0,0.0,0.0,0,5000,-5.32,-4.38
3277,5.51,6.31,0.63,0.0,0.0,0.0,0,5000,-2.24,-3.63
3298,6.26,6.26,1.08,0.0,0.0,0.0,0,5004,0.29,-3.30
3318,6.45,6.28,2.20,0.0,0.0,0.0,0,5000,-1.28,-3.30
3339,6.47,6.31,2.22,0.0,0.0,0.0,0,5000,-4.69,-3.57
3359,6.28,6.31,0.90,0.0,0.0,0.0,0,5000,-5.18,-3.65
3380,6.71,6.29,0.08,0.0,0.0,0.0,0,5000,-3.26,-3.75
3400,6.83,6.29,0.90,0.0,0.0,0.0,0,5000,-1.65,-4.10
3421,6.96,6.35,2.91,0.0,0.0,0.0,0,5004,-1.43,-4.73
3441,6.39,6.42,5.14,0.0,0.0,0.0,0,5000,-2.34,-4.63
# ARMING: hold upright ~2 s
3462,5.50,6.44,4.91,0.0,0.0,0.0,0,5004,-3.73,-3.91
3482,5.16,6.37,1.32,0.0,0.0,0.0,0,5004,-3.93,-3.93
3503,5.50,6.25,-0.96,0.0,0.0,0.0,0,5000,-2.89,-3.83
3523,6.52,6.22,0.51,0.0,0.0,0.0,0,5004,-1.83,-3.87
3544,6.47,6.25,2.59,0.0,0.0,0.0,0,5004,-2.67,-4.06
3564,6.17,6.27,2.47,0.0,0.0,0.0,0,5000,-4.83,-4.30
3585,6.17,6.25,1.16,0.0,0.0,0.0,0,5004,-5.06,-3.81
3605,6.07,6.21,0.31,0.0,0.0,0.0,0,5000,-3.18,-3.83
3625,6.64,6.22,1.28,0.0,0.0,0.0,0,5004,-2.26,-3.97
3646,6.82,6.27,2.94,0.0,0.0,0.0,0,5000,-2.71,-4.12
3666,6.50,6.33,3.18,0.0,0.0,0.0,0,5004,-3.69,-4.12
3687,6.30,6.35,1.24,0.0,0.0,0.0,0,5004,-3.91,-4.87
3707,6.27,6.32,0.33,0.0,0.0,0.0,0,5004,-2.98,-5.52
3728,6.43,6.31,1.77,0.0,0.0,0.0,0,5004,-2.28,-4.97
3748,6.22,6.33,3.83,0.0,0.0,0.0,0,5004,-2.24,-4.50
3769,5.89,6.36,4.42,0.0,0.0,0.0,0,5000,-2.28,-4.61
3789,5.56,6.34,3.18,0.0,0.0,0.0,0,5000,-2.77,-3.44
3810,5.71,6.26,0.20,0.0,0.0,0.0,0,5000,-3.49,-3.59
3830,6.13,6.18,-1.22,0.0,0.0,0.0,0,5004,-3.20,-4.20
3851,6.66,6.18,1.06,0.0,0.0,0.0,0,5000,-3.28,-3.75
3871,6.37,6.19,2.16,0.0,0.0,0.0,0,5000,-4.30,-3.85
3892,6.30,6.19,0.67,0.0,0.0,0.0,0,5004,-4.32,-4.36
3912,6.69,6.20,0.12,0.0,0.0,0.0,0,5000,-3.14,-4.42
3933,6.52,6.23,2.43,0.0,0.0,0.0,0,5000,-3.40,-3.95
3952,6.08,6.27,3.71,0.0,0.0,0.0,0,5000,-4.32,-3.87
3973,5.81,6.27,2.02,0.0,0.0,0.0,0,5000,-3.93,-4.65
3993,5.83,6.22,0.67,0.0,0.0,0.0,0,5004,-2.85,-4.71
4014,5.85,6.16,0.45,0.0,0.0,0.0,0,5000,-3.18,-4.06
4034,6.13,6.13,1.06,0.0,0.0,0.0,0,5000,-3.49,-4.22
4055,6.15,6.13,1.73,0.0,0.0,0.0,0,5000,-3.77,-3.81
4075,6.42,6.14,0.84,0.0,0.0,0.0,0,5000,-3.44,-3.87
4096,7.00,6.14,-0.31,0.0,0.0,0.0,0,5004,-3.02,-4.99
4116,6.96,6.18,1.00,0.0,0.0,0.0,0,5000,-2.81,-5.08
4136,6.43,6.24,3.85,0.0,0.0,0.0,0,5004,-2.96,-4.79
4157,5.72,6.29,5.36,0.0,0.0,0.0,0,5000,-3.08,-4.20
4177,5.25,6.27,3.42,0.0,0.0,0.0,0,5000,-2.20,-4.55
4198,5.45,6.18,0.51,0.0,0.0,0.0,0,5000,-1.63,-4.73
4218,5.83,6.11,-0.53,0.0,0.0,0.0,0,5000,-3.04,-4.04
4239,6.65,6.08,-0.12,0.0,0.0,0.0,0,5000,-5.12,-3.38
4259,7.22,6.11,0.24,0.0,0.0,0.0,0,5004,-5.08,-4.46
4280,7.11,6.18,1.69,0.0,0.0,0.0,0,5000,-3.81,-4.73
4300,6.31,6.24,3.12,0.0,0.0,0.0,0,5004,-3.47,-4.65
4321,5.72,6.23,2.75,0.0,0.0,0.0,0,5004,-3.34,-5.10
4341,5.85,6.21,2.12,0.0,0.0,0.0,0,5004,-1.83,-4.99
4362,5.97,6.19,1.94,0.0,0.0,0.0,0,5004,-1.28,-4.18
