# trial: trial_017.csv
# date: 2026-08-01T18:06:44
# note: P2 trial 1: Kp=15 Ki=0 Kd=0, P-only floor release
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1522,-0.14,-0.16,-0.08,0.0,0.0,0.0,0,5004,0.04,0.02
1543,-0.09,-0.16,-0.06,0.0,0.0,0.0,0,5000,-0.14,-0.06
1563,0.07,-0.16,0.00,0.0,0.0,0.0,0,5000,0.02,-0.08
1583,-0.02,-0.16,0.06,0.0,0.0,0.0,0,5004,-0.06,-0.10
1603,-0.05,-0.15,0.14,0.0,0.0,0.0,0,5000,0.04,-0.10
1624,0.03,-0.15,0.02,0.0,0.0,0.0,0,5000,0.00,-0.04
1644,0.04,-0.15,0.06,0.0,0.0,0.0,0,5000,-0.08,-0.06
1665,-0.04,-0.15,0.06,0.0,0.0,0.0,0,5000,0.00,-0.02
1685,-0.14,-0.15,0.00,0.0,0.0,0.0,0,5004,-0.06,0.04
1705,-0.18,-0.15,0.02,0.0,0.0,0.0,0,5000,-0.08,-0.04
1726,0.14,-0.14,0.02,0.0,0.0,0.0,0,5000,-0.12,-0.02
1746,-0.04,-0.14,0.10,0.0,0.0,0.0,0,5000,-0.02,-0.08
1767,0.05,-0.14,-0.08,0.0,0.0,0.0,0,5000,0.00,0.00
1787,-0.08,-0.13,-0.06,0.0,0.0,0.0,0,5000,-0.02,0.04
1808,-0.12,-0.14,-0.04,0.0,0.0,0.0,0,5000,-0.04,-0.02
1828,-0.02,-0.13,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.10
1848,-0.09,-0.13,0.00,0.0,0.0,0.0,0,5000,-0.02,-0.04
1868,0.16,-0.12,0.02,0.0,0.0,0.0,0,5000,0.10,0.08
1889,-0.11,-0.12,-0.04,0.0,0.0,0.0,0,5004,0.02,-0.10
1909,0.01,-0.11,0.02,0.0,0.0,0.0,0,5000,0.10,-0.04
1930,-0.15,-0.11,-0.04,0.0,0.0,0.0,0,5004,-0.06,-0.10
1950,-0.17,-0.11,-0.02,0.0,0.0,0.0,0,5000,0.02,0.02
1971,-0.07,-0.11,0.00,0.0,0.0,0.0,0,5004,0.06,-0.10
1991,0.02,-0.11,-0.06,0.0,0.0,0.0,0,5004,0.04,-0.04
2012,-0.12,-0.11,0.06,0.0,0.0,0.0,0,5004,0.04,-0.06
2032,-0.14,-0.11,0.00,0.0,0.0,0.0,0,5000,-0.04,-0.08
2053,-0.06,-0.11,0.00,0.0,0.0,0.0,0,5004,-0.12,-0.04
2073,-0.06,-0.10,0.06,0.0,0.0,0.0,0,5004,0.08,-0.04
2094,-0.11,-0.10,-0.08,0.0,0.0,0.0,0,5000,-0.02,0.04
2113,-0.25,-0.11,0.06,0.0,0.0,0.0,0,5004,0.02,0.02
2134,-0.07,-0.11,-0.02,0.0,0.0,0.0,0,5000,0.00,0.00
2154,-0.05,-0.11,0.10,0.0,0.0,0.0,0,5004,-0.02,0.02
2174,-0.06,-0.11,-0.06,0.0,0.0,0.0,0,5000,-0.02,0.00
2195,0.07,-0.11,0.06,0.0,0.0,0.0,0,5004,-0.04,-0.06
2215,0.06,-0.10,0.04,0.0,0.0,0.0,0,5004,0.02,-0.12
2236,0.02,-0.11,0.02,0.0,0.0,0.0,0,5004,0.04,-0.12
2256,-0.13,-0.11,0.00,0.0,0.0,0.0,0,5004,-0.02,-0.06
2277,-0.14,-0.11,0.00,0.0,0.0,0.0,0,5000,-0.08,0.04
2297,-0.25,-0.11,0.00,0.0,0.0,0.0,0,5004,0.02,0.06
2318,-0.17,-0.12,0.00,0.0,0.0,0.0,0,5004,0.04,-0.02
2337,-0.16,-0.12,0.00,0.0,0.0,0.0,0,5004,-0.04,0.06
2358,0.04,-0.12,0.06,0.0,0.0,0.0,0,5000,-0.08,-0.02
2378,0.18,-0.11,0.00,0.0,0.0,0.0,0,5000,0.06,-0.12
2399,0.07,-0.10,-0.12,0.0,0.0,0.0,0,5000,0.04,-0.06
2419,-0.16,-0.10,-0.02,0.0,0.0,0.0,0,5004,0.02,-0.02
2440,-0.11,-0.10,-0.16,0.0,0.0,0.0,0,5000,0.04,0.06
2460,-0.02,-0.09,-0.06,0.0,0.0,0.0,0,5000,0.00,0.00
2481,0.09,-0.10,0.06,0.0,0.0,0.0,0,5000,-0.12,0.04
2501,-0.03,-0.10,0.00,0.0,0.0,0.0,0,5004,0.00,-0.04
2522,-0.09,-0.09,-0.04,0.0,0.0,0.0,0,5000,-0.02,0.08
2542,-0.13,-0.10,-0.06,0.0,0.0,0.0,0,5000,0.12,-0.04
2563,-0.15,-0.11,0.02,0.0,0.0,0.0,0,5000,0.06,0.02
2582,-0.22,-0.11,0.08,0.0,0.0,0.0,0,5004,0.02,-0.10
2603,-0.13,-0.11,-0.02,0.0,0.0,0.0,0,5000,0.00,0.08
2623,-0.12,-0.11,-0.04,0.0,0.0,0.0,0,5000,0.00,-0.08
2643,-0.07,-0.11,-0.06,0.0,0.0,0.0,0,5000,-0.12,0.04
2664,0.06,-0.10,-0.10,0.0,0.0,0.0,0,5000,0.02,0.04
2684,-0.16,-0.11,0.04,0.0,0.0,0.0,0,5000,-0.04,0.02
2705,-0.08,-0.11,0.02,0.0,0.0,0.0,0,5004,-0.08,0.04
2725,-0.11,-0.10,0.02,0.0,0.0,0.0,0,5000,-0.10,0.02
2746,-0.19,-0.11,-0.12,0.0,0.0,0.0,0,5000,0.04,-0.12
2766,0.00,-0.10,0.08,0.0,0.0,0.0,0,5000,-0.02,0.02
2787,-0.10,-0.10,0.04,0.0,0.0,0.0,0,5000,0.06,0.02
2806,-0.02,-0.10,0.02,0.0,0.0,0.0,0,5004,0.02,0.08
2827,-0.03,-0.10,0.02,0.0,0.0,0.0,0,5004,0.02,0.06
2847,0.05,-0.10,-0.12,0.0,0.0,0.0,0,5000,0.00,0.04
2868,-0.25,-0.10,0.04,0.0,0.0,0.0,0,5000,-0.02,0.04
2888,-0.33,-0.11,0.04,0.0,0.0,0.0,0,5000,-0.02,-0.02
2909,-0.10,-0.11,-0.02,0.0,0.0,0.0,0,5004,0.06,-0.02
2929,-0.04,-0.11,-0.02,0.0,0.0,0.0,0,5004,0.10,0.02
2950,-0.22,-0.11,0.08,0.0,0.0,0.0,0,5004,-0.10,0.06
2970,-0.21,-0.11,-0.12,0.0,0.0,0.0,0,5004,0.02,0.00
2991,-0.24,-0.11,0.02,0.0,0.0,0.0,0,5004,-0.02,-0.10
3011,0.04,-0.11,-0.06,0.0,0.0,0.0,0,5004,0.00,-0.10
3032,-0.02,-0.11,0.08,0.0,0.0,0.0,0,5004,-0.02,0.02
3052,-0.14,-0.10,0.02,0.0,0.0,0.0,0,5000,0.06,0.02
3072,-0.03,-0.11,0.00,0.0,0.0,0.0,0,5004,-0.04,-0.06
3092,0.02,-0.11,0.02,0.0,0.0,0.0,0,5000,0.02,-0.04
3112,-0.23,-0.11,-0.04,0.0,0.0,0.0,0,5000,0.08,-0.04
3133,-0.07,-0.11,0.06,0.0,0.0,0.0,0,5000,-0.04,-0.02
3153,0.02,-0.11,-0.02,0.0,0.0,0.0,0,5004,0.00,-0.02
3174,-0.12,-0.11,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
3194,-0.18,-0.11,0.10,0.0,0.0,0.0,0,5000,0.06,-0.02
3215,-0.01,-0.10,-0.02,0.0,0.0,0.0,0,5004,0.00,-0.06
