# trial: trial_018.csv
# date: 2026-08-01T18:10:00
# note: P2 trial 2: Kp=15 Ki=0 Kd=0.5, damping the 10Hz chatter
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1518,-38.54,-38.64,-0.02,0.0,0.0,0.0,0,5000,0.02,-0.02
1539,-38.85,-38.64,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.04
1559,-38.61,-38.64,0.00,0.0,0.0,0.0,0,5004,0.00,-0.02
1580,-38.31,-38.64,0.02,0.0,0.0,0.0,0,5000,0.04,0.02
1600,-38.46,-38.63,-0.06,0.0,0.0,0.0,0,5000,0.04,-0.02
1620,-38.26,-38.63,0.00,0.0,0.0,0.0,0,5004,-0.02,0.02
1642,-38.54,-38.63,0.06,0.0,0.0,0.0,0,5004,0.02,-0.02
1662,-38.51,-38.63,0.08,0.0,0.0,0.0,0,5004,-0.04,-0.10
1683,-38.35,-38.63,0.02,0.0,0.0,0.0,0,5000,0.04,-0.08
1703,-38.49,-38.63,-0.02,0.0,0.0,0.0,0,5000,0.02,0.06
1724,-38.56,-38.62,0.12,0.0,0.0,0.0,0,5000,-0.08,-0.04
1744,-38.61,-38.62,0.00,0.0,0.0,0.0,0,5004,0.08,0.06
1765,-38.64,-38.62,0.00,0.0,0.0,0.0,0,5000,0.02,-0.04
1785,-38.69,-38.61,0.04,0.0,0.0,0.0,0,5004,0.00,0.06
1806,-38.48,-38.61,0.00,0.0,0.0,0.0,0,5004,0.00,-0.14
1826,-38.53,-38.61,-0.08,0.0,0.0,0.0,0,5004,0.04,0.00
1847,-38.51,-38.60,0.02,0.0,0.0,0.0,0,5004,0.02,0.02
1867,-38.63,-38.60,0.02,0.0,0.0,0.0,0,5004,-0.08,-0.02
1888,-38.40,-38.59,0.06,0.0,0.0,0.0,0,5000,0.08,-0.10
1908,-38.47,-38.59,0.00,0.0,0.0,0.0,0,5004,0.02,-0.02
1929,-38.60,-38.59,-0.02,0.0,0.0,0.0,0,5000,-0.06,-0.06
1949,-38.78,-38.59,-0.02,0.0,0.0,0.0,0,5000,0.00,0.08
1970,-38.50,-38.59,0.02,0.0,0.0,0.0,0,5000,-0.02,0.02
1990,-38.43,-38.58,0.04,0.0,0.0,0.0,0,5004,0.02,-0.04
2011,-38.63,-38.59,-0.04,0.0,0.0,0.0,0,5004,-0.04,0.00
2031,-38.68,-38.59,0.08,0.0,0.0,0.0,0,5000,-0.16,-0.08
2052,-38.51,-38.59,0.10,0.0,0.0,0.0,0,5004,-0.08,-0.06
2072,-38.50,-38.59,0.00,0.0,0.0,0.0,0,5004,0.02,-0.14
2093,-38.66,-38.58,-0.02,0.0,0.0,0.0,0,5000,0.06,-0.12
2113,-38.53,-38.58,0.02,0.0,0.0,0.0,0,5004,0.06,-0.08
2134,-38.53,-38.58,0.06,0.0,0.0,0.0,0,5000,0.04,0.06
2154,-38.69,-38.58,-0.02,0.0,0.0,0.0,0,5004,-0.12,0.00
2174,-38.65,-38.57,0.04,0.0,0.0,0.0,0,5004,0.06,0.02
2195,-38.52,-38.57,0.04,0.0,0.0,0.0,0,5000,0.10,-0.08
2215,-38.95,-38.58,-0.06,0.0,0.0,0.0,0,5004,0.02,0.02
2236,-38.38,-38.58,0.02,0.0,0.0,0.0,0,5004,-0.08,0.00
2256,-38.59,-38.58,-0.02,0.0,0.0,0.0,0,5000,0.04,0.02
2277,-38.59,-38.59,0.08,0.0,0.0,0.0,0,5004,0.02,0.04
2297,-38.91,-38.60,0.02,0.0,0.0,0.0,0,5000,-0.14,-0.10
2318,-38.66,-38.60,0.06,0.0,0.0,0.0,0,5004,-0.04,-0.02
2338,-38.63,-38.59,0.02,0.0,0.0,0.0,0,5004,-0.02,0.02
2359,-38.47,-38.58,-0.04,0.0,0.0,0.0,0,5000,-0.14,-0.04
2379,-38.72,-38.59,0.02,0.0,0.0,0.0,0,5000,0.10,0.16
2400,-38.62,-38.59,-0.02,0.0,0.0,0.0,0,5004,-0.12,0.12
2420,-38.72,-38.59,0.04,0.0,0.0,0.0,0,5000,0.00,-0.02
2441,-38.49,-38.58,0.00,0.0,0.0,0.0,0,5000,0.02,0.02
2462,-38.59,-38.57,0.06,0.0,0.0,0.0,0,5004,-0.06,0.04
