# trial: trial_019.csv
# date: 2026-08-01T18:12:30
# note: P2 trial 2 (real): Kp=15 Ki=0 Kd=0.5
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1519,3.47,3.79,0.02,0.0,0.0,0.0,0,5004,0.00,-0.24
1540,3.66,3.80,0.18,0.0,0.0,0.0,0,5004,-0.04,-0.18
1560,4.01,3.80,0.14,0.0,0.0,0.0,0,5000,-0.02,0.16
1581,3.34,3.81,0.59,0.0,0.0,0.0,0,5004,-0.06,0.71
1601,3.43,3.82,0.90,0.0,0.0,0.0,0,5000,0.06,0.00
1622,3.78,3.83,0.31,0.0,0.0,0.0,0,5000,-0.02,-0.98
1642,3.94,3.82,-0.92,0.0,0.0,0.0,0,5000,-0.10,-1.41
1662,3.67,3.79,-1.55,0.0,0.0,0.0,0,5000,-0.16,-1.16
1683,3.84,3.77,-1.06,0.0,0.0,0.0,0,5000,-0.04,0.02
1703,3.82,3.74,-1.69,0.0,0.0,0.0,0,5000,-0.02,0.29
1724,4.10,3.69,-3.30,0.0,0.0,0.0,0,5000,-0.29,-0.10
1744,3.76,3.62,-4.34,0.0,0.0,0.0,0,5004,-0.26,-0.24
1765,3.03,3.52,-3.79,0.0,0.0,0.0,0,5000,-0.18,0.61
1785,2.81,3.44,-2.57,0.0,0.0,0.0,0,5000,-0.06,0.37
1805,2.76,3.38,-1.14,0.0,0.0,0.0,0,5000,-0.06,-0.14
1825,2.97,3.36,0.10,0.0,0.0,0.0,0,5000,-0.06,-0.84
1846,3.41,3.35,-0.14,0.0,0.0,0.0,0,5004,-0.06,-1.24
1866,3.27,3.34,-0.08,0.0,0.0,0.0,0,5004,-0.04,-1.04
1887,3.48,3.34,-0.10,0.0,0.0,0.0,0,5004,0.00,-0.75
1907,3.47,3.34,-0.61,0.0,0.0,0.0,0,5000,0.06,-0.57
1928,3.53,3.33,-1.22,0.0,0.0,0.0,0,5004,-0.16,-0.26
1948,3.20,3.29,-2.43,0.0,0.0,0.0,0,5000,-0.12,-0.18
1969,2.59,3.21,-2.71,0.0,0.0,0.0,0,5000,-0.14,-1.16
1989,2.72,3.13,-2.26,0.0,0.0,0.0,0,5000,-0.18,-1.49
2010,3.06,3.08,-2.63,0.0,0.0,0.0,0,5004,-0.24,-1.02
2030,3.60,3.03,-4.06,0.0,0.0,0.0,0,5004,-0.24,-0.90
2051,3.53,2.97,-5.16,0.0,0.0,0.0,0,5000,-0.18,-0.79
2071,2.58,2.86,-5.14,0.0,0.0,0.0,0,5004,-0.14,-0.12
2092,2.04,2.74,-3.49,0.0,0.0,0.0,0,5004,-0.16,0.06
2112,2.19,2.65,-1.26,0.0,0.0,0.0,0,5000,-0.12,-0.65
2132,2.31,2.63,0.82,0.0,0.0,0.0,0,5000,0.10,-0.29
2153,2.46,2.66,2.30,0.0,0.0,0.0,0,5004,0.06,0.49
2173,2.64,2.69,1.83,0.0,0.0,0.0,0,5004,0.10,-0.47
2194,2.84,2.72,0.92,0.0,0.0,0.0,0,5000,-0.06,-1.55
2214,2.89,2.75,1.32,0.0,0.0,0.0,0,5004,0.00,-0.77
2234,2.75,2.79,2.43,0.0,0.0,0.0,0,5004,0.16,0.67
2254,2.91,2.84,2.30,0.0,0.0,0.0,0,5004,0.00,0.69
2275,3.03,2.87,1.12,0.0,0.0,0.0,0,5000,-0.10,0.49
2295,3.15,2.89,-0.33,0.0,0.0,0.0,0,5000,0.00,0.39
2316,2.85,2.88,-0.79,0.0,0.0,0.0,0,5004,0.00,0.29
2336,2.48,2.86,-0.18,0.0,0.0,0.0,0,5000,-0.04,0.18
2357,2.44,2.85,1.24,0.0,0.0,0.0,0,5004,0.04,-0.12
2377,2.76,2.87,2.04,0.0,0.0,0.0,0,5000,0.04,-0.18
2398,2.63,2.91,3.38,0.0,0.0,0.0,0,5004,0.06,0.73
2418,2.96,2.97,3.49,0.0,0.0,0.0,0,5000,0.24,0.69
2439,3.20,3.04,2.85,0.0,0.0,0.0,0,5004,0.16,0.63
2459,3.31,3.12,2.49,0.0,0.0,0.0,0,5000,0.16,0.98
2480,3.24,3.17,3.28,0.0,0.0,0.0,0,5004,0.06,1.00
2500,2.46,3.20,4.65,0.0,0.0,0.0,0,5004,0.14,0.73
2521,2.79,3.28,6.83,0.0,0.0,0.0,0,5004,0.31,0.39
2540,3.30,3.41,8.07,0.0,0.0,0.0,0,5004,0.31,0.63
2561,3.80,3.58,7.03,0.0,0.0,0.0,0,5000,0.29,0.14
2581,4.22,3.74,5.08,0.0,0.0,0.0,0,5000,0.18,-0.29
2601,4.39,3.85,3.85,0.0,0.0,0.0,0,5000,0.18,-0.22
2622,3.93,3.93,3.77,0.0,0.0,0.0,0,5004,0.18,-0.45
2642,4.46,4.01,2.71,0.0,0.0,0.0,0,5000,-0.02,-0.94
2663,4.67,4.09,1.55,0.0,0.0,0.0,0,5004,0.04,0.20
2683,4.05,4.13,0.82,0.0,0.0,0.0,0,5004,0.12,1.20
2704,3.81,4.13,1.39,0.0,0.0,0.0,0,5004,0.06,1.06
2724,3.66,4.13,2.83,0.0,0.0,0.0,0,5000,0.22,1.18
2745,4.07,4.18,3.24,0.0,0.0,0.0,0,5000,0.22,0.73
2765,4.35,4.24,3.36,0.0,0.0,0.0,0,5004,0.31,0.41
2786,4.62,4.31,3.44,0.0,0.0,0.0,0,5000,0.14,0.31
2806,4.41,4.39,3.59,0.0,0.0,0.0,0,5004,0.26,0.43
2827,4.78,4.47,3.59,0.0,0.0,0.0,0,5000,0.14,0.41
2847,4.63,4.55,2.36,0.0,0.0,0.0,0,5000,0.20,0.75
2868,4.29,4.57,1.14,0.0,0.0,0.0,0,5000,-0.02,-0.16
2888,4.76,4.59,0.61,0.0,0.0,0.0,0,5004,0.02,-0.73
2908,4.75,4.62,0.33,0.0,0.0,0.0,0,5000,-0.02,0.26
2928,4.55,4.63,0.06,0.0,0.0,0.0,0,5000,0.04,0.31
2949,4.36,4.60,0.22,0.0,0.0,0.0,0,5000,-0.02,-0.33
2969,4.31,4.60,1.85,0.0,0.0,0.0,0,5000,0.08,0.24
2990,4.67,4.64,3.20,0.0,0.0,0.0,0,5004,0.16,0.31
3010,4.83,4.72,3.49,0.0,0.0,0.0,0,5000,-0.02,0.18
3031,4.59,4.78,3.30,0.0,0.0,0.0,0,5000,0.10,0.00
3051,4.37,4.83,3.95,0.0,0.0,0.0,0,5004,0.12,-0.26
3072,4.67,4.89,5.18,0.0,0.0,0.0,0,5000,0.18,-0.14
3092,5.64,5.01,4.06,0.0,0.0,0.0,0,5004,0.06,-0.16
3112,6.45,5.13,0.75,0.0,0.0,0.0,0,5000,-0.02,0.00
3133,6.29,5.20,-2.89,0.0,0.0,0.0,0,5004,-0.10,1.02
3153,5.48,5.15,-4.42,0.0,0.0,0.0,0,5004,-0.06,1.10
3174,4.29,5.03,-3.08,0.0,0.0,0.0,0,5004,0.02,1.04
3194,4.08,4.91,-0.92,0.0,0.0,0.0,0,5004,0.02,0.41
