# trial: trial_020.csv
# date: 2026-08-01T18:15:17
# note: P2 trial 3: Kp=15 Ki=0 Kd=0.2
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1519,-1.88,0.06,-3.49,0.0,0.0,0.0,0,5000,-0.18,-0.39
1540,-1.32,0.07,2.59,0.0,0.0,0.0,0,5000,0.18,0.35
1560,0.37,0.13,2.24,0.0,0.0,0.0,0,5004,0.08,-0.08
1581,-0.07,0.13,-0.73,0.0,0.0,0.0,0,5004,-0.04,-0.45
1601,-0.64,0.11,-0.45,0.0,0.0,0.0,0,5000,-0.10,-0.61
1622,-0.21,0.11,0.98,0.0,0.0,0.0,0,5000,0.04,0.12
1642,-0.04,0.11,-0.29,0.0,0.0,0.0,0,5004,0.04,-0.24
1662,-0.72,0.09,-0.61,0.0,0.0,0.0,0,5004,-0.12,-0.29
1683,-0.51,0.07,0.55,0.0,0.0,0.0,0,5000,0.00,-0.47
1703,-0.14,0.09,1.32,0.0,0.0,0.0,0,5000,0.12,0.18
1724,-0.40,0.09,0.39,0.0,0.0,0.0,0,5000,0.02,0.16
1744,-0.52,0.07,-0.65,0.0,0.0,0.0,0,5004,-0.04,-0.39
1765,-0.85,0.04,0.45,0.0,0.0,0.0,0,5000,-0.06,-0.57
1785,-0.28,0.06,2.87,0.0,0.0,0.0,0,5004,0.12,0.08
1806,0.57,0.13,2.61,0.0,0.0,0.0,0,5000,0.10,0.33
1826,0.32,0.15,-0.26,0.0,0.0,0.0,0,5000,-0.02,0.18
1847,-0.26,0.11,-1.94,0.0,0.0,0.0,0,5004,-0.08,0.22
1867,-0.69,0.04,-2.34,0.0,0.0,0.0,0,5000,-0.04,-0.37
1887,-1.33,-0.04,-0.26,0.0,0.0,0.0,0,5000,-0.02,-0.75
1907,-0.08,-0.03,2.81,0.0,0.0,0.0,0,5004,0.06,-0.31
1928,0.12,0.03,2.63,0.0,0.0,0.0,0,5000,0.12,-0.02
1948,0.14,0.05,0.51,0.0,0.0,0.0,0,5004,-0.08,-0.24
1969,-0.55,0.03,-0.08,0.0,0.0,0.0,0,5000,-0.06,-0.45
1989,-0.38,0.02,1.35,0.0,0.0,0.0,0,5004,0.04,0.02
2010,0.11,0.05,1.18,0.0,0.0,0.0,0,5004,0.02,0.14
2030,-0.11,0.06,0.02,0.0,0.0,0.0,0,5004,-0.08,0.31
2051,-0.67,0.01,-0.43,0.0,0.0,0.0,0,5000,-0.06,-0.33
2071,-0.39,-0.02,0.71,0.0,0.0,0.0,0,5004,-0.10,-0.49
2092,0.17,0.01,1.51,0.0,0.0,0.0,0,5000,0.00,0.02
2112,0.35,0.04,0.47,0.0,0.0,0.0,0,5000,0.04,0.14
2132,-0.02,0.04,-0.94,0.0,0.0,0.0,0,5000,0.00,0.08
2153,-0.71,-0.01,-0.51,0.0,0.0,0.0,0,5000,-0.08,-0.33
2172,-0.28,-0.05,0.65,0.0,0.0,0.0,0,5000,0.00,-0.55
2193,0.02,-0.03,0.96,0.0,0.0,0.0,0,5004,-0.04,-0.65
2213,0.06,-0.01,1.65,0.0,0.0,0.0,0,5000,-0.02,-0.24
2234,-0.13,0.02,2.22,0.0,0.0,0.0,0,5004,0.02,-0.04
2254,-0.01,0.05,1.71,0.0,0.0,0.0,0,5000,-0.04,-0.45
2275,-0.12,0.08,2.94,0.0,0.0,0.0,0,5000,0.10,-0.06
2295,0.42,0.15,2.94,0.0,0.0,0.0,0,5000,0.10,0.20
2316,0.86,0.22,0.69,0.0,0.0,0.0,0,5000,0.08,-0.08
2336,-0.10,0.21,-1.04,0.0,0.0,0.0,0,5004,-0.12,-0.22
2357,-0.53,0.15,-0.53,0.0,0.0,0.0,0,5000,0.00,-0.39
2377,-0.11,0.12,1.22,0.0,0.0,0.0,0,5000,0.00,-0.53
2398,-0.30,0.14,2.71,0.0,0.0,0.0,0,5000,0.16,-0.22
2418,0.30,0.20,3.93,0.0,0.0,0.0,0,5000,0.12,0.12
2439,0.92,0.30,2.77,0.0,0.0,0.0,0,5000,0.12,0.24
2459,0.73,0.34,0.08,0.0,0.0,0.0,0,5004,-0.08,-0.26
2479,-0.16,0.31,0.41,0.0,0.0,0.0,0,5004,-0.04,-0.45
2499,0.83,0.35,2.36,0.0,0.0,0.0,0,5000,-0.04,0.10
2520,0.43,0.39,0.71,0.0,0.0,0.0,0,5004,-0.12,-0.31
2540,-0.04,0.37,0.39,0.0,0.0,0.0,0,5004,-0.04,-0.55
2561,-0.08,0.37,2.73,0.0,0.0,0.0,0,5000,0.08,-0.22
2581,0.46,0.43,4.22,0.0,0.0,0.0,0,5000,-0.02,0.00
2601,1.14,0.53,3.57,0.0,0.0,0.0,0,5004,0.06,0.18
2622,1.12,0.61,0.69,0.0,0.0,0.0,0,5000,0.08,0.16
2642,0.34,0.60,-1.14,0.0,0.0,0.0,0,5004,-0.06,-0.04
2663,0.29,0.57,0.26,0.0,0.0,0.0,0,5000,-0.04,0.22
2683,0.68,0.58,0.29,0.0,0.0,0.0,0,5004,0.08,-0.18
2704,0.74,0.59,-0.65,0.0,0.0,0.0,0,5004,-0.08,-0.41
2724,0.29,0.57,-0.14,0.0,0.0,0.0,0,5000,0.02,-0.29
2745,0.30,0.55,0.79,0.0,0.0,0.0,0,5000,-0.04,-0.33
2765,1.05,0.58,0.47,0.0,0.0,0.0,0,5000,0.00,-0.37
2786,1.05,0.62,-0.24,0.0,0.0,0.0,0,5004,0.06,0.02
2805,0.51,0.61,-1.04,0.0,0.0,0.0,0,5004,-0.04,0.18
2826,-0.18,0.54,-0.79,0.0,0.0,0.0,0,5000,-0.10,-0.24
2846,0.12,0.49,0.96,0.0,0.0,0.0,0,5000,-0.06,-0.47
2867,1.06,0.54,2.30,0.0,0.0,0.0,0,5004,0.00,-0.04
2887,0.86,0.60,0.57,0.0,0.0,0.0,0,5004,0.10,-0.14
2908,0.55,0.61,-0.18,0.0,0.0,0.0,0,5000,0.02,-0.43
2928,0.35,0.58,0.43,0.0,0.0,0.0,0,5000,-0.02,-0.24
2949,0.55,0.60,1.65,0.0,0.0,0.0,0,5000,0.08,-0.14
2969,0.90,0.65,2.22,0.0,0.0,0.0,0,5004,0.18,-0.04
2990,1.16,0.72,1.14,0.0,0.0,0.0,0,5000,0.02,0.37
3010,0.88,0.75,-0.67,0.0,0.0,0.0,0,5000,-0.02,0.39
3031,0.04,0.70,-0.31,0.0,0.0,0.0,0,5000,-0.12,0.12
3051,0.42,0.67,1.12,0.0,0.0,0.0,0,5000,0.02,-0.18
3072,1.16,0.71,1.35,0.0,0.0,0.0,0,5004,0.02,-0.26
3092,1.01,0.75,0.67,0.0,0.0,0.0,0,5004,0.12,0.02
3112,1.04,0.78,-0.14,0.0,0.0,0.0,0,5004,-0.04,0.29
