# trial: trial_021.csv
# date: 2026-08-01T18:17:49
# note: P2 trial 4: Kp=15 Ki=0.5 Kd=0.2
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1525,1.94,2.10,-0.02,0.0,0.0,0.0,0,5004,-0.02,0.06
1546,1.72,2.10,0.08,0.0,0.0,0.0,0,5004,-0.04,-0.02
1565,2.29,2.10,0.00,0.0,0.0,0.0,0,5000,-0.04,-0.08
1586,2.07,2.10,-0.08,0.0,0.0,0.0,0,5004,0.06,-0.08
1606,1.99,2.10,-0.08,0.0,0.0,0.0,0,5000,0.04,0.08
1627,2.01,2.10,-0.06,0.0,0.0,0.0,0,5000,-0.02,-0.02
1647,2.06,2.09,0.04,0.0,0.0,0.0,0,5004,0.02,0.08
1668,1.98,2.09,-0.02,0.0,0.0,0.0,0,5000,-0.12,-0.08
1688,2.17,2.09,0.02,0.0,0.0,0.0,0,5000,0.02,0.06
1709,2.04,2.09,-0.04,0.0,0.0,0.0,0,5000,-0.04,-0.02
1729,1.97,2.08,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
1750,1.91,2.08,-0.06,0.0,0.0,0.0,0,5004,0.06,0.04
1770,1.91,2.08,-0.06,0.0,0.0,0.0,0,5000,-0.10,-0.12
1790,1.78,2.07,0.02,0.0,0.0,0.0,0,5004,0.06,-0.04
1811,2.12,2.07,0.04,0.0,0.0,0.0,0,5000,0.08,-0.14
1830,1.97,2.07,0.04,0.0,0.0,0.0,0,5004,0.06,0.00
1851,1.94,2.07,-0.04,0.0,0.0,0.0,0,5004,-0.06,-0.08
1871,2.03,2.07,0.02,0.0,0.0,0.0,0,5004,-0.06,0.02
1892,2.20,2.07,0.00,0.0,0.0,0.0,0,5000,0.00,0.02
1912,2.02,2.07,0.02,0.0,0.0,0.0,0,5000,-0.02,0.00
1933,2.00,2.06,-0.04,0.0,0.0,0.0,0,5000,0.04,-0.02
1953,1.96,2.06,0.00,0.0,0.0,0.0,0,5000,-0.06,0.02
1974,2.06,2.05,0.06,0.0,0.0,0.0,0,5004,-0.12,-0.02
1994,1.92,2.05,0.06,0.0,0.0,0.0,0,5000,-0.06,0.06
2015,2.10,2.05,0.02,0.0,0.0,0.0,0,5004,-0.08,-0.08
2035,1.87,2.04,-0.10,0.0,0.0,0.0,0,5000,-0.14,-0.04
2056,2.31,2.04,0.00,0.0,0.0,0.0,0,5000,0.02,0.02
2075,2.06,2.03,0.00,0.0,0.0,0.0,0,5000,0.02,0.06
2096,1.98,2.03,0.00,0.0,0.0,0.0,0,5004,-0.02,-0.04
2116,2.04,2.03,0.04,0.0,0.0,0.0,0,5004,0.00,0.02
2137,1.90,2.02,0.04,0.0,0.0,0.0,0,5000,-0.02,-0.16
2157,1.92,2.02,-0.02,0.0,0.0,0.0,0,5000,0.00,0.04
2178,1.76,2.01,-0.10,0.0,0.0,0.0,0,5000,0.04,-0.08
2198,2.07,2.02,0.06,0.0,0.0,0.0,0,5004,0.00,0.04
2219,2.00,2.01,0.00,0.0,0.0,0.0,0,5004,0.00,-0.04
2239,2.15,2.02,0.00,0.0,0.0,0.0,0,5004,-0.02,0.04
2258,1.97,2.01,-0.02,0.0,0.0,0.0,0,5000,-0.10,-0.02
2279,1.90,2.01,0.08,0.0,0.0,0.0,0,5004,-0.04,-0.06
2299,1.95,2.01,0.10,0.0,0.0,0.0,0,5000,0.04,0.00
2320,2.08,2.00,0.04,0.0,0.0,0.0,0,5000,-0.22,-0.02
2340,2.08,2.00,-0.04,0.0,0.0,0.0,0,5004,-0.08,0.08
2361,2.07,2.00,-0.02,0.0,0.0,0.0,0,5000,-0.10,-0.08
2381,1.86,1.99,0.10,0.0,0.0,0.0,0,5000,0.00,0.02
2402,1.79,2.00,-0.04,0.0,0.0,0.0,0,5004,0.00,0.04
2422,2.06,2.00,0.04,0.0,0.0,0.0,0,5004,0.04,0.02
2443,1.91,2.00,-0.06,0.0,0.0,0.0,0,5004,0.02,0.02
2463,1.98,1.99,-0.12,0.0,0.0,0.0,0,5004,-0.12,0.04
2483,1.94,1.99,0.00,0.0,0.0,0.0,0,5000,-0.02,-0.08
2503,2.07,1.99,0.00,0.0,0.0,0.0,0,5000,-0.02,-0.04
2524,2.08,1.99,-0.08,0.0,0.0,0.0,0,5000,0.04,0.08
2544,1.88,1.99,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
2565,2.22,1.99,-0.04,0.0,0.0,0.0,0,5004,0.08,-0.10
2585,2.00,1.99,0.06,0.0,0.0,0.0,0,5004,0.02,-0.04
2606,2.06,2.00,-0.04,0.0,0.0,0.0,0,5000,-0.06,0.04
2626,2.18,2.00,0.00,0.0,0.0,0.0,0,5000,0.06,0.02
2647,2.07,2.01,-0.14,0.0,0.0,0.0,0,5004,-0.10,-0.06
2667,1.96,2.00,0.02,0.0,0.0,0.0,0,5004,0.00,-0.04
2688,2.09,2.01,0.14,0.0,0.0,0.0,0,5000,-0.04,0.08
2707,2.02,2.01,-0.02,0.0,0.0,0.0,0,5000,-0.10,0.00
2727,2.04,2.02,0.08,0.0,0.0,0.0,0,5000,0.00,-0.02
2748,1.97,2.01,-0.06,0.0,0.0,0.0,0,5004,-0.10,0.00
2768,2.05,2.01,-0.04,0.0,0.0,0.0,0,5004,-0.06,0.08
2789,1.91,2.01,-0.06,0.0,0.0,0.0,0,5004,0.02,0.00
2809,2.17,2.01,0.04,0.0,0.0,0.0,0,5000,0.06,-0.06
2830,1.93,2.02,0.00,0.0,0.0,0.0,0,5004,-0.02,0.00
2850,2.11,2.02,0.02,0.0,0.0,0.0,0,5000,-0.02,0.04
2871,2.05,2.01,-0.02,0.0,0.0,0.0,0,5000,-0.14,-0.02
