# trial: trial_022.csv
# date: 2026-08-01T18:20:15
# note: P2 trial 5: Kp=15 Ki=1.5 Kd=0.2
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1520,0.79,0.51,19.51,0.0,0.0,0.0,0,5004,0.73,-0.02
1541,1.60,0.84,13.72,0.0,0.0,0.0,0,5004,0.49,-0.06
1561,1.72,1.05,7.34,0.0,0.0,0.0,0,5004,0.29,0.24
1582,1.65,1.13,1.43,0.0,0.0,0.0,0,5000,-0.02,0.04
1602,1.19,1.09,-3.34,0.0,0.0,0.0,0,5004,-0.35,0.06
1622,0.34,0.99,-5.38,0.0,0.0,0.0,0,5000,-0.49,-0.16
1642,-0.46,0.85,-5.18,0.0,0.0,0.0,0,5004,-0.43,0.18
1662,-0.40,0.73,-4.89,0.0,0.0,0.0,0,5004,-0.31,-0.08
1683,-1.01,0.60,-4.55,0.0,0.0,0.0,0,5004,-0.12,-0.39
1703,-0.49,0.50,-2.81,0.0,0.0,0.0,0,5000,-0.31,0.00
1724,0.25,0.40,-4.20,0.0,0.0,0.0,0,5004,-0.33,-0.08
1744,-0.47,0.28,-6.16,0.0,0.0,0.0,0,5000,-0.35,-0.41
1765,-1.27,0.11,-5.81,0.0,0.0,0.0,0,5000,-0.08,-0.06
1785,-1.57,-0.04,-4.34,0.0,0.0,0.0,0,5000,0.08,-0.61
1806,-1.10,-0.16,-3.18,0.0,0.0,0.0,0,5004,0.16,-0.47
1826,-2.48,-0.23,0.94,0.0,0.0,0.0,0,5004,0.04,-0.18
1847,-2.00,-0.24,6.48,0.0,0.0,0.0,0,5004,0.10,0.18
1867,-1.76,-0.13,10.88,0.0,0.0,0.0,0,5000,0.51,-0.57
1888,-1.35,0.08,14.37,0.0,0.0,0.0,0,5004,0.71,-0.53
1908,-0.80,0.36,17.49,0.0,0.0,0.0,0,5004,0.79,-0.08
1929,-0.88,0.69,21.97,0.0,0.0,0.0,0,5000,0.79,0.18
1949,-2.30,1.12,31.90,0.0,0.0,0.0,0,5004,1.06,0.88
1970,-0.95,1.74,42.05,0.0,0.0,0.0,0,5000,1.47,0.59
1990,1.80,2.60,48.04,0.0,0.0,0.0,0,5004,1.92,0.16
2011,4.18,3.59,48.12,0.0,0.0,0.0,0,5004,1.90,0.22
2031,5.23,4.57,45.76,0.0,0.0,0.0,0,5004,1.96,-0.29
2052,5.54,5.50,44.52,0.0,0.0,0.0,0,5004,1.94,-0.33
2072,6.01,6.39,45.31,0.0,0.0,0.0,0,5000,1.92,-0.39
2093,8.21,7.33,45.13,0.0,0.0,0.0,0,5004,1.43,1.24
2113,11.17,8.27,35.14,0.0,0.0,0.0,0,5000,1.28,1.88
2134,13.47,9.02,18.18,0.0,0.0,0.0,0,5004,0.90,2.08
2154,11.85,9.30,-1.00,0.0,0.0,0.0,0,5004,-0.06,5.18
2174,8.61,9.18,-8.95,0.0,0.0,0.0,0,5000,0.67,10.42
2195,8.55,8.92,-14.02,0.0,0.0,0.0,0,5004,0.65,15.04
2215,6.92,8.53,-13.88,0.0,0.0,0.0,0,5004,1.22,17.00
2236,8.70,8.32,-5.16,0.0,0.0,0.0,0,5000,0.86,12.37
2256,9.55,8.39,1.79,0.0,0.0,0.0,0,5000,-0.02,0.31
2277,8.79,8.44,-1.63,0.0,0.0,0.0,0,5000,-0.12,0.67
2297,8.54,8.39,-4.20,0.0,0.0,0.0,0,5004,-0.16,0.84
2318,7.62,8.28,-4.24,0.0,0.0,0.0,0,5004,-0.33,-0.22
2338,7.55,8.16,-2.57,0.0,0.0,0.0,0,5000,-0.20,-0.10
2359,8.39,8.11,-2.98,0.0,0.0,0.0,0,5000,-0.22,-0.49
2379,9.43,8.06,-8.01,0.0,0.0,0.0,0,5004,-0.39,-0.71
2400,9.71,7.92,-16.78,0.0,0.0,0.0,0,5004,-0.75,-0.71
2420,8.18,7.56,-24.62,0.0,0.0,0.0,0,5004,-0.71,-0.79
2441,6.61,7.02,-26.89,0.0,0.0,0.0,0,5004,-1.04,-0.29
2461,5.30,6.41,-25.91,0.0,0.0,0.0,0,5000,-0.98,0.12
2482,4.54,5.82,-23.38,0.0,0.0,0.0,0,5000,-0.86,-0.18
2502,3.57,5.28,-19.04,0.0,0.0,0.0,0,5004,-0.82,0.08
2523,3.66,4.84,-14.76,0.0,0.0,0.0,0,5004,-0.73,0.55
2543,3.33,4.50,-11.80,0.0,0.0,0.0,0,5004,-0.45,0.31
2564,3.13,4.22,-8.01,0.0,0.0,0.0,0,5000,-0.35,0.06
2584,2.61,4.00,-3.10,0.0,0.0,0.0,0,5000,-0.31,-0.12
2605,3.72,3.92,0.37,0.0,0.0,0.0,0,5000,-0.12,-0.39
2625,4.86,3.95,-1.06,0.0,0.0,0.0,0,5000,-0.06,-0.45
2646,4.52,3.94,-4.91,0.0,0.0,0.0,0,5004,-0.18,-0.20
2666,3.57,3.81,-5.93,0.0,0.0,0.0,0,5000,-0.24,0.00
2686,2.47,3.64,-2.96,0.0,0.0,0.0,0,5000,-0.06,-0.18
2707,2.25,3.54,2.18,0.0,0.0,0.0,0,5000,-0.04,0.14
2727,1.91,3.54,9.11,0.0,0.0,0.0,0,5000,0.22,0.20
2748,3.02,3.71,15.14,0.0,0.0,0.0,0,5000,0.47,0.61
2768,4.54,4.04,17.47,0.0,0.0,0.0,0,5004,0.39,0.14
2789,5.77,4.45,15.45,0.0,0.0,0.0,0,5000,0.37,0.45
2809,6.06,4.80,10.97,0.0,0.0,0.0,0,5000,0.20,0.24
2830,5.41,5.03,8.48,0.0,0.0,0.0,0,5000,0.16,0.06
2850,4.71,5.18,9.48,0.0,0.0,0.0,0,5000,0.22,-0.04
2871,5.57,5.37,10.74,0.0,0.0,0.0,0,5004,0.26,-0.10
2891,6.73,5.63,8.83,0.0,0.0,0.0,0,5004,0.29,-0.04
2911,7.43,5.86,3.83,0.0,0.0,0.0,0,5004,0.12,0.04
2931,6.48,5.95,-0.45,0.0,0.0,0.0,0,5004,-0.08,-0.24
2952,5.75,5.91,-1.06,0.0,0.0,0.0,0,5000,-0.04,0.02
2972,5.96,5.88,-0.06,0.0,0.0,0.0,0,5004,0.02,0.41
2993,6.58,5.90,-1.22,0.0,0.0,0.0,0,5004,-0.06,0.77
3013,6.15,5.88,-3.02,0.0,0.0,0.0,0,5004,-0.06,0.45
3034,5.31,5.80,-2.65,0.0,0.0,0.0,0,5000,-0.18,0.57
3054,5.84,5.74,-2.38,0.0,0.0,0.0,0,5000,-0.16,0.98
3075,5.88,5.69,-2.38,0.0,0.0,0.0,0,5000,-0.16,0.04
3095,5.42,5.64,-2.51,0.0,0.0,0.0,0,5004,0.02,0.14
3116,4.68,5.55,-1.08,0.0,0.0,0.0,0,5000,0.06,-0.24
3136,3.80,5.48,3.24,0.0,0.0,0.0,0,5004,0.06,-0.26
3156,4.72,5.51,7.22,0.0,0.0,0.0,0,5008,0.24,0.35
