# trial: trial_023.csv
# date: 2026-08-01T18:22:45
# note: P2 trial 6: control re-run of trial 4 gains 15/0.5/0.2 (battery sag check)
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1519,-1.08,-0.89,0.90,0.0,0.0,0.0,0,5004,0.06,0.18
1540,-0.31,-0.87,0.49,0.0,0.0,0.0,0,5000,-0.04,-0.06
1560,-0.09,-0.88,-1.57,0.0,0.0,0.0,0,5004,0.06,0.31
1581,-0.42,-0.92,-3.26,0.0,0.0,0.0,0,5000,-0.26,0.22
1601,-0.62,-1.00,-4.59,0.0,0.0,0.0,0,5000,-0.24,-0.20
1622,-1.07,-1.10,-5.20,0.0,0.0,0.0,0,5004,-0.33,0.20
1642,-0.80,-1.21,-5.63,0.0,0.0,0.0,0,5000,-0.20,-0.18
1662,-1.26,-1.32,-5.48,0.0,0.0,0.0,0,5000,-0.29,-0.06
1683,-1.83,-1.42,-4.34,0.0,0.0,0.0,0,5000,-0.16,-0.35
1703,-1.75,-1.50,-2.81,0.0,0.0,0.0,0,5000,-0.12,0.57
1724,-0.95,-1.55,-2.69,0.0,0.0,0.0,0,5000,-0.16,0.14
1744,-1.46,-1.60,-3.67,0.0,0.0,0.0,0,5000,-0.29,0.18
1765,-2.14,-1.68,-3.06,0.0,0.0,0.0,0,5000,-0.14,0.04
1785,-1.77,-1.73,-2.08,0.0,0.0,0.0,0,5000,-0.14,0.29
1806,-0.94,-1.76,-2.83,0.0,0.0,0.0,0,5000,-0.31,0.24
1826,-1.58,-1.82,-4.40,0.0,0.0,0.0,0,5004,-0.20,-0.06
1847,-1.99,-1.92,-4.53,0.0,0.0,0.0,0,5004,-0.20,-0.12
1867,-2.19,-2.01,-3.79,0.0,0.0,0.0,0,5000,-0.16,-0.14
1888,-1.94,-2.08,-3.36,0.0,0.0,0.0,0,5000,-0.22,0.12
1908,-2.18,-2.14,-3.16,0.0,0.0,0.0,0,5004,-0.22,0.08
1929,-2.57,-2.21,-2.59,0.0,0.0,0.0,0,5000,-0.14,-0.08
1949,-2.14,-2.25,-2.30,0.0,0.0,0.0,0,5000,-0.06,0.14
1970,-2.00,-2.29,-2.96,0.0,0.0,0.0,0,5004,-0.08,0.08
1990,-2.25,-2.35,-3.77,0.0,0.0,0.0,0,5000,-0.22,0.06
2010,-2.71,-2.44,-3.30,0.0,0.0,0.0,0,5000,-0.14,0.26
2030,-2.30,-2.50,-2.53,0.0,0.0,0.0,0,5000,-0.26,-0.08
2051,-2.28,-2.54,-3.32,0.0,0.0,0.0,0,5004,-0.16,0.02
2071,-2.24,-2.60,-4.16,0.0,0.0,0.0,0,5004,-0.26,0.02
2092,-2.79,-2.69,-4.55,0.0,0.0,0.0,0,5000,-0.22,0.12
2112,-3.16,-2.79,-3.69,0.0,0.0,0.0,0,5000,-0.04,0.02
2132,-3.28,-2.87,-2.26,0.0,0.0,0.0,0,5004,-0.12,0.04
2153,-3.01,-2.91,-1.61,0.0,0.0,0.0,0,5000,-0.20,0.12
2173,-2.85,-2.94,-1.77,0.0,0.0,0.0,0,5000,-0.22,0.18
2194,-3.01,-2.97,-1.81,0.0,0.0,0.0,0,5004,-0.14,0.04
2214,-3.15,-3.00,-1.30,0.0,0.0,0.0,0,5004,-0.16,0.37
2235,-3.13,-3.03,-0.22,0.0,0.0,0.0,0,5004,-0.12,0.22
2255,-3.07,-3.02,0.61,0.0,0.0,0.0,0,5000,-0.04,-0.04
2276,-3.14,-3.02,1.14,0.0,0.0,0.0,0,5000,0.00,0.06
2296,-3.26,-2.99,2.02,0.0,0.0,0.0,0,5004,0.04,-0.24
2317,-3.08,-2.95,2.61,0.0,0.0,0.0,0,5000,0.08,0.33
2337,-2.57,-2.89,2.00,0.0,0.0,0.0,0,5000,0.04,-0.16
2358,-2.93,-2.84,1.26,0.0,0.0,0.0,0,5004,0.10,0.12
2378,-3.03,-2.83,1.79,0.0,0.0,0.0,0,5000,0.10,-0.18
2399,-2.50,-2.78,2.38,0.0,0.0,0.0,0,5000,0.10,0.20
2418,-2.49,-2.72,2.20,0.0,0.0,0.0,0,5000,0.04,0.16
2439,-2.34,-2.66,2.06,0.0,0.0,0.0,0,5000,-0.08,0.00
2459,-2.81,-2.62,2.63,0.0,0.0,0.0,0,5000,0.08,-0.06
2480,-2.84,-2.58,3.55,0.0,0.0,0.0,0,5004,0.00,0.12
2500,-1.95,-2.49,3.53,0.0,0.0,0.0,0,5004,0.06,-0.35
2521,-2.03,-2.41,2.57,0.0,0.0,0.0,0,5000,-0.02,-0.14
2541,-2.42,-2.35,2.75,0.0,0.0,0.0,0,5000,0.10,0.43
2562,-2.44,-2.30,2.79,0.0,0.0,0.0,0,5000,0.04,0.04
2582,-2.09,-2.23,2.69,0.0,0.0,0.0,0,5000,0.06,-0.18
2603,-2.82,-2.19,3.00,0.0,0.0,0.0,0,5004,0.12,0.31
2623,-2.21,-2.14,3.53,0.0,0.0,0.0,0,5008,0.06,-0.35
2643,-1.80,-2.06,3.44,0.0,0.0,0.0,0,5000,0.16,0.08
2664,-1.60,-1.97,3.12,0.0,0.0,0.0,0,5000,0.14,0.31
2684,-1.46,-1.87,2.18,0.0,0.0,0.0,0,5000,0.06,0.71
2705,-1.91,-1.84,1.00,0.0,0.0,0.0,0,5000,0.08,-0.10
2725,-2.01,-1.83,1.45,0.0,0.0,0.0,0,5000,0.10,-0.12
2746,-1.93,-1.81,2.00,0.0,0.0,0.0,0,5004,0.08,0.16
2766,-1.23,-1.75,0.79,0.0,0.0,0.0,0,5000,-0.06,-0.43
2786,-1.71,-1.73,-0.61,0.0,0.0,0.0,0,5004,-0.08,0.31
2806,-1.42,-1.73,-1.61,0.0,0.0,0.0,0,5004,-0.14,-0.39
2827,-1.54,-1.75,-2.65,0.0,0.0,0.0,0,5000,-0.18,0.10
2847,-1.78,-1.82,-3.59,0.0,0.0,0.0,0,5004,-0.16,0.45
2868,-1.84,-1.89,-4.59,0.0,0.0,0.0,0,5000,-0.16,0.51
2888,-2.33,-2.00,-4.38,0.0,0.0,0.0,0,5000,-0.47,0.29
2909,-2.21,-2.08,-2.94,0.0,0.0,0.0,0,5000,-0.26,-0.06
2929,-2.41,-2.15,-2.10,0.0,0.0,0.0,0,5004,-0.08,-0.35
2950,-2.88,-2.22,-0.55,0.0,0.0,0.0,0,5004,0.00,0.16
2970,-2.12,-2.24,0.39,0.0,0.0,0.0,0,5004,0.12,-0.16
2991,-1.55,-2.19,-0.35,0.0,0.0,0.0,0,5000,0.06,0.41
3011,-2.24,-2.21,-0.96,0.0,0.0,0.0,0,5000,-0.14,-0.08
3032,-2.56,-2.24,-0.43,0.0,0.0,0.0,0,5004,-0.12,-0.14
3052,-2.37,-2.27,0.06,0.0,0.0,0.0,0,5004,0.06,-0.22
3073,-1.92,-2.25,-0.41,0.0,0.0,0.0,0,5000,-0.04,0.08
3093,-1.51,-2.22,-1.85,0.0,0.0,0.0,0,5000,-0.16,0.00
3113,-2.28,-2.25,-3.32,0.0,0.0,0.0,0,5000,-0.14,0.29
3134,-2.64,-2.33,-3.40,0.0,0.0,0.0,0,5000,-0.22,0.06
3154,-2.73,-2.41,-2.69,0.0,0.0,0.0,0,5000,-0.12,0.49
3175,-2.74,-2.48,-2.10,0.0,0.0,0.0,0,5000,-0.12,0.00
3195,-2.66,-2.52,-1.67,0.0,0.0,0.0,0,5004,0.00,-0.59
3216,-3.15,-2.58,-0.63,0.0,0.0,0.0,0,5000,-0.10,-0.14
3236,-3.15,-2.62,1.16,0.0,0.0,0.0,0,5000,-0.02,-0.12
3256,-2.49,-2.59,1.39,0.0,0.0,0.0,0,5000,-0.04,-0.10
3276,-2.17,-2.56,0.65,0.0,0.0,0.0,0,5000,-0.02,0.26
3297,-2.14,-2.52,-0.24,0.0,0.0,0.0,0,5004,-0.10,0.26
3317,-2.62,-2.53,-1.00,0.0,0.0,0.0,0,5004,-0.12,0.55
3338,-2.66,-2.56,-1.53,0.0,0.0,0.0,0,5000,-0.02,-0.33
3358,-2.44,-2.59,-1.77,0.0,0.0,0.0,0,5000,-0.06,-0.22
3379,-2.26,-2.62,-2.06,0.0,0.0,0.0,0,5000,-0.12,-0.31
