# trial: trial_024.csv
# date: 2026-08-01T18:27:14
# note: deadband recal after sag: left wheel bursts 24-63 step 3
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1522,-1.99,-1.81,-0.06,0.0,0.0,0.0,0,5004,-0.08,-0.06
1542,-1.69,-1.81,-0.04,0.0,0.0,0.0,0,5004,-0.04,-0.04
1562,-1.83,-1.81,0.04,0.0,0.0,0.0,0,5004,0.04,0.04
1583,-1.93,-1.81,-0.10,0.0,0.0,0.0,0,5000,0.08,0.04
1603,-1.78,-1.81,0.02,0.0,0.0,0.0,0,5004,0.06,0.02
1624,-1.75,-1.81,0.00,0.0,0.0,0.0,0,5004,0.06,0.06
1644,-1.77,-1.81,0.02,0.0,0.0,0.0,0,5004,-0.08,-0.02
1665,-1.68,-1.80,0.06,0.0,0.0,0.0,0,5000,0.06,-0.04
1685,-1.62,-1.80,-0.04,0.0,0.0,0.0,0,5004,-0.04,0.08
1705,-1.63,-1.80,0.02,0.0,0.0,0.0,0,5004,0.02,-0.06
1726,-1.90,-1.80,-0.04,0.0,0.0,0.0,0,5000,-0.06,0.02
1746,-1.97,-1.80,0.06,0.0,0.0,0.0,0,5004,0.00,-0.04
1767,-1.96,-1.81,0.04,0.0,0.0,0.0,0,5000,0.00,0.02
1787,-1.92,-1.81,0.08,0.0,0.0,0.0,0,5004,-0.02,-0.10
1808,-1.75,-1.81,-0.02,0.0,0.0,0.0,0,5004,0.06,0.04
1827,-1.73,-1.80,0.00,0.0,0.0,0.0,0,5000,-0.02,0.00
1848,-1.69,-1.80,0.00,0.0,0.0,0.0,0,5000,0.06,0.08
1868,-1.72,-1.79,0.10,0.0,0.0,0.0,0,5000,0.06,-0.06
1889,-1.74,-1.79,0.06,0.0,0.0,0.0,0,5004,0.00,0.00
1909,-1.81,-1.79,0.02,0.0,0.0,0.0,0,5000,0.12,0.04
1930,-1.78,-1.79,0.08,0.0,0.0,0.0,0,5004,0.08,0.02
1950,-1.65,-1.79,-0.02,0.0,0.0,0.0,0,5004,-0.10,0.00
1971,-1.90,-1.79,0.02,0.0,0.0,0.0,0,5008,0.00,0.08
1991,-1.67,-1.79,0.08,0.0,0.0,0.0,0,5004,0.04,0.06
2012,-1.80,-1.79,-0.04,0.0,0.0,0.0,0,5004,-0.02,0.04
2032,-1.72,-1.78,-0.12,0.0,0.0,0.0,0,5000,0.00,-0.10
2053,-1.91,-1.79,0.02,0.0,0.0,0.0,0,5004,-0.04,-0.02
2073,-1.74,-1.79,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
2093,-2.00,-1.79,0.12,0.0,0.0,0.0,0,5004,-0.04,-0.06
2113,-1.71,-1.79,0.10,0.0,0.0,0.0,0,5004,-0.02,-0.04
2134,-1.85,-1.79,-0.04,0.0,0.0,0.0,0,5000,-0.02,-0.04
2154,-1.88,-1.79,-0.06,0.0,0.0,0.0,0,5000,-0.06,-0.04
2174,-1.66,-1.78,-0.02,0.0,0.0,0.0,0,5000,0.00,0.02
2195,-1.81,-1.79,0.04,0.0,0.0,0.0,0,5004,0.02,0.02
2215,-1.83,-1.79,-0.02,0.0,0.0,0.0,0,5000,-0.06,0.02
2236,-1.97,-1.79,-0.02,0.0,0.0,0.0,0,5004,0.00,0.02
2256,-1.91,-1.79,0.02,0.0,0.0,0.0,0,5000,0.02,0.00
2277,-1.76,-1.79,-0.02,0.0,0.0,0.0,0,5004,0.00,-0.02
2297,-1.84,-1.79,-0.08,0.0,0.0,0.0,0,5000,-0.02,0.12
2318,-1.86,-1.79,0.00,0.0,0.0,0.0,0,5004,-0.02,0.00
2338,-1.81,-1.80,-0.08,0.0,0.0,0.0,0,5000,0.02,-0.04
2358,-1.75,-1.80,0.04,0.0,0.0,0.0,0,5000,-0.06,0.02
2378,-2.05,-1.81,-0.06,0.0,0.0,0.0,0,5000,-0.06,-0.02
2399,-1.87,-1.81,-0.02,0.0,0.0,0.0,0,5000,0.10,0.02
2419,-1.65,-1.81,-0.04,0.0,0.0,0.0,0,5004,0.08,0.02
2440,-1.59,-1.80,0.02,0.0,0.0,0.0,0,5000,0.04,-0.02
