# trial: trial_025.csv
# date: 2026-08-01T18:28:31
# note: deadband recal after sag: right wheel bursts 24-63 step 3
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=23/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1519,-1.72,-1.65,0.08,0.0,0.0,0.0,0,5004,0.02,0.00
1540,-1.91,-1.65,0.12,0.0,0.0,0.0,0,5000,0.04,-0.08
1560,-1.70,-1.65,0.04,0.0,0.0,0.0,0,5000,-0.08,0.00
1581,-1.88,-1.65,0.04,0.0,0.0,0.0,0,5000,-0.04,0.04
1601,-1.87,-1.65,0.04,0.0,0.0,0.0,0,5004,-0.06,-0.08
1622,-1.85,-1.65,-0.06,0.0,0.0,0.0,0,5004,0.00,0.08
1642,-1.88,-1.66,-0.04,0.0,0.0,0.0,0,5000,-0.10,0.00
1662,-1.68,-1.66,-0.08,0.0,0.0,0.0,0,5004,0.00,-0.10
1683,-1.59,-1.66,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.10
1703,-1.86,-1.66,0.02,0.0,0.0,0.0,0,5000,-0.10,0.00
1724,-1.97,-1.66,0.00,0.0,0.0,0.0,0,5000,-0.12,0.02
1744,-1.75,-1.67,0.08,0.0,0.0,0.0,0,5004,0.06,-0.04
1764,-1.67,-1.67,-0.02,0.0,0.0,0.0,0,5000,0.08,-0.06
1784,-1.78,-1.67,0.06,0.0,0.0,0.0,0,5000,-0.02,0.04
1805,-1.94,-1.68,-0.12,0.0,0.0,0.0,0,5000,0.04,-0.04
1825,-1.93,-1.68,0.00,0.0,0.0,0.0,0,5000,0.04,0.00
1846,-1.90,-1.69,-0.02,0.0,0.0,0.0,0,5000,0.02,-0.08
1866,-1.82,-1.70,0.08,0.0,0.0,0.0,0,5004,-0.10,-0.02
1887,-1.72,-1.70,-0.02,0.0,0.0,0.0,0,5000,0.04,-0.08
1907,-1.68,-1.70,0.00,0.0,0.0,0.0,0,5004,-0.12,0.06
1928,-1.73,-1.70,0.02,0.0,0.0,0.0,0,5004,-0.08,0.00
1948,-1.92,-1.71,0.08,0.0,0.0,0.0,0,5000,0.02,0.04
1969,-1.87,-1.72,0.10,0.0,0.0,0.0,0,5000,-0.10,-0.06
1989,-1.62,-1.72,-0.02,0.0,0.0,0.0,0,5000,-0.04,-0.06
2010,-1.80,-1.72,-0.04,0.0,0.0,0.0,0,5000,-0.08,-0.04
2030,-1.80,-1.72,0.12,0.0,0.0,0.0,0,5004,0.06,0.00
2051,-1.91,-1.73,0.00,0.0,0.0,0.0,0,5004,-0.18,0.02
2070,-1.96,-1.74,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.06
2091,-1.82,-1.74,0.06,0.0,0.0,0.0,0,5004,-0.02,0.00
2111,-1.82,-1.74,0.00,0.0,0.0,0.0,0,5000,0.08,-0.06
2131,-1.67,-1.75,-0.06,0.0,0.0,0.0,0,5004,-0.08,0.00
2152,-1.87,-1.76,0.00,0.0,0.0,0.0,0,5000,0.02,-0.10
2172,-1.78,-1.76,0.00,0.0,0.0,0.0,0,5000,-0.18,0.06
2193,-1.64,-1.77,-0.02,0.0,0.0,0.0,0,5000,0.08,0.00
2213,-1.80,-1.77,0.02,0.0,0.0,0.0,0,5004,-0.06,0.04
2234,-1.87,-1.78,0.08,0.0,0.0,0.0,0,5004,0.02,0.00
2254,-1.78,-1.79,-0.10,0.0,0.0,0.0,0,5004,0.06,0.08
2275,-1.89,-1.78,-0.04,0.0,0.0,0.0,0,5004,-0.02,-0.04
2295,-1.77,-1.78,-0.02,0.0,0.0,0.0,0,5004,0.00,0.02
2315,-1.74,-1.78,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
2335,-1.97,-1.78,0.02,0.0,0.0,0.0,0,5000,-0.14,0.06
2356,-1.78,-1.79,0.00,0.0,0.0,0.0,0,5004,0.10,0.00
2376,-1.95,-1.79,0.02,0.0,0.0,0.0,0,5000,0.00,-0.04
