# trial: trial_026.csv
# date: 2026-08-01T18:29:59
# note: P2 trial 7: control 15/0.5/0.2 with recal deadband 26/23
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=25.000 Ki=5.000 Kd=0.500 trim=2.22 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1517,-1.82,-1.84,0.06,0.0,0.0,0.0,0,5004,0.00,0.02
1538,-1.72,-1.84,0.08,0.0,0.0,0.0,0,5004,0.04,-0.08
1558,-1.62,-1.84,0.00,0.0,0.0,0.0,0,5004,-0.06,-0.04
1579,-1.72,-1.84,0.02,0.0,0.0,0.0,0,5004,0.02,-0.12
1599,-1.88,-1.84,-0.08,0.0,0.0,0.0,0,5004,-0.04,-0.02
1619,-1.64,-1.84,0.04,0.0,0.0,0.0,0,5000,0.08,0.06
1640,-1.61,-1.83,0.02,0.0,0.0,0.0,0,5000,0.00,0.10
1660,-1.63,-1.83,0.04,0.0,0.0,0.0,0,5000,0.06,-0.02
1681,-1.81,-1.83,0.08,0.0,0.0,0.0,0,5000,0.12,0.02
1701,-1.78,-1.83,0.04,0.0,0.0,0.0,0,5004,0.10,0.02
1722,-1.83,-1.82,0.06,0.0,0.0,0.0,0,5004,-0.04,0.00
1742,-1.88,-1.82,0.04,0.0,0.0,0.0,0,5000,-0.02,0.06
1763,-1.65,-1.82,-0.02,0.0,0.0,0.0,0,5000,-0.04,0.06
1783,-1.70,-1.82,-0.06,0.0,0.0,0.0,0,5004,0.00,0.02
1803,-1.83,-1.82,-0.08,0.0,0.0,0.0,0,5004,0.04,-0.08
1823,-1.79,-1.82,0.04,0.0,0.0,0.0,0,5000,0.04,-0.04
1844,-1.75,-1.81,0.08,0.0,0.0,0.0,0,5000,0.00,0.08
1864,-1.68,-1.81,-0.02,0.0,0.0,0.0,0,5000,-0.12,0.04
1885,-1.76,-1.81,0.04,0.0,0.0,0.0,0,5000,0.02,0.08
1905,-1.87,-1.81,-0.12,0.0,0.0,0.0,0,5004,-0.06,0.02
1926,-1.82,-1.81,-0.02,0.0,0.0,0.0,0,5004,0.12,0.00
1946,-1.66,-1.81,-0.02,0.0,0.0,0.0,0,5004,-0.08,0.06
1967,-1.68,-1.80,-0.02,0.0,0.0,0.0,0,5000,0.06,-0.02
1987,-1.67,-1.80,0.12,0.0,0.0,0.0,0,5000,-0.10,-0.08
2008,-1.83,-1.80,-0.06,0.0,0.0,0.0,0,5000,-0.10,-0.02
2028,-1.62,-1.80,-0.02,0.0,0.0,0.0,0,5000,0.06,0.04
2049,-1.87,-1.80,-0.08,0.0,0.0,0.0,0,5004,0.10,-0.08
2069,-1.87,-1.80,0.02,0.0,0.0,0.0,0,5000,-0.02,0.00
2089,-1.78,-1.80,-0.04,0.0,0.0,0.0,0,5004,0.08,-0.04
2110,-1.79,-1.80,0.00,0.0,0.0,0.0,0,5004,-0.04,0.06
2129,-1.72,-1.79,0.10,0.0,0.0,0.0,0,5004,0.00,0.08
2150,-1.50,-1.79,-0.04,0.0,0.0,0.0,0,5004,0.04,-0.06
2170,-2.00,-1.79,0.04,0.0,0.0,0.0,0,5004,0.00,0.00
2191,-1.67,-1.78,0.06,0.0,0.0,0.0,0,5004,-0.06,-0.10
2211,-1.77,-1.78,-0.02,0.0,0.0,0.0,0,5000,0.06,0.00
2232,-1.75,-1.78,0.00,0.0,0.0,0.0,0,5000,-0.04,0.02
2252,-1.80,-1.79,0.00,0.0,0.0,0.0,0,5004,-0.06,0.04
2273,-1.88,-1.79,0.00,0.0,0.0,0.0,0,5000,0.02,0.00
2293,-1.75,-1.79,0.10,0.0,0.0,0.0,0,5004,-0.06,-0.02
2314,-1.56,-1.78,0.04,0.0,0.0,0.0,0,5000,-0.04,0.00
2333,-1.79,-1.78,-0.08,0.0,0.0,0.0,0,5000,0.04,0.04
2354,-1.87,-1.78,-0.04,0.0,0.0,0.0,0,5004,-0.06,0.02
2374,-1.81,-1.78,-0.06,0.0,0.0,0.0,0,5004,-0.08,-0.04
2395,-1.80,-1.78,0.14,0.0,0.0,0.0,0,5004,-0.06,-0.04
2415,-1.59,-1.77,0.06,0.0,0.0,0.0,0,5004,0.00,-0.02
2436,-1.75,-1.77,0.04,0.0,0.0,0.0,0,5000,-0.14,0.06
2456,-1.59,-1.76,0.04,0.0,0.0,0.0,0,5004,-0.04,-0.06
2477,-1.51,-1.76,0.18,0.0,0.0,0.0,0,5004,0.02,-0.02
2497,-1.68,-1.74,0.08,0.0,0.0,0.0,0,5004,-0.08,-0.04
2518,-1.89,-1.75,0.18,0.0,0.0,0.0,0,5000,0.02,-0.04
2538,-1.70,-1.74,0.12,0.0,0.0,0.0,0,5000,-0.04,-0.08
2558,-1.86,-1.75,-0.02,0.0,0.0,0.0,0,5000,0.02,-0.08
2579,-1.68,-1.75,0.02,0.0,0.0,0.0,0,5004,0.02,-0.04
2599,-1.76,-1.74,0.02,0.0,0.0,0.0,0,5000,0.02,0.04
2620,-1.64,-1.74,-0.02,0.0,0.0,0.0,0,5004,0.02,0.08
2640,-1.79,-1.74,0.04,0.0,0.0,0.0,0,5000,0.00,-0.08
2661,-1.78,-1.74,-0.06,0.0,0.0,0.0,0,5004,-0.02,0.08
2680,-1.77,-1.74,0.04,0.0,0.0,0.0,0,5000,0.00,-0.02
2701,-1.61,-1.74,0.04,0.0,0.0,0.0,0,5000,0.04,-0.12
2721,-1.79,-1.74,-0.06,0.0,0.0,0.0,0,5000,-0.06,0.00
2742,-1.90,-1.75,0.00,0.0,0.0,0.0,0,5000,0.12,0.00
2762,-1.87,-1.76,-0.10,0.0,0.0,0.0,0,5000,-0.06,-0.02
2783,-1.90,-1.76,-0.04,0.0,0.0,0.0,0,5000,-0.04,0.02
2803,-1.82,-1.76,0.04,0.0,0.0,0.0,0,5000,-0.08,-0.08
2824,-1.67,-1.76,-0.02,0.0,0.0,0.0,0,5004,-0.02,0.02
2844,-1.81,-1.77,0.08,0.0,0.0,0.0,0,5004,-0.10,0.00
2865,-1.74,-1.77,-0.06,0.0,0.0,0.0,0,5000,0.06,-0.04
2885,-1.83,-1.77,0.14,0.0,0.0,0.0,0,5000,-0.12,0.08
2906,-1.73,-1.77,-0.02,0.0,0.0,0.0,0,5000,-0.04,0.04
2926,-1.65,-1.77,-0.04,0.0,0.0,0.0,0,5004,-0.14,0.00
2946,-1.59,-1.76,0.08,0.0,0.0,0.0,0,5004,0.00,0.00
2966,-1.78,-1.76,0.14,0.0,0.0,0.0,0,5004,-0.06,-0.04
2987,-1.61,-1.76,0.04,0.0,0.0,0.0,0,5004,-0.04,0.00
3007,-1.61,-1.76,-0.04,0.0,0.0,0.0,0,5000,0.00,0.00
3027,-1.84,-1.77,-0.04,0.0,0.0,0.0,0,5000,-0.06,0.02
