# trial: trial_027.csv
# date: 2026-08-01T18:32:38
# note: P2 trial 8: trim 2.22 -> 4.0, gains 15/0.5/0.2
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=2.22 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1518,-1.78,-1.77,-0.04,0.0,0.0,0.0,0,5000,0.08,0.00
1539,-1.86,-1.77,0.08,0.0,0.0,0.0,0,5000,0.04,-0.18
1559,-1.82,-1.77,-0.08,0.0,0.0,0.0,0,5000,-0.16,0.08
1580,-1.94,-1.77,0.04,0.0,0.0,0.0,0,5004,-0.06,-0.06
1600,-1.56,-1.77,0.04,0.0,0.0,0.0,0,5004,-0.04,0.06
1620,-1.67,-1.77,0.14,0.0,0.0,0.0,0,5000,-0.18,0.00
1641,-2.03,-1.77,-0.02,0.0,0.0,0.0,0,5000,-0.04,0.04
1661,-1.86,-1.77,-0.08,0.0,0.0,0.0,0,5004,-0.14,-0.06
1682,-1.76,-1.77,-0.06,0.0,0.0,0.0,0,5000,-0.02,0.00
1702,-1.88,-1.77,-0.10,0.0,0.0,0.0,0,5000,-0.04,-0.02
1723,-1.77,-1.77,0.04,0.0,0.0,0.0,0,5000,0.12,-0.04
1743,-1.75,-1.77,-0.02,0.0,0.0,0.0,0,5000,-0.04,-0.02
1764,-1.58,-1.77,0.12,0.0,0.0,0.0,0,5004,0.00,0.00
1784,-1.69,-1.77,0.02,0.0,0.0,0.0,0,5004,-0.08,0.06
1805,-1.81,-1.77,0.02,0.0,0.0,0.0,0,5000,0.04,-0.02
1825,-1.77,-1.77,0.06,0.0,0.0,0.0,0,5000,-0.08,0.04
1845,-1.81,-1.76,0.02,0.0,0.0,0.0,0,5004,-0.04,-0.02
1865,-1.63,-1.76,0.02,0.0,0.0,0.0,0,5000,-0.08,-0.04
1886,-1.67,-1.76,0.02,0.0,0.0,0.0,0,5000,-0.08,-0.06
1906,-1.95,-1.76,-0.10,0.0,0.0,0.0,0,5000,-0.02,-0.06
1927,-1.65,-1.76,-0.06,0.0,0.0,0.0,0,5004,0.00,-0.08
1947,-1.84,-1.76,0.08,0.0,0.0,0.0,0,5000,0.06,-0.06
1968,-1.85,-1.77,-0.08,0.0,0.0,0.0,0,5000,-0.12,-0.04
1988,-1.88,-1.77,0.04,0.0,0.0,0.0,0,5000,0.00,-0.02
2009,-1.67,-1.76,0.08,0.0,0.0,0.0,0,5000,0.02,0.04
2029,-1.72,-1.76,0.02,0.0,0.0,0.0,0,5000,0.08,0.04
2050,-1.82,-1.76,0.06,0.0,0.0,0.0,0,5012,0.00,0.02
2070,-1.76,-1.76,-0.06,0.0,0.0,0.0,0,5004,-0.12,0.08
2091,-1.70,-1.76,0.08,0.0,0.0,0.0,0,5000,-0.06,0.04
2111,-1.58,-1.75,0.06,0.0,0.0,0.0,0,5000,-0.04,0.02
2131,-1.83,-1.75,0.02,0.0,0.0,0.0,0,5004,0.00,0.02
2151,-1.70,-1.75,0.00,0.0,0.0,0.0,0,5000,-0.02,-0.04
2171,-1.71,-1.75,0.06,0.0,0.0,0.0,0,5000,-0.02,-0.10
2192,-1.92,-1.75,0.02,0.0,0.0,0.0,0,5004,-0.06,-0.04
2212,-1.90,-1.76,0.06,0.0,0.0,0.0,0,5000,-0.04,0.06
2233,-1.74,-1.76,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.08
2253,-1.89,-1.76,-0.02,0.0,0.0,0.0,0,5000,0.02,0.00
2274,-1.54,-1.76,0.00,0.0,0.0,0.0,0,5000,-0.06,-0.06
2294,-1.77,-1.76,0.04,0.0,0.0,0.0,0,5004,-0.06,-0.02
2315,-1.70,-1.75,0.06,0.0,0.0,0.0,0,5000,0.00,0.00
2335,-1.90,-1.76,0.00,0.0,0.0,0.0,0,5004,0.06,0.04
2356,-1.71,-1.76,0.02,0.0,0.0,0.0,0,5000,-0.06,-0.10
2376,-1.76,-1.76,-0.02,0.0,0.0,0.0,0,5004,-0.06,0.06
2397,-1.83,-1.76,0.10,0.0,0.0,0.0,0,5000,-0.06,-0.10
2416,-1.76,-1.76,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
2437,-1.76,-1.77,0.06,0.0,0.0,0.0,0,5000,0.04,0.02
2457,-1.72,-1.77,-0.14,0.0,0.0,0.0,0,5004,0.02,0.04
2478,-1.70,-1.77,0.04,0.0,0.0,0.0,0,5004,-0.10,0.02
2498,-1.86,-1.77,0.02,0.0,0.0,0.0,0,5004,-0.06,0.08
