# trial: trial_028.csv
# date: 2026-08-01T18:40:28
# note: P2 trial 8 retry: trim 4.0, gains 15/0.5/0.2, post-watchdog-fix
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# WARNING: MPU6050 offline (unpowered? wiring?) ��� will retry
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=2.22 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
# Kp=15.000 Ki=0.500 Kd=0.200 trim=2.22 db=26/23
# Kp=15.000 Ki=0.500 Kd=0.200 trim=2.22 db=26/23
# Kp=15.000 Ki=0.500 Kd=0.200 trim=2.22 db=26/23
# Kp=15.000 Ki=0.500 Kd=0.200 trim=4.00 db=26/23
# arm refused: MPU6050 offline (battery off?)
# MPU6050 online
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
11720,11.53,11.49,0.06,0.0,0.0,0.0,0,5004,0.02,-0.10
11741,11.58,11.50,0.02,0.0,0.0,0.0,0,5004,0.04,-0.06
11761,11.50,11.51,0.04,0.0,0.0,0.0,0,5000,0.00,-0.10
11782,11.39,11.50,-0.06,0.0,0.0,0.0,0,5004,-0.04,-0.02
11802,11.61,11.50,0.00,0.0,0.0,0.0,0,5000,0.02,-0.04
11823,11.42,11.50,-0.02,0.0,0.0,0.0,0,5004,0.04,-0.04
11843,11.43,11.49,0.04,0.0,0.0,0.0,0,5000,0.02,-0.02
11864,11.52,11.49,0.02,0.0,0.0,0.0,0,5000,-0.12,0.06
11885,11.73,11.50,-0.08,0.0,0.0,0.0,0,5000,-0.06,-0.08
11906,11.55,11.51,0.06,0.0,0.0,0.0,0,5004,0.02,-0.08
11926,11.52,11.51,-0.02,0.0,0.0,0.0,0,5004,0.02,0.10
11947,11.42,11.51,0.00,0.0,0.0,0.0,0,5004,0.10,0.04
11967,11.75,11.52,0.00,0.0,0.0,0.0,0,5004,0.02,0.00
11987,11.45,11.52,-0.02,0.0,0.0,0.0,0,5004,-0.06,0.04
12008,11.67,11.52,0.04,0.0,0.0,0.0,0,5004,0.00,0.06
12028,11.50,11.52,0.02,0.0,0.0,0.0,0,5000,-0.02,0.02
12049,11.46,11.51,0.04,0.0,0.0,0.0,0,5000,0.00,0.00
12069,11.60,11.52,0.00,0.0,0.0,0.0,0,5000,-0.06,0.02
12090,11.30,11.52,0.08,0.0,0.0,0.0,0,5004,-0.04,0.02
12110,11.34,11.51,-0.04,0.0,0.0,0.0,0,5000,-0.02,-0.06
12131,11.46,11.50,-0.10,0.0,0.0,0.0,0,5004,-0.02,-0.02
12151,11.59,11.51,0.00,0.0,0.0,0.0,0,5004,0.02,-0.08
12172,11.52,11.51,0.06,0.0,0.0,0.0,0,5000,0.00,0.02
12192,11.57,11.51,-0.06,0.0,0.0,0.0,0,5000,-0.06,0.00
12213,11.52,11.51,0.02,0.0,0.0,0.0,0,5000,-0.04,-0.10
12233,11.45,11.52,-0.08,0.0,0.0,0.0,0,5004,0.02,0.00
12255,11.44,11.52,-0.02,0.0,0.0,0.0,0,5000,-0.04,-0.08
12275,11.50,11.52,0.04,0.0,0.0,0.0,0,5000,-0.02,0.10
12296,11.53,11.52,-0.04,0.0,0.0,0.0,0,5004,-0.06,-0.04
12316,11.66,11.53,0.04,0.0,0.0,0.0,0,5000,0.00,0.00
12337,11.60,11.55,0.00,0.0,0.0,0.0,0,5000,0.04,-0.04
12357,11.54,11.54,-0.04,0.0,0.0,0.0,0,5004,-0.14,0.00
12378,11.66,11.54,0.08,0.0,0.0,0.0,0,5000,-0.02,-0.06
12398,11.56,11.54,-0.06,0.0,0.0,0.0,0,5000,-0.02,0.02
12419,11.32,11.55,-0.02,0.0,0.0,0.0,0,5004,-0.04,-0.02
12439,11.49,11.54,-0.06,0.0,0.0,0.0,0,5000,-0.08,0.04
12460,11.56,11.54,-0.02,0.0,0.0,0.0,0,5000,-0.08,-0.06
12480,11.61,11.55,-0.04,0.0,0.0,0.0,0,5000,0.04,-0.10
12500,11.59,11.55,0.02,0.0,0.0,0.0,0,5004,0.02,0.04
12522,11.36,11.54,-0.02,0.0,0.0,0.0,0,5004,-0.04,-0.04
12542,11.40,11.54,-0.02,0.0,0.0,0.0,0,5000,-0.06,-0.02
12563,11.41,11.53,0.00,0.0,0.0,0.0,0,5000,-0.14,0.00
12583,11.55,11.53,-0.04,0.0,0.0,0.0,0,5000,0.00,0.04
12604,11.54,11.53,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.04
12624,11.62,11.53,-0.04,0.0,0.0,0.0,0,5004,-0.02,-0.06
12645,11.60,11.53,-0.08,0.0,0.0,0.0,0,5000,-0.08,0.02
12665,11.62,11.53,-0.02,0.0,0.0,0.0,0,5000,0.02,0.00
12686,11.43,11.53,0.00,0.0,0.0,0.0,0,5000,-0.06,-0.04
12706,11.36,11.53,0.04,0.0,0.0,0.0,0,5000,-0.02,-0.02
12727,11.61,11.52,-0.02,0.0,0.0,0.0,0,5000,-0.06,0.02
12747,11.71,11.53,-0.04,0.0,0.0,0.0,0,5004,-0.02,-0.08
12768,11.53,11.53,0.06,0.0,0.0,0.0,0,5000,-0.02,-0.02
12788,11.60,11.53,0.02,0.0,0.0,0.0,0,5004,-0.10,-0.02
12809,11.68,11.54,0.00,0.0,0.0,0.0,0,5000,0.02,-0.04
12829,11.59,11.54,0.04,0.0,0.0,0.0,0,5000,0.00,-0.06
12850,11.56,11.54,0.02,0.0,0.0,0.0,0,5000,0.00,-0.10
12871,11.50,11.54,0.00,0.0,0.0,0.0,0,5000,0.10,0.06
12892,11.70,11.55,0.02,0.0,0.0,0.0,0,5004,-0.04,0.00
12912,11.47,11.55,0.12,0.0,0.0,0.0,0,5000,0.02,0.02
12933,11.45,11.55,0.00,0.0,0.0,0.0,0,5000,0.00,-0.06
12953,11.64,11.55,0.08,0.0,0.0,0.0,0,5004,-0.06,0.00
12974,11.62,11.54,0.00,0.0,0.0,0.0,0,5004,0.04,-0.08
12994,11.58,11.55,-0.04,0.0,0.0,0.0,0,5004,0.10,0.00
13015,11.41,11.55,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.06
