# trial: trial_029.csv
# date: 2026-08-01T18:47:08
# note: trim ID: free-standing rest angle, side 1 (leaning backward)
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=4.00 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1720,10.80,10.58,0.06,0.0,0.0,0.0,0,5004,-0.04,-0.08
1740,10.59,10.58,0.10,0.0,0.0,0.0,0,5000,0.06,0.04
1761,10.51,10.58,0.06,0.0,0.0,0.0,0,5000,-0.02,0.00
1781,10.66,10.59,-0.02,0.0,0.0,0.0,0,5000,0.06,-0.02
1802,10.53,10.58,0.04,0.0,0.0,0.0,0,5000,0.04,0.04
1822,10.52,10.59,0.08,0.0,0.0,0.0,0,5000,0.02,0.00
1843,10.59,10.58,0.04,0.0,0.0,0.0,0,5000,0.04,0.00
1863,10.46,10.58,0.10,0.0,0.0,0.0,0,5000,0.00,-0.06
1884,10.65,10.58,0.06,0.0,0.0,0.0,0,5004,0.04,0.02
1904,10.48,10.58,0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
1925,10.39,10.58,0.14,0.0,0.0,0.0,0,5000,0.06,0.04
1945,10.54,10.58,0.00,0.0,0.0,0.0,0,5004,-0.02,0.00
1966,10.67,10.58,0.08,0.0,0.0,0.0,0,5004,0.00,0.00
1986,10.65,10.58,0.10,0.0,0.0,0.0,0,5000,0.06,0.02
2007,10.48,10.58,0.10,0.0,0.0,0.0,0,5000,-0.04,0.06
2027,10.42,10.58,0.10,0.0,0.0,0.0,0,5000,-0.04,-0.02
2048,10.38,10.57,-0.02,0.0,0.0,0.0,0,5000,0.04,-0.06
2068,10.41,10.57,0.04,0.0,0.0,0.0,0,5004,0.08,-0.04
2088,10.49,10.57,0.02,0.0,0.0,0.0,0,5000,-0.02,0.00
2109,10.63,10.57,0.12,0.0,0.0,0.0,0,5000,0.00,0.08
2129,10.42,10.56,0.02,0.0,0.0,0.0,0,5004,0.00,-0.02
2150,10.61,10.56,0.00,0.0,0.0,0.0,0,5004,0.02,0.04
2170,10.61,10.55,0.06,0.0,0.0,0.0,0,5000,0.06,0.02
2191,10.53,10.55,0.06,0.0,0.0,0.0,0,5000,0.00,0.04
2211,10.69,10.56,0.12,0.0,0.0,0.0,0,5000,0.08,0.04
2232,10.70,10.56,0.06,0.0,0.0,0.0,0,5000,0.00,-0.02
2252,10.49,10.56,0.12,0.0,0.0,0.0,0,5004,0.00,-0.04
2273,10.63,10.57,-0.02,0.0,0.0,0.0,0,5000,0.00,0.04
2293,10.65,10.56,0.00,0.0,0.0,0.0,0,5000,0.04,-0.04
2314,10.45,10.57,0.08,0.0,0.0,0.0,0,5000,-0.04,0.02
2334,10.50,10.56,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
2355,10.39,10.56,0.00,0.0,0.0,0.0,0,5004,-0.04,0.00
2375,10.61,10.55,0.06,0.0,0.0,0.0,0,5004,0.02,-0.08
2396,10.50,10.55,0.06,0.0,0.0,0.0,0,5000,-0.02,-0.06
2416,10.64,10.55,0.10,0.0,0.0,0.0,0,5004,-0.08,0.00
2437,10.44,10.55,0.02,0.0,0.0,0.0,0,5000,0.08,-0.04
2457,10.71,10.55,0.10,0.0,0.0,0.0,0,5000,0.06,-0.06
2478,10.75,10.55,0.04,0.0,0.0,0.0,0,5000,-0.02,0.04
2498,10.82,10.56,0.04,0.0,0.0,0.0,0,5000,0.00,-0.04
2519,10.47,10.56,0.10,0.0,0.0,0.0,0,5004,0.06,-0.08
2539,10.51,10.55,-0.04,0.0,0.0,0.0,0,5000,0.02,-0.02
2560,10.48,10.55,0.12,0.0,0.0,0.0,0,5004,0.06,-0.06
2581,10.52,10.55,0.08,0.0,0.0,0.0,0,5004,0.08,0.02
2601,10.43,10.54,0.04,0.0,0.0,0.0,0,5004,0.00,0.02
2622,10.52,10.54,0.02,0.0,0.0,0.0,0,5000,-0.04,-0.04
2642,10.43,10.54,0.06,0.0,0.0,0.0,0,5004,0.02,-0.04
2663,10.57,10.54,0.08,0.0,0.0,0.0,0,5000,-0.08,-0.04
2683,10.70,10.55,-0.04,0.0,0.0,0.0,0,5004,-0.06,-0.02
2704,10.52,10.55,0.10,0.0,0.0,0.0,0,5004,0.14,0.00
2724,10.72,10.55,0.04,0.0,0.0,0.0,0,5004,0.00,-0.08
2745,10.39,10.55,-0.02,0.0,0.0,0.0,0,5000,0.02,-0.04
2765,10.60,10.55,0.02,0.0,0.0,0.0,0,5000,0.02,0.02
2786,10.70,10.56,0.08,0.0,0.0,0.0,0,5000,-0.06,0.00
2806,10.46,10.56,0.12,0.0,0.0,0.0,0,5000,0.04,0.04
2827,10.66,10.56,0.04,0.0,0.0,0.0,0,5004,-0.02,0.00
2847,10.55,10.57,0.00,0.0,0.0,0.0,0,5000,0.04,-0.06
2868,10.65,10.57,0.06,0.0,0.0,0.0,0,5000,0.08,-0.04
2888,10.35,10.56,0.02,0.0,0.0,0.0,0,5000,0.02,-0.10
2909,10.61,10.56,0.04,0.0,0.0,0.0,0,5004,0.00,-0.02
2929,10.41,10.56,0.00,0.0,0.0,0.0,0,5000,-0.04,0.00
2950,10.29,10.55,0.06,0.0,0.0,0.0,0,5004,0.02,-0.08
2970,10.49,10.54,0.02,0.0,0.0,0.0,0,5000,0.06,0.06
2991,10.31,10.53,0.12,0.0,0.0,0.0,0,5000,0.08,-0.02
3011,10.56,10.53,0.04,0.0,0.0,0.0,0,5000,-0.04,0.10
3032,10.73,10.53,0.08,0.0,0.0,0.0,0,5000,-0.02,0.00
3052,10.47,10.54,0.02,0.0,0.0,0.0,0,5004,-0.04,-0.02
3073,10.44,10.53,-0.08,0.0,0.0,0.0,0,5004,-0.04,0.04
3093,10.50,10.53,0.08,0.0,0.0,0.0,0,5000,0.02,-0.02
3113,10.64,10.55,0.02,0.0,0.0,0.0,0,5004,0.04,-0.02
3134,10.54,10.55,0.06,0.0,0.0,0.0,0,5000,0.06,-0.06
3154,10.50,10.54,0.06,0.0,0.0,0.0,0,5000,-0.02,0.04
3175,10.34,10.53,0.06,0.0,0.0,0.0,0,5004,0.04,0.04
3195,10.35,10.52,0.04,0.0,0.0,0.0,0,5004,0.06,-0.04
3216,10.39,10.52,0.02,0.0,0.0,0.0,0,5004,-0.02,0.02
3236,10.52,10.52,0.06,0.0,0.0,0.0,0,5004,0.06,0.06
3257,10.38,10.52,0.02,0.0,0.0,0.0,0,5000,-0.06,-0.04
3277,10.59,10.52,0.04,0.0,0.0,0.0,0,5000,0.02,0.02
3298,10.63,10.52,-0.04,0.0,0.0,0.0,0,5000,0.02,-0.04
3318,10.57,10.53,0.04,0.0,0.0,0.0,0,5000,-0.06,-0.04
3340,10.50,10.54,0.06,0.0,0.0,0.0,0,5000,0.02,-0.04
3360,10.67,10.54,-0.02,0.0,0.0,0.0,0,5000,0.00,0.02
3381,10.73,10.54,0.08,0.0,0.0,0.0,0,5000,-0.06,0.00
3401,10.49,10.55,0.00,0.0,0.0,0.0,0,5004,0.08,0.02
3422,10.52,10.55,-0.02,0.0,0.0,0.0,0,5004,0.02,0.00
3442,10.63,10.56,0.08,0.0,0.0,0.0,0,5000,-0.04,-0.02
3463,10.73,10.56,-0.02,0.0,0.0,0.0,0,5004,0.04,0.00
3483,10.55,10.56,-0.02,0.0,0.0,0.0,0,5000,0.08,-0.08
3504,10.62,10.56,-0.02,0.0,0.0,0.0,0,5000,0.04,-0.04
3524,10.49,10.56,0.06,0.0,0.0,0.0,0,5004,0.06,0.02
3545,10.27,10.56,0.06,0.0,0.0,0.0,0,5004,0.06,0.08
3565,10.42,10.55,-0.02,0.0,0.0,0.0,0,5000,-0.10,0.04
3586,10.50,10.55,0.02,0.0,0.0,0.0,0,5004,0.00,-0.04
3606,10.39,10.54,0.06,0.0,0.0,0.0,0,5000,0.04,0.04
3627,10.62,10.54,0.12,0.0,0.0,0.0,0,5000,0.06,-0.04
3647,10.46,10.54,0.06,0.0,0.0,0.0,0,5000,0.04,0.04
3667,10.63,10.55,0.06,0.0,0.0,0.0,0,5004,-0.04,-0.04
3688,10.58,10.55,0.02,0.0,0.0,0.0,0,5000,-0.04,0.02
3708,10.50,10.54,0.02,0.0,0.0,0.0,0,5004,0.12,-0.04
3729,10.47,10.54,0.08,0.0,0.0,0.0,0,5000,0.04,0.08
3749,10.46,10.54,0.02,0.0,0.0,0.0,0,5000,0.08,-0.06
3770,10.65,10.54,0.04,0.0,0.0,0.0,0,5000,0.04,-0.02
3790,10.44,10.53,0.10,0.0,0.0,0.0,0,5000,0.04,0.00
3811,10.56,10.52,0.10,0.0,0.0,0.0,0,5004,0.04,0.02
3831,10.59,10.53,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.06
3852,10.58,10.54,0.04,0.0,0.0,0.0,0,5000,0.02,0.00
3872,10.81,10.56,0.04,0.0,0.0,0.0,0,5000,-0.08,-0.06
3893,10.53,10.55,0.06,0.0,0.0,0.0,0,5004,0.02,0.02
3913,10.56,10.56,0.10,0.0,0.0,0.0,0,5004,0.04,0.00
3934,10.37,10.55,-0.02,0.0,0.0,0.0,0,5000,0.08,0.00
3954,10.65,10.55,0.06,0.0,0.0,0.0,0,5000,-0.04,0.00
3975,10.39,10.55,0.10,0.0,0.0,0.0,0,5000,0.02,0.02
3995,10.67,10.55,0.04,0.0,0.0,0.0,0,5000,0.06,0.02
4016,10.55,10.55,0.02,0.0,0.0,0.0,0,5000,0.04,-0.04
4036,10.56,10.56,0.06,0.0,0.0,0.0,0,5000,-0.02,0.06
4057,10.49,10.54,0.02,0.0,0.0,0.0,0,5000,0.02,0.04
4077,10.45,10.53,0.04,0.0,0.0,0.0,0,5000,0.00,-0.04
4098,10.73,10.54,0.08,0.0,0.0,0.0,0,5000,-0.02,0.00
4118,10.40,10.53,0.02,0.0,0.0,0.0,0,5000,0.02,0.00
4139,10.43,10.53,0.04,0.0,0.0,0.0,0,5000,-0.04,0.00
4159,10.56,10.53,0.04,0.0,0.0,0.0,0,5000,0.02,-0.10
4179,10.60,10.53,0.06,0.0,0.0,0.0,0,5004,-0.02,0.00
4200,10.60,10.53,-0.02,0.0,0.0,0.0,0,5004,0.02,0.12
4220,10.51,10.53,0.06,0.0,0.0,0.0,0,5000,0.04,-0.10
4241,10.54,10.53,0.02,0.0,0.0,0.0,0,5004,0.00,0.02
4261,10.66,10.53,0.02,0.0,0.0,0.0,0,5000,0.02,-0.04
4282,10.41,10.53,-0.04,0.0,0.0,0.0,0,5000,0.00,0.00
4302,10.57,10.54,0.02,0.0,0.0,0.0,0,5000,0.00,-0.04
4323,10.54,10.53,-0.04,0.0,0.0,0.0,0,5000,0.06,-0.06
4343,10.65,10.54,0.00,0.0,0.0,0.0,0,5000,0.02,0.00
4364,10.65,10.53,0.08,0.0,0.0,0.0,0,5000,0.00,-0.10
4384,10.40,10.53,0.04,0.0,0.0,0.0,0,5004,0.02,-0.02
4405,10.58,10.53,0.12,0.0,0.0,0.0,0,5004,0.00,-0.06
4425,10.63,10.53,-0.02,0.0,0.0,0.0,0,5000,-0.02,0.00
4446,10.53,10.53,0.04,0.0,0.0,0.0,0,5004,0.06,0.00
4466,10.46,10.53,0.06,0.0,0.0,0.0,0,5004,-0.02,0.00
4487,10.53,10.53,0.02,0.0,0.0,0.0,0,5000,0.10,0.04
4507,10.48,10.53,-0.02,0.0,0.0,0.0,0,5004,0.02,-0.08
4529,10.44,10.53,0.02,0.0,0.0,0.0,0,5000,0.02,-0.06
4549,10.38,10.52,0.04,0.0,0.0,0.0,0,5004,0.00,0.04
4570,10.41,10.52,-0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
4590,10.62,10.52,0.10,0.0,0.0,0.0,0,5004,0.04,-0.06
4611,10.52,10.52,0.04,0.0,0.0,0.0,0,5004,0.00,-0.10
4631,10.50,10.52,0.00,0.0,0.0,0.0,0,5004,0.00,-0.10
4652,10.56,10.51,0.00,0.0,0.0,0.0,0,5004,0.00,0.06
4672,10.66,10.52,0.04,0.0,0.0,0.0,0,5000,-0.10,-0.02
4692,10.51,10.52,0.04,0.0,0.0,0.0,0,5004,0.00,0.04
4713,10.61,10.52,0.14,0.0,0.0,0.0,0,5004,0.08,-0.02
4733,10.59,10.53,0.10,0.0,0.0,0.0,0,5000,-0.04,-0.02
4754,10.60,10.54,0.06,0.0,0.0,0.0,0,5000,-0.04,0.06
4774,10.47,10.54,0.02,0.0,0.0,0.0,0,5000,-0.04,-0.06
4795,10.53,10.54,0.04,0.0,0.0,0.0,0,5000,-0.04,-0.08
4815,10.71,10.54,0.00,0.0,0.0,0.0,0,5008,0.14,0.06
4836,10.47,10.55,0.06,0.0,0.0,0.0,0,5004,0.02,0.00
4856,10.68,10.54,0.00,0.0,0.0,0.0,0,5000,0.04,-0.04
4877,10.57,10.55,0.00,0.0,0.0,0.0,0,5000,0.00,0.04
4897,10.61,10.55,-0.02,0.0,0.0,0.0,0,5000,0.04,0.02
4918,10.55,10.56,0.10,0.0,0.0,0.0,0,5004,-0.12,0.04
4938,10.69,10.57,0.04,0.0,0.0,0.0,0,5004,0.04,-0.02
4959,10.42,10.57,0.00,0.0,0.0,0.0,0,5004,-0.02,0.04
4979,10.56,10.56,0.00,0.0,0.0,0.0,0,5000,0.02,0.04
5000,10.81,10.57,0.00,0.0,0.0,0.0,0,5000,-0.02,0.02
5020,10.63,10.58,0.08,0.0,0.0,0.0,0,5004,0.08,-0.04
5041,10.55,10.58,0.02,0.0,0.0,0.0,0,5000,-0.04,0.04
5061,10.82,10.59,0.00,0.0,0.0,0.0,0,5000,-0.04,-0.06
5082,10.64,10.59,0.04,0.0,0.0,0.0,0,5000,0.00,0.00
5102,10.55,10.59,0.00,0.0,0.0,0.0,0,5004,0.04,-0.04
5123,10.39,10.58,0.00,0.0,0.0,0.0,0,5000,-0.04,-0.04
5143,10.73,10.58,0.00,0.0,0.0,0.0,0,5004,0.02,0.02
5164,10.58,10.58,0.06,0.0,0.0,0.0,0,5004,0.00,-0.04
5184,10.49,10.59,0.06,0.0,0.0,0.0,0,5004,0.02,-0.06
5204,10.53,10.59,0.10,0.0,0.0,0.0,0,5000,0.00,-0.04
5225,10.54,10.58,0.08,0.0,0.0,0.0,0,5004,0.10,-0.08
5245,10.40,10.58,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.06
5266,10.55,10.57,0.04,0.0,0.0,0.0,0,5000,-0.02,-0.02
5286,10.58,10.57,0.02,0.0,0.0,0.0,0,5000,0.00,0.02
5307,10.48,10.57,-0.02,0.0,0.0,0.0,0,5004,0.02,-0.06
5327,10.64,10.58,0.08,0.0,0.0,0.0,0,5000,0.04,-0.12
5348,10.57,10.57,0.08,0.0,0.0,0.0,0,5000,0.10,-0.02
5368,10.54,10.57,0.06,0.0,0.0,0.0,0,5000,-0.02,0.06
5389,10.72,10.58,0.08,0.0,0.0,0.0,0,5000,0.12,-0.04
5409,10.59,10.57,0.08,0.0,0.0,0.0,0,5000,-0.02,-0.02
5430,10.65,10.57,0.02,0.0,0.0,0.0,0,5000,-0.02,0.00
5450,10.48,10.57,0.04,0.0,0.0,0.0,0,5000,-0.02,0.08
5471,10.38,10.57,0.08,0.0,0.0,0.0,0,5000,-0.04,0.00
5491,10.76,10.57,0.06,0.0,0.0,0.0,0,5000,-0.06,0.02
5512,10.61,10.57,0.06,0.0,0.0,0.0,0,5000,0.04,0.00
5532,10.69,10.58,0.08,0.0,0.0,0.0,0,5000,-0.02,-0.06
5553,10.77,10.58,0.14,0.0,0.0,0.0,0,5000,0.04,0.00
5573,10.62,10.59,0.12,0.0,0.0,0.0,0,5004,0.06,-0.04
5594,10.63,10.60,-0.16,0.0,0.0,0.0,0,5004,0.04,0.00
5615,10.46,10.59,0.14,0.0,0.0,0.0,0,5004,0.02,-0.04
5636,10.49,10.58,0.04,0.0,0.0,0.0,0,5004,0.06,-0.12
5656,10.55,10.58,0.02,0.0,0.0,0.0,0,5004,-0.06,0.08
5677,10.44,10.57,0.02,0.0,0.0,0.0,0,5000,0.02,0.00
5697,10.45,10.56,0.02,0.0,0.0,0.0,0,5004,0.04,-0.02
5718,10.78,10.57,0.02,0.0,0.0,0.0,0,5004,-0.08,0.02
5738,10.55,10.57,-0.02,0.0,0.0,0.0,0,5004,-0.06,0.02
5758,10.70,10.57,0.12,0.0,0.0,0.0,0,5004,-0.02,0.02
5779,10.41,10.57,0.04,0.0,0.0,0.0,0,5004,0.00,0.00
5799,10.33,10.57,0.04,0.0,0.0,0.0,0,5000,0.02,-0.06
5820,10.54,10.57,0.00,0.0,0.0,0.0,0,5000,-0.04,0.02
5840,10.50,10.57,0.06,0.0,0.0,0.0,0,5004,-0.04,-0.06
5861,10.50,10.57,0.10,0.0,0.0,0.0,0,5004,-0.02,-0.02
5881,10.72,10.57,0.06,0.0,0.0,0.0,0,5000,0.04,-0.06
5902,10.44,10.56,0.16,0.0,0.0,0.0,0,5000,-0.02,-0.04
5922,10.65,10.57,0.12,0.0,0.0,0.0,0,5004,0.02,0.02
5943,10.42,10.56,0.02,0.0,0.0,0.0,0,5000,-0.04,-0.08
5963,10.48,10.56,0.06,0.0,0.0,0.0,0,5004,0.00,0.06
5984,10.36,10.55,0.04,0.0,0.0,0.0,0,5000,0.02,0.02
6004,10.25,10.54,0.06,0.0,0.0,0.0,0,5004,0.00,-0.14
6025,10.58,10.54,0.08,0.0,0.0,0.0,0,5000,0.02,0.02
6045,10.58,10.53,0.06,0.0,0.0,0.0,0,5004,0.04,-0.08
6066,10.43,10.53,0.12,0.0,0.0,0.0,0,5000,0.10,-0.06
6086,10.42,10.53,0.06,0.0,0.0,0.0,0,5000,0.12,-0.08
6107,10.50,10.54,0.06,0.0,0.0,0.0,0,5000,0.08,-0.02
6127,10.35,10.53,0.08,0.0,0.0,0.0,0,5004,-0.06,-0.06
6148,10.58,10.53,0.02,0.0,0.0,0.0,0,5000,0.00,-0.08
6168,10.52,10.53,0.02,0.0,0.0,0.0,0,5000,0.04,-0.10
6189,10.66,10.54,0.04,0.0,0.0,0.0,0,5000,0.00,-0.04
6209,10.37,10.54,0.02,0.0,0.0,0.0,0,5004,0.08,0.02
6230,10.50,10.54,0.04,0.0,0.0,0.0,0,5004,-0.04,0.04
6250,10.62,10.55,0.06,0.0,0.0,0.0,0,5004,0.02,-0.12
6272,10.70,10.55,0.06,0.0,0.0,0.0,0,5000,0.04,-0.04
6292,10.33,10.54,0.00,0.0,0.0,0.0,0,5000,-0.02,0.04
6312,10.60,10.54,0.08,0.0,0.0,0.0,0,5000,0.02,-0.02
6333,10.50,10.54,-0.02,0.0,0.0,0.0,0,5004,0.12,0.04
6353,10.46,10.54,0.08,0.0,0.0,0.0,0,5000,-0.02,-0.04
6374,10.59,10.54,0.04,0.0,0.0,0.0,0,5000,-0.02,0.00
6394,10.44,10.54,-0.02,0.0,0.0,0.0,0,5000,0.00,0.12
6415,10.47,10.53,0.00,0.0,0.0,0.0,0,5000,-0.04,0.00
6435,10.49,10.53,0.06,0.0,0.0,0.0,0,5000,0.02,0.00
6456,10.51,10.53,0.02,0.0,0.0,0.0,0,5000,-0.04,-0.02
6476,10.40,10.52,0.04,0.0,0.0,0.0,0,5000,-0.06,-0.08
6497,10.50,10.53,0.04,0.0,0.0,0.0,0,5000,0.02,-0.04
6517,10.48,10.52,0.04,0.0,0.0,0.0,0,5000,0.06,0.00
6538,10.43,10.52,0.06,0.0,0.0,0.0,0,5000,0.00,-0.06
6558,10.40,10.52,0.08,0.0,0.0,0.0,0,5004,0.02,-0.06
6579,10.54,10.53,0.04,0.0,0.0,0.0,0,5000,0.02,-0.02
6599,10.41,10.52,0.06,0.0,0.0,0.0,0,5004,-0.02,-0.06
6620,10.60,10.52,0.12,0.0,0.0,0.0,0,5004,0.02,0.04
6640,10.62,10.54,0.02,0.0,0.0,0.0,0,5004,-0.08,0.02
6661,10.40,10.54,0.08,0.0,0.0,0.0,0,5000,0.04,-0.10
6681,10.67,10.54,0.06,0.0,0.0,0.0,0,5004,0.02,0.02
6702,10.53,10.54,-0.02,0.0,0.0,0.0,0,5000,0.02,0.00
6722,10.48,10.54,0.00,0.0,0.0,0.0,0,5000,-0.04,-0.08
6743,10.75,10.55,0.04,0.0,0.0,0.0,0,5000,0.02,0.02
6763,10.73,10.56,0.06,0.0,0.0,0.0,0,5004,-0.08,-0.02
6784,10.57,10.56,0.14,0.0,0.0,0.0,0,5004,-0.08,0.00
6804,10.67,10.57,-0.04,0.0,0.0,0.0,0,5000,0.02,0.00
6824,10.63,10.57,0.10,0.0,0.0,0.0,0,5000,0.04,-0.06
6845,10.59,10.57,0.08,0.0,0.0,0.0,0,5000,0.00,-0.06
6865,10.48,10.57,0.02,0.0,0.0,0.0,0,5000,-0.02,0.04
6886,10.48,10.57,0.08,0.0,0.0,0.0,0,5000,0.00,0.10
6906,10.49,10.57,0.06,0.0,0.0,0.0,0,5004,0.00,0.04
6927,10.68,10.58,0.02,0.0,0.0,0.0,0,5004,0.10,-0.02
6947,10.62,10.59,0.12,0.0,0.0,0.0,0,5004,-0.04,0.04
6968,10.51,10.58,0.00,0.0,0.0,0.0,0,5004,0.06,0.06
6988,10.59,10.59,0.04,0.0,0.0,0.0,0,5000,0.02,0.04
7009,10.74,10.59,0.08,0.0,0.0,0.0,0,5000,0.04,-0.06
7029,10.60,10.59,0.04,0.0,0.0,0.0,0,5000,0.08,-0.04
7050,10.58,10.60,0.14,0.0,0.0,0.0,0,5004,-0.02,-0.08
7070,10.47,10.60,0.04,0.0,0.0,0.0,0,5004,0.04,-0.04
7091,10.63,10.59,0.04,0.0,0.0,0.0,0,5000,-0.12,-0.08
7112,10.62,10.60,0.04,0.0,0.0,0.0,0,5000,0.02,-0.08
7133,10.47,10.59,0.02,0.0,0.0,0.0,0,5000,-0.06,0.06
7153,10.43,10.58,-0.02,0.0,0.0,0.0,0,5000,0.04,0.00
7174,10.49,10.57,0.02,0.0,0.0,0.0,0,5000,-0.02,-0.06
7194,10.49,10.57,0.14,0.0,0.0,0.0,0,5004,0.04,0.02
7215,10.41,10.57,0.02,0.0,0.0,0.0,0,5004,0.00,-0.10
7235,10.76,10.57,0.08,0.0,0.0,0.0,0,5004,0.02,-0.06
7256,10.85,10.58,0.10,0.0,0.0,0.0,0,5000,0.02,0.00
7276,10.37,10.58,0.06,0.0,0.0,0.0,0,5000,-0.04,-0.02
7297,10.58,10.58,-0.02,0.0,0.0,0.0,0,5000,0.06,0.00
7317,10.52,10.57,-0.02,0.0,0.0,0.0,0,5000,-0.04,0.02
7337,10.55,10.56,0.14,0.0,0.0,0.0,0,5000,0.04,-0.02
7358,10.53,10.56,0.08,0.0,0.0,0.0,0,5000,0.00,0.06
7378,10.61,10.56,-0.04,0.0,0.0,0.0,0,5000,-0.06,0.00
7399,10.60,10.57,0.04,0.0,0.0,0.0,0,5004,0.00,0.06
7419,10.52,10.57,0.06,0.0,0.0,0.0,0,5004,0.00,-0.04
7440,10.61,10.58,0.04,0.0,0.0,0.0,0,5000,-0.04,0.10
7460,10.39,10.57,0.10,0.0,0.0,0.0,0,5004,-0.06,-0.06
7481,10.50,10.56,0.04,0.0,0.0,0.0,0,5000,0.04,0.08
7501,10.49,10.56,0.00,0.0,0.0,0.0,0,5004,-0.04,-0.02
7522,10.76,10.56,0.10,0.0,0.0,0.0,0,5004,0.04,-0.04
7542,10.60,10.57,0.08,0.0,0.0,0.0,0,5000,0.00,-0.04
7563,10.46,10.56,0.12,0.0,0.0,0.0,0,5000,0.06,-0.04
7583,10.48,10.56,0.02,0.0,0.0,0.0,0,5004,0.00,0.02
7604,10.58,10.56,-0.08,0.0,0.0,0.0,0,5004,0.00,0.04
7624,10.60,10.56,0.08,0.0,0.0,0.0,0,5004,-0.04,-0.04
7645,10.49,10.56,0.10,0.0,0.0,0.0,0,5000,-0.02,-0.04
7665,10.71,10.56,0.02,0.0,0.0,0.0,0,5004,-0.04,-0.04
