# trial: trial_030.csv
# date: 2026-08-01T18:50:47
# note: trim ID: free-standing rest angle, side 2 (leaning forward)
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=4.00 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1720,6.82,6.68,0.08,0.0,0.0,0.0,0,5000,0.04,-0.10
1740,6.82,6.68,0.00,0.0,0.0,0.0,0,5004,0.00,-0.04
1761,6.71,6.69,0.00,0.0,0.0,0.0,0,5000,0.00,0.04
1781,6.60,6.69,0.10,0.0,0.0,0.0,0,5000,0.04,-0.04
1802,6.68,6.69,0.18,0.0,0.0,0.0,0,5000,0.06,0.06
1821,6.63,6.69,0.04,0.0,0.0,0.0,0,5000,-0.02,-0.08
1842,6.77,6.69,0.06,0.0,0.0,0.0,0,5000,0.00,-0.02
1862,6.61,6.69,-0.04,0.0,0.0,0.0,0,5000,-0.02,0.00
1883,6.69,6.69,0.00,0.0,0.0,0.0,0,5000,0.08,-0.04
1903,6.68,6.70,0.04,0.0,0.0,0.0,0,5004,-0.06,0.00
1924,6.72,6.70,0.10,0.0,0.0,0.0,0,5004,-0.02,-0.08
1944,6.65,6.70,0.02,0.0,0.0,0.0,0,5004,0.14,-0.02
1965,6.58,6.70,0.08,0.0,0.0,0.0,0,5000,0.06,0.00
1985,6.72,6.70,0.04,0.0,0.0,0.0,0,5004,0.00,0.02
2006,6.61,6.70,0.04,0.0,0.0,0.0,0,5000,0.10,0.00
2026,6.76,6.70,0.02,0.0,0.0,0.0,0,5000,-0.02,0.00
2045,6.59,6.70,0.06,0.0,0.0,0.0,0,5004,-0.02,-0.10
2066,6.63,6.70,0.08,0.0,0.0,0.0,0,5004,-0.08,-0.02
2086,6.71,6.70,0.06,0.0,0.0,0.0,0,5004,-0.04,0.02
2107,6.71,6.70,0.08,0.0,0.0,0.0,0,5000,-0.02,-0.08
2127,6.80,6.70,0.08,0.0,0.0,0.0,0,5000,-0.02,0.06
2148,6.76,6.70,0.10,0.0,0.0,0.0,0,5000,0.02,-0.04
2168,6.73,6.70,0.06,0.0,0.0,0.0,0,5004,0.00,0.02
2189,6.57,6.71,0.10,0.0,0.0,0.0,0,5004,0.02,-0.02
2209,6.60,6.71,0.00,0.0,0.0,0.0,0,5000,0.02,0.02
2230,6.73,6.71,0.10,0.0,0.0,0.0,0,5004,0.06,-0.02
2250,6.61,6.71,0.06,0.0,0.0,0.0,0,5000,0.02,0.00
2271,6.84,6.71,0.06,0.0,0.0,0.0,0,5000,0.02,0.08
2291,6.71,6.71,0.02,0.0,0.0,0.0,0,5000,0.02,-0.02
2312,6.67,6.71,0.04,0.0,0.0,0.0,0,5004,0.10,0.02
2331,6.69,6.71,0.00,0.0,0.0,0.0,0,5000,0.02,-0.02
2352,6.49,6.71,0.06,0.0,0.0,0.0,0,5004,0.00,0.04
2372,6.71,6.70,0.06,0.0,0.0,0.0,0,5000,0.04,-0.04
2393,6.60,6.70,-0.04,0.0,0.0,0.0,0,5000,0.00,-0.04
2413,6.56,6.69,0.00,0.0,0.0,0.0,0,5004,0.10,-0.06
2434,6.64,6.69,0.06,0.0,0.0,0.0,0,5000,0.08,-0.10
2454,6.99,6.69,0.10,0.0,0.0,0.0,0,5004,0.02,-0.06
