# trial: trial_031.csv
# date: 2026-08-01T18:51:20
# note: P2 trial 9: trim 8.61 from friction-cone midpoint, gains 15/0.5/0.2
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=4.00 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1720,6.58,6.57,-0.02,0.0,0.0,0.0,0,5004,0.04,0.04
1740,6.68,6.57,0.00,0.0,0.0,0.0,0,5004,0.06,0.02
1761,6.59,6.57,0.04,0.0,0.0,0.0,0,5000,-0.04,0.02
1781,6.55,6.58,0.10,0.0,0.0,0.0,0,5004,0.04,-0.04
1802,6.67,6.58,0.10,0.0,0.0,0.0,0,5000,0.02,0.04
1822,6.57,6.58,0.12,0.0,0.0,0.0,0,5000,0.10,0.08
1842,6.58,6.58,0.10,0.0,0.0,0.0,0,5000,0.08,0.02
1862,6.64,6.58,0.00,0.0,0.0,0.0,0,5000,-0.04,0.16
1883,6.61,6.59,-0.02,0.0,0.0,0.0,0,5004,0.02,-0.06
1903,6.52,6.59,0.02,0.0,0.0,0.0,0,5004,0.04,0.00
1924,6.79,6.59,-0.08,0.0,0.0,0.0,0,5000,0.02,-0.06
1944,6.62,6.59,0.02,0.0,0.0,0.0,0,5000,0.02,0.00
1965,6.74,6.60,0.06,0.0,0.0,0.0,0,5000,0.02,-0.06
1985,6.69,6.60,0.02,0.0,0.0,0.0,0,5000,0.02,-0.06
2006,6.63,6.60,0.04,0.0,0.0,0.0,0,5000,-0.04,-0.02
2026,6.63,6.60,0.08,0.0,0.0,0.0,0,5000,-0.02,0.00
2046,6.66,6.61,0.08,0.0,0.0,0.0,0,5004,0.06,-0.02
