# trial: trial_032.csv
# date: 2026-08-01T18:54:26
# note: P2 trial 10: trim bisect 6.0, gains 15/0.5/0.2
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1720,-3.49,-3.37,0.08,0.0,0.0,0.0,0,5000,0.14,-0.04
1740,-3.56,-3.37,0.08,0.0,0.0,0.0,0,5000,0.00,0.08
1761,-3.52,-3.37,0.04,0.0,0.0,0.0,0,5004,0.08,-0.02
1781,-3.27,-3.37,0.00,0.0,0.0,0.0,0,5000,0.10,0.06
1801,-3.55,-3.37,0.04,0.0,0.0,0.0,0,5000,0.10,-0.04
1821,-3.51,-3.37,0.04,0.0,0.0,0.0,0,5000,0.06,-0.02
1842,-3.34,-3.37,0.00,0.0,0.0,0.0,0,5000,0.10,0.06
1862,-3.56,-3.37,-0.06,0.0,0.0,0.0,0,5000,0.10,0.02
1883,-3.40,-3.38,0.00,0.0,0.0,0.0,0,5000,0.04,0.00
1903,-3.35,-3.38,-0.02,0.0,0.0,0.0,0,5000,0.08,-0.04
1924,-3.57,-3.38,0.02,0.0,0.0,0.0,0,5004,-0.02,0.06
1944,-3.40,-3.38,0.06,0.0,0.0,0.0,0,5000,0.06,0.02
1965,-3.58,-3.39,0.00,0.0,0.0,0.0,0,5000,0.10,0.00
1985,-3.61,-3.40,-0.02,0.0,0.0,0.0,0,5000,0.04,-0.10
2006,-3.51,-3.40,0.02,0.0,0.0,0.0,0,5004,0.06,0.06
2026,-3.45,-3.40,0.00,0.0,0.0,0.0,0,5000,0.00,0.02
2045,-3.58,-3.41,-0.02,0.0,0.0,0.0,0,5000,0.08,0.00
2066,-3.56,-3.41,0.10,0.0,0.0,0.0,0,5004,0.00,0.00
2086,-3.54,-3.41,-0.04,0.0,0.0,0.0,0,5000,0.08,-0.06
2107,-3.42,-3.41,0.00,0.0,0.0,0.0,0,5000,0.02,0.02
2127,-3.42,-3.42,0.00,0.0,0.0,0.0,0,5004,0.00,-0.04
2148,-3.46,-3.42,0.04,0.0,0.0,0.0,0,5000,0.16,-0.02
2168,-3.51,-3.43,0.06,0.0,0.0,0.0,0,5000,0.10,-0.02
2189,-3.51,-3.43,0.06,0.0,0.0,0.0,0,5000,-0.04,0.04
2209,-3.50,-3.44,-0.02,0.0,0.0,0.0,0,5000,0.08,-0.08
2230,-3.44,-3.45,0.00,0.0,0.0,0.0,0,5004,0.14,0.06
2250,-3.34,-3.45,0.02,0.0,0.0,0.0,0,5004,-0.02,0.04
2271,-3.52,-3.45,-0.08,0.0,0.0,0.0,0,5000,0.06,0.04
2290,-3.56,-3.46,0.08,0.0,0.0,0.0,0,5000,0.06,0.00
2311,-3.71,-3.46,0.08,0.0,0.0,0.0,0,5004,0.02,-0.02
2331,-3.47,-3.46,0.04,0.0,0.0,0.0,0,5000,0.06,-0.02
2352,-3.44,-3.46,0.10,0.0,0.0,0.0,0,5000,0.12,-0.02
2372,-3.42,-3.46,0.00,0.0,0.0,0.0,0,5000,0.10,-0.02
2393,-3.40,-3.45,0.04,0.0,0.0,0.0,0,5000,-0.02,-0.02
2413,-3.53,-3.45,0.10,0.0,0.0,0.0,0,5000,0.04,-0.02
2434,-3.70,-3.45,0.02,0.0,0.0,0.0,0,5000,0.04,0.00
2454,-3.38,-3.45,0.02,0.0,0.0,0.0,0,5004,0.12,0.04
2475,-3.76,-3.46,0.08,0.0,0.0,0.0,0,5000,0.02,-0.08
2495,-3.35,-3.47,-0.02,0.0,0.0,0.0,0,5004,0.00,-0.04
2515,-3.55,-3.47,0.04,0.0,0.0,0.0,0,5000,0.02,-0.02
2536,-3.48,-3.48,0.06,0.0,0.0,0.0,0,5000,0.06,0.06
2555,-3.45,-3.48,0.00,0.0,0.0,0.0,0,5004,-0.02,-0.06
2576,-3.55,-3.48,0.04,0.0,0.0,0.0,0,5004,0.04,0.02
2596,-3.80,-3.50,0.02,0.0,0.0,0.0,0,5004,0.04,0.02
2617,-3.36,-3.49,0.08,0.0,0.0,0.0,0,5004,0.02,0.02
2637,-3.56,-3.49,0.08,0.0,0.0,0.0,0,5000,0.16,0.02
2658,-3.51,-3.50,0.06,0.0,0.0,0.0,0,5004,0.04,0.04
2678,-3.50,-3.50,0.10,0.0,0.0,0.0,0,5000,0.08,0.00
2699,-3.45,-3.51,0.02,0.0,0.0,0.0,0,5004,-0.04,0.04
2719,-3.41,-3.51,-0.02,0.0,0.0,0.0,0,5004,0.04,0.00
2740,-3.73,-3.52,0.06,0.0,0.0,0.0,0,5004,0.04,-0.10
2760,-3.43,-3.52,0.04,0.0,0.0,0.0,0,5000,0.06,0.02
2781,-3.79,-3.53,-0.06,0.0,0.0,0.0,0,5004,0.00,0.04
2801,-3.43,-3.53,0.02,0.0,0.0,0.0,0,5000,-0.04,0.00
2821,-3.34,-3.53,0.02,0.0,0.0,0.0,0,5000,0.04,-0.02
2841,-3.62,-3.53,0.10,0.0,0.0,0.0,0,5000,0.06,0.00
2862,-3.57,-3.53,0.00,0.0,0.0,0.0,0,5004,0.04,0.08
2882,-3.70,-3.54,0.08,0.0,0.0,0.0,0,5004,0.06,-0.10
2903,-3.60,-3.55,0.06,0.0,0.0,0.0,0,5004,0.06,0.02
2923,-3.63,-3.55,0.06,0.0,0.0,0.0,0,5004,0.02,0.06
2944,-3.44,-3.55,-0.02,0.0,0.0,0.0,0,5000,0.08,0.08
2964,-3.59,-3.55,0.06,0.0,0.0,0.0,0,5000,0.06,-0.02
2984,-3.74,-3.56,-0.06,0.0,0.0,0.0,0,5004,0.04,0.02
3005,-3.57,-3.56,0.04,0.0,0.0,0.0,0,5004,-0.02,-0.04
