# trial: trial_033.csv
# date: 2026-08-01T18:57:34
# note: P2 trial 10b: trim 6.0 retry
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1720,-38.80,-38.77,0.12,0.0,0.0,0.0,0,5000,-0.04,0.10
1740,-38.79,-38.77,0.04,0.0,0.0,0.0,0,5004,0.02,-0.02
1761,-38.71,-38.76,0.12,0.0,0.0,0.0,0,5000,-0.04,0.06
1781,-38.47,-38.76,0.18,0.0,0.0,0.0,0,5000,0.06,0.06
1802,-38.89,-38.76,0.10,0.0,0.0,0.0,0,5000,0.12,0.00
1822,-38.65,-38.76,0.06,0.0,0.0,0.0,0,5000,0.08,0.04
1843,-38.72,-38.76,0.02,0.0,0.0,0.0,0,5004,-0.02,0.04
1863,-38.56,-38.76,-0.02,0.0,0.0,0.0,0,5000,0.00,0.02
1884,-38.88,-38.76,0.00,0.0,0.0,0.0,0,5000,0.12,0.14
1904,-38.98,-38.76,0.10,0.0,0.0,0.0,0,5004,0.08,0.06
1925,-38.66,-38.76,0.22,0.0,0.0,0.0,0,5004,-0.04,0.04
1945,-38.73,-38.76,0.16,0.0,0.0,0.0,0,5000,-0.06,0.02
1966,-38.76,-38.76,0.12,0.0,0.0,0.0,0,5000,-0.04,0.00
1986,-38.80,-38.76,0.02,0.0,0.0,0.0,0,5000,0.06,0.04
2007,-38.82,-38.76,0.14,0.0,0.0,0.0,0,5004,0.12,0.06
2027,-38.80,-38.76,0.06,0.0,0.0,0.0,0,5004,0.00,-0.02
2048,-38.84,-38.76,0.10,0.0,0.0,0.0,0,5000,0.08,0.00
2068,-38.68,-38.75,0.14,0.0,0.0,0.0,0,5004,0.04,0.08
2088,-38.82,-38.75,0.10,0.0,0.0,0.0,0,5004,0.04,0.04
2109,-38.81,-38.75,0.10,0.0,0.0,0.0,0,5004,0.06,0.04
2129,-38.42,-38.74,0.10,0.0,0.0,0.0,0,5004,0.06,0.00
2150,-38.90,-38.74,0.06,0.0,0.0,0.0,0,5000,0.04,0.08
2170,-38.64,-38.74,0.14,0.0,0.0,0.0,0,5000,0.12,-0.04
2192,-38.59,-38.73,0.10,0.0,0.0,0.0,0,5000,0.08,0.02
2212,-38.91,-38.74,0.08,0.0,0.0,0.0,0,5000,0.06,0.04
2233,-38.73,-38.73,0.12,0.0,0.0,0.0,0,5000,0.04,0.12
2253,-38.66,-38.74,0.14,0.0,0.0,0.0,0,5000,0.00,0.06
2274,-39.06,-38.74,0.12,0.0,0.0,0.0,0,5000,0.04,0.04
2294,-38.75,-38.74,0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
2315,-38.62,-38.74,0.10,0.0,0.0,0.0,0,5000,-0.10,0.04
2335,-38.58,-38.74,0.08,0.0,0.0,0.0,0,5004,0.06,0.10
2356,-38.81,-38.75,0.10,0.0,0.0,0.0,0,5000,0.00,-0.08
2376,-38.76,-38.75,0.08,0.0,0.0,0.0,0,5000,-0.06,0.08
2397,-38.96,-38.76,0.10,0.0,0.0,0.0,0,5000,0.08,-0.02
2417,-38.76,-38.76,0.12,0.0,0.0,0.0,0,5000,0.02,0.04
2438,-38.71,-38.75,0.14,0.0,0.0,0.0,0,5004,0.06,-0.02
2458,-38.89,-38.76,0.16,0.0,0.0,0.0,0,5004,0.06,-0.02
2479,-38.72,-38.76,0.10,0.0,0.0,0.0,0,5000,-0.04,-0.02
2499,-38.72,-38.75,0.06,0.0,0.0,0.0,0,5000,0.10,-0.02
2520,-38.90,-38.75,0.10,0.0,0.0,0.0,0,5000,0.06,0.00
2540,-38.71,-38.75,0.08,0.0,0.0,0.0,0,5000,0.16,0.06
2561,-38.93,-38.75,0.02,0.0,0.0,0.0,0,5000,0.02,0.02
2581,-38.86,-38.76,0.02,0.0,0.0,0.0,0,5000,0.12,0.10
2601,-38.83,-38.75,0.02,0.0,0.0,0.0,0,5004,-0.02,-0.08
2622,-38.68,-38.75,0.12,0.0,0.0,0.0,0,5004,0.12,-0.08
2642,-38.81,-38.75,0.04,0.0,0.0,0.0,0,5000,0.06,0.04
2663,-38.63,-38.74,0.10,0.0,0.0,0.0,0,5004,-0.02,0.06
2683,-38.90,-38.75,0.10,0.0,0.0,0.0,0,5000,-0.04,0.02
2704,-38.78,-38.75,0.10,0.0,0.0,0.0,0,5004,0.04,0.10
2724,-38.81,-38.75,0.10,0.0,0.0,0.0,0,5000,0.02,0.00
2745,-38.74,-38.74,0.08,0.0,0.0,0.0,0,5004,0.06,0.02
2765,-38.88,-38.75,0.08,0.0,0.0,0.0,0,5004,0.10,0.04
2786,-38.91,-38.75,0.04,0.0,0.0,0.0,0,5004,0.06,0.02
2807,-38.82,-38.75,0.14,0.0,0.0,0.0,0,5004,0.06,-0.06
2828,-38.89,-38.76,0.06,0.0,0.0,0.0,0,5000,0.00,0.06
2848,-38.85,-38.76,0.06,0.0,0.0,0.0,0,5000,0.06,0.02
2869,-38.58,-38.76,0.08,0.0,0.0,0.0,0,5004,0.04,0.06
2889,-38.66,-38.76,0.08,0.0,0.0,0.0,0,5004,0.00,0.00
2910,-38.92,-38.76,0.06,0.0,0.0,0.0,0,5000,0.04,0.08
2930,-38.70,-38.76,0.06,0.0,0.0,0.0,0,5000,0.12,-0.06
2951,-38.79,-38.76,0.14,0.0,0.0,0.0,0,5004,0.04,0.04
2971,-38.90,-38.77,0.08,0.0,0.0,0.0,0,5000,0.08,0.06
2992,-39.06,-38.77,0.10,0.0,0.0,0.0,0,5004,0.04,0.00
3012,-39.00,-38.79,0.04,0.0,0.0,0.0,0,5000,0.00,0.02
3033,-39.10,-38.80,0.08,0.0,0.0,0.0,0,5000,0.02,0.10
3053,-38.75,-38.81,0.00,0.0,0.0,0.0,0,5000,0.04,-0.02
3074,-39.20,-38.83,0.06,0.0,0.0,0.0,0,5000,0.02,0.10
3094,-38.79,-38.83,0.04,0.0,0.0,0.0,0,5000,0.06,-0.02
3115,-38.75,-38.83,0.06,0.0,0.0,0.0,0,5000,0.10,0.04
3135,-38.89,-38.84,0.12,0.0,0.0,0.0,0,5004,-0.08,0.08
3155,-38.86,-38.84,0.06,0.0,0.0,0.0,0,5000,0.22,0.02
