# trial: trial_034.csv
# date: 2026-08-01T21:16:42
# note: deadband recheck on fresh charge: left wheel bursts 16-42 step 2
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1869,-1.48,-1.38,0.00,0.0,0.0,0.0,0,5004,0.00,0.08
1890,-1.41,-1.38,0.00,0.0,0.0,0.0,0,5004,-0.02,0.06
1910,-1.26,-1.38,-0.08,0.0,0.0,0.0,0,5000,0.02,0.02
1931,-1.40,-1.38,0.10,0.0,0.0,0.0,0,5000,-0.02,-0.06
1951,-1.27,-1.37,0.08,0.0,0.0,0.0,0,5004,0.02,0.00
1972,-1.11,-1.37,-0.06,0.0,0.0,0.0,0,5000,0.04,0.06
1992,-1.30,-1.38,-0.06,0.0,0.0,0.0,0,5004,0.00,0.08
2013,-1.34,-1.37,-0.06,0.0,0.0,0.0,0,5000,0.04,0.06
2033,-1.60,-1.37,-0.04,0.0,0.0,0.0,0,5004,-0.02,0.04
2054,-1.40,-1.37,0.00,0.0,0.0,0.0,0,5004,-0.02,0.04
2074,-1.32,-1.38,-0.02,0.0,0.0,0.0,0,5000,-0.12,0.18
2095,-1.34,-1.38,0.02,0.0,0.0,0.0,0,5004,-0.12,0.00
2115,-1.36,-1.37,-0.02,0.0,0.0,0.0,0,5000,-0.02,0.06
2136,-1.40,-1.37,-0.04,0.0,0.0,0.0,0,5004,-0.02,-0.02
2156,-1.30,-1.37,-0.08,0.0,0.0,0.0,0,5004,-0.10,0.08
2177,-1.17,-1.37,0.00,0.0,0.0,0.0,0,5000,0.00,0.06
2196,-1.39,-1.37,-0.02,0.0,0.0,0.0,0,5004,0.00,0.06
2216,-1.35,-1.36,-0.06,0.0,0.0,0.0,0,5000,0.06,0.00
2237,-1.31,-1.36,-0.04,0.0,0.0,0.0,0,5000,-0.06,0.02
2257,-1.37,-1.36,0.00,0.0,0.0,0.0,0,5004,-0.08,-0.02
2278,-1.32,-1.36,-0.02,0.0,0.0,0.0,0,5000,0.04,0.02
2298,-1.32,-1.36,0.00,0.0,0.0,0.0,0,5004,-0.12,0.10
2319,-1.38,-1.36,-0.04,0.0,0.0,0.0,0,5000,-0.08,0.04
