# trial: trial_035.csv
# date: 2026-08-01T21:17:48
# note: deadband recheck fresh charge: left wheel bursts 16-42 repeat
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1874,-1.36,-1.32,0.00,0.0,0.0,0.0,0,5004,-0.08,-0.04
1895,-1.20,-1.32,0.00,0.0,0.0,0.0,0,5004,0.04,0.08
1915,-1.33,-1.31,-0.06,0.0,0.0,0.0,0,5000,0.02,0.00
1936,-1.28,-1.31,-0.02,0.0,0.0,0.0,0,5000,0.08,0.00
1956,-1.37,-1.31,-0.02,0.0,0.0,0.0,0,5000,0.02,-0.02
1977,-1.40,-1.32,-0.02,0.0,0.0,0.0,0,5000,-0.04,0.08
1997,-1.37,-1.32,0.00,0.0,0.0,0.0,0,5000,-0.02,-0.04
2018,-1.35,-1.32,-0.06,0.0,0.0,0.0,0,5000,-0.02,0.08
2038,-1.27,-1.32,0.04,0.0,0.0,0.0,0,5000,-0.06,0.08
2059,-1.34,-1.32,0.02,0.0,0.0,0.0,0,5004,0.02,-0.04
2079,-1.19,-1.32,-0.04,0.0,0.0,0.0,0,5004,-0.04,0.00
2100,-1.43,-1.32,-0.04,0.0,0.0,0.0,0,5004,-0.02,-0.04
2120,-1.27,-1.32,-0.14,0.0,0.0,0.0,0,5000,-0.06,-0.02
2141,-1.32,-1.32,0.06,0.0,0.0,0.0,0,5000,0.02,0.06
2161,-1.29,-1.32,0.06,0.0,0.0,0.0,0,5000,-0.04,-0.04
2182,-1.27,-1.32,0.00,0.0,0.0,0.0,0,5004,-0.08,-0.04
2202,-1.35,-1.33,-0.04,0.0,0.0,0.0,0,5000,0.12,0.02
2222,-1.36,-1.32,-0.04,0.0,0.0,0.0,0,5000,0.00,-0.02
2242,-1.30,-1.32,0.04,0.0,0.0,0.0,0,5000,-0.04,-0.02
2263,-1.14,-1.32,0.08,0.0,0.0,0.0,0,5000,-0.02,0.04
2283,-1.42,-1.32,0.02,0.0,0.0,0.0,0,5004,0.06,-0.02
2304,-1.51,-1.33,-0.06,0.0,0.0,0.0,0,5000,0.00,0.04
2324,-1.19,-1.33,-0.06,0.0,0.0,0.0,0,5004,-0.02,0.02
2344,-1.17,-1.33,0.02,0.0,0.0,0.0,0,5000,0.06,0.02
2365,-1.58,-1.33,0.02,0.0,0.0,0.0,0,5000,0.12,-0.02
2385,-1.04,-1.33,-0.08,0.0,0.0,0.0,0,5004,0.14,0.04
2406,-1.37,-1.33,-0.06,0.0,0.0,0.0,0,5000,0.02,-0.10
2426,-1.11,-1.33,-0.02,0.0,0.0,0.0,0,5000,0.00,0.02
2447,-1.21,-1.32,-0.10,0.0,0.0,0.0,0,5000,0.04,0.00
2467,-1.30,-1.32,0.00,0.0,0.0,0.0,0,5000,-0.02,-0.04
2488,-1.30,-1.31,0.12,0.0,0.0,0.0,0,5000,-0.04,-0.10
2508,-1.30,-1.31,-0.04,0.0,0.0,0.0,0,5004,0.10,-0.04
2529,-1.25,-1.31,0.00,0.0,0.0,0.0,0,5004,0.02,0.04
2548,-1.34,-1.31,-0.04,0.0,0.0,0.0,0,5000,0.00,0.02
2569,-1.23,-1.31,0.02,0.0,0.0,0.0,0,5000,0.06,0.10
2589,-1.41,-1.31,0.04,0.0,0.0,0.0,0,5000,0.00,-0.14
2610,-1.56,-1.32,0.02,0.0,0.0,0.0,0,5000,-0.02,0.02
2630,-1.29,-1.32,0.02,0.0,0.0,0.0,0,5004,0.04,-0.04
2651,-1.34,-1.32,-0.04,0.0,0.0,0.0,0,5000,0.10,0.04
2671,-1.27,-1.33,0.00,0.0,0.0,0.0,0,5000,-0.02,0.06
2692,-1.35,-1.33,-0.02,0.0,0.0,0.0,0,5004,-0.04,-0.02
2712,-1.28,-1.33,-0.10,0.0,0.0,0.0,0,5004,0.02,0.10
2733,-1.28,-1.33,0.10,0.0,0.0,0.0,0,5004,0.10,0.02
2753,-1.36,-1.33,-0.06,0.0,0.0,0.0,0,5000,0.02,0.00
2774,-1.38,-1.33,-0.06,0.0,0.0,0.0,0,5004,0.00,0.02
2794,-1.22,-1.33,-0.10,0.0,0.0,0.0,0,5000,0.00,0.06
2814,-1.43,-1.33,0.06,0.0,0.0,0.0,0,5004,0.06,0.00
2835,-1.19,-1.33,-0.04,0.0,0.0,0.0,0,5004,0.02,-0.02
2854,-1.31,-1.32,0.06,0.0,0.0,0.0,0,5000,0.02,-0.04
2875,-1.29,-1.32,0.00,0.0,0.0,0.0,0,5000,-0.06,-0.04
