# trial: trial_036.csv
# date: 2026-08-01T21:18:54
# note: deadband recheck fresh charge: right wheel bursts 16-42 step 2
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=26/23
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1869,-1.40,-1.31,0.02,0.0,0.0,0.0,0,5004,-0.02,-0.10
1890,-1.33,-1.31,-0.08,0.0,0.0,0.0,0,5000,-0.12,-0.12
1910,-1.38,-1.31,-0.04,0.0,0.0,0.0,0,5004,0.02,0.00
1931,-1.39,-1.31,0.04,0.0,0.0,0.0,0,5000,-0.08,0.02
1951,-1.27,-1.31,-0.06,0.0,0.0,0.0,0,5004,0.08,0.02
1972,-1.41,-1.31,-0.02,0.0,0.0,0.0,0,5004,-0.08,-0.04
1992,-1.36,-1.31,-0.02,0.0,0.0,0.0,0,5000,0.14,-0.02
2013,-1.32,-1.32,-0.08,0.0,0.0,0.0,0,5000,-0.04,0.06
2033,-1.21,-1.32,-0.04,0.0,0.0,0.0,0,5000,0.04,0.02
2054,-1.24,-1.32,-0.02,0.0,0.0,0.0,0,5004,-0.04,0.06
2074,-1.38,-1.31,0.06,0.0,0.0,0.0,0,5004,0.10,0.08
2095,-1.26,-1.32,-0.08,0.0,0.0,0.0,0,5000,-0.04,0.00
2115,-1.37,-1.32,0.02,0.0,0.0,0.0,0,5004,0.12,-0.06
2136,-1.27,-1.32,-0.02,0.0,0.0,0.0,0,5004,0.10,0.02
2156,-1.21,-1.32,0.06,0.0,0.0,0.0,0,5000,-0.02,0.04
2177,-1.29,-1.31,-0.02,0.0,0.0,0.0,0,5004,0.02,0.00
2197,-1.46,-1.31,-0.10,0.0,0.0,0.0,0,5000,0.08,-0.08
2216,-1.35,-1.31,0.00,0.0,0.0,0.0,0,5000,-0.06,-0.06
2237,-1.43,-1.32,-0.08,0.0,0.0,0.0,0,5004,0.00,0.00
2257,-1.27,-1.32,0.04,0.0,0.0,0.0,0,5000,0.00,0.02
2278,-1.33,-1.32,0.00,0.0,0.0,0.0,0,5004,0.08,-0.12
2298,-1.38,-1.32,0.00,0.0,0.0,0.0,0,5000,-0.02,0.04
2319,-1.29,-1.31,-0.02,0.0,0.0,0.0,0,5004,0.04,0.02
2339,-1.36,-1.31,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2360,-1.25,-1.31,0.02,0.0,0.0,0.0,0,5000,0.10,0.06
2380,-1.37,-1.31,0.06,0.0,0.0,0.0,0,5000,0.02,-0.04
2401,-1.43,-1.31,-0.06,0.0,0.0,0.0,0,5004,0.00,0.08
2421,-1.15,-1.31,0.02,0.0,0.0,0.0,0,5004,0.04,0.00
2442,-1.33,-1.31,-0.02,0.0,0.0,0.0,0,5000,-0.10,0.00
2461,-1.34,-1.31,-0.08,0.0,0.0,0.0,0,5000,0.02,0.04
2482,-1.38,-1.32,0.10,0.0,0.0,0.0,0,5000,0.00,0.02
2502,-1.33,-1.31,0.04,0.0,0.0,0.0,0,5000,0.00,0.06
2523,-1.28,-1.32,0.04,0.0,0.0,0.0,0,5000,-0.10,-0.02
2543,-1.31,-1.32,-0.10,0.0,0.0,0.0,0,5004,-0.04,-0.02
2564,-1.31,-1.32,0.02,0.0,0.0,0.0,0,5000,-0.10,-0.06
2584,-1.37,-1.32,0.02,0.0,0.0,0.0,0,5000,0.02,-0.02
2605,-1.20,-1.32,-0.08,0.0,0.0,0.0,0,5000,0.06,0.04
2625,-1.28,-1.32,0.14,0.0,0.0,0.0,0,5000,0.04,-0.04
2646,-1.35,-1.32,-0.02,0.0,0.0,0.0,0,5000,-0.02,0.08
2666,-1.31,-1.32,0.00,0.0,0.0,0.0,0,5000,0.02,0.08
2686,-1.21,-1.31,0.00,0.0,0.0,0.0,0,5000,0.04,0.00
2707,-1.37,-1.31,0.00,0.0,0.0,0.0,0,5000,-0.16,0.02
2727,-1.30,-1.31,-0.08,0.0,0.0,0.0,0,5000,0.06,-0.06
2748,-1.50,-1.31,0.02,0.0,0.0,0.0,0,5000,0.00,-0.02
2767,-1.31,-1.32,-0.04,0.0,0.0,0.0,0,5000,-0.06,-0.04
2788,-1.46,-1.32,-0.02,0.0,0.0,0.0,0,5000,-0.04,-0.04
2808,-1.41,-1.32,0.02,0.0,0.0,0.0,0,5004,0.04,-0.06
2829,-1.25,-1.32,0.06,0.0,0.0,0.0,0,5004,0.04,-0.04
2849,-1.45,-1.32,-0.02,0.0,0.0,0.0,0,5000,0.06,0.06
2870,-1.45,-1.32,0.08,0.0,0.0,0.0,0,5000,0.04,0.02
2890,-1.28,-1.32,-0.04,0.0,0.0,0.0,0,5004,-0.04,-0.04
2911,-1.34,-1.33,0.00,0.0,0.0,0.0,0,5004,0.04,-0.02
2931,-1.27,-1.33,0.02,0.0,0.0,0.0,0,5004,-0.06,0.00
