# trial: trial_037.csv
# date: 2026-08-01T21:20:13
# note: P2 trial 11: trim 6.0 on fresh charge, gains 15/0.5/0.2, db 23/19
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1869,-1.36,-1.14,0.00,0.0,0.0,0.0,0,5004,-0.08,0.00
1890,-1.14,-1.14,0.04,0.0,0.0,0.0,0,5000,0.08,-0.02
1910,-1.14,-1.15,0.02,0.0,0.0,0.0,0,5000,-0.08,0.04
1930,-1.36,-1.14,0.08,0.0,0.0,0.0,0,5004,0.00,0.02
1950,-1.35,-1.15,0.06,0.0,0.0,0.0,0,5000,-0.02,0.08
1971,-1.16,-1.15,0.08,0.0,0.0,0.0,0,5004,-0.10,-0.04
1991,-1.25,-1.15,-0.02,0.0,0.0,0.0,0,5000,0.00,0.06
2012,-1.31,-1.15,0.08,0.0,0.0,0.0,0,5000,-0.06,-0.14
2032,-1.49,-1.16,-0.02,0.0,0.0,0.0,0,5004,0.00,0.06
2053,-1.33,-1.16,0.02,0.0,0.0,0.0,0,5000,0.10,0.00
2073,-1.16,-1.16,0.02,0.0,0.0,0.0,0,5004,-0.06,-0.08
2094,-1.41,-1.17,-0.04,0.0,0.0,0.0,0,5004,-0.06,0.08
2114,-1.20,-1.17,0.08,0.0,0.0,0.0,0,5004,-0.06,-0.02
2135,-1.36,-1.18,-0.10,0.0,0.0,0.0,0,5004,0.02,-0.02
2155,-1.27,-1.18,0.02,0.0,0.0,0.0,0,5004,0.02,-0.04
2176,-1.25,-1.18,-0.02,0.0,0.0,0.0,0,5000,0.00,0.00
2196,-1.38,-1.19,0.10,0.0,0.0,0.0,0,5004,-0.04,-0.06
