# trial: trial_038.csv
# date: 2026-08-01T21:26:07
# note: P2 trial 11b: trim 6.0 fresh charge, user in position
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1795,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
1814,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
1835,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
1854,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
1874,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
1894,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
1914,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
1934,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
1954,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
1975,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
1994,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2015,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
2034,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
2055,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
2074,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2095,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
2114,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2135,0.00,0.00,0.00,0.0,0.0,0.0,0,5004,0.00,0.00
2154,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2174,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2194,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2214,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2235,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
2254,0.00,0.00,0.00,0.0,0.0,0.0,0,5000,0.00,0.00
# IMU FROZEN ��� resetting
# MPU6050 online
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
4083,1.63,-103.33,2.36,0.0,0.0,0.0,0,1808840,-3.00,-3.97
4105,2.01,-54.97,3.10,0.0,0.0,0.0,0,5000,-2.73,-4.10
4125,1.89,-36.33,3.24,0.0,0.0,0.0,0,5000,-2.71,-4.04
4146,1.97,-26.20,3.16,0.0,0.0,0.0,0,5000,-2.87,-4.06
4166,2.28,-19.70,2.45,0.0,0.0,0.0,0,5004,-2.63,-4.08
4187,2.74,-15.04,1.18,0.0,0.0,0.0,0,5004,-2.73,-4.30
