# trial: trial_039.csv
# date: 2026-08-01T21:29:29
# note: P2 trial 11c: trim 6.0, hold-slightly-back arming technique
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# WARNING: MPU6050 offline (unpowered? wiring?) ��� will retry
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
# Kp=15.000 Ki=0.500 Kd=0.200 trim=8.61 db=23/19
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
# arm refused: MPU6050 offline (battery off?)
# arm refused: MPU6050 offline (battery off?)
# MPU6050 online
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
37921,-135.00,-135.03,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
37942,-135.00,-135.03,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
37962,-135.00,-135.02,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
37982,-135.00,-135.02,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38002,-135.00,-135.02,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38022,-135.00,-135.02,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38042,-135.00,-135.02,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
38062,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38082,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38102,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38122,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38141,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38162,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38181,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
38202,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
38222,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38242,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
38262,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
38282,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
38302,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38322,-135.00,-135.01,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
38342,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38362,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
38382,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
38402,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
# IMU FROZEN ��� resetting
# arm refused: MPU6050 offline (battery off?)
# MPU6050 online
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
69993,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70013,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70033,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70053,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70073,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70093,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70113,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70133,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70153,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70173,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70194,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70213,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70234,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70253,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70274,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70293,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70313,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70333,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70353,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70373,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70393,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70413,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70433,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
70454,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5004,-0.02,-0.02
70473,-135.00,-135.00,-0.02,0.0,0.0,0.0,0,5000,-0.02,-0.02
# IMU FROZEN ��� resetting
# MPU6050 online
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
84348,72.91,74.52,2.12,0.0,0.0,0.0,0,5000,-2.79,-4.06
84370,73.02,73.67,2.16,0.0,0.0,0.0,0,5000,-2.85,-4.04
84390,73.12,73.43,2.18,0.0,0.0,0.0,0,5004,-2.67,-4.06
84411,72.79,73.30,2.20,0.0,0.0,0.0,0,5000,-2.77,-4.02
