# trial: trial_040.csv
# date: 2026-08-01T21:39:13
# note: shake test part 1: static baseline, hands off
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1872,2.27,5.06,27.27,0.0,0.0,0.0,0,5000,19.34,-9.15
1893,1.77,5.54,21.77,0.0,0.0,0.0,0,5004,15.17,4.06
1913,-6.60,4.43,-47.39,0.0,0.0,0.0,0,5000,-27.13,10.99
1934,3.15,3.45,-52.94,0.0,0.0,0.0,0,5004,16.23,24.52
1955,4.17,2.74,-28.80,0.0,0.0,0.0,0,5000,4.00,18.81
1976,-2.75,2.11,-27.35,0.0,0.0,0.0,0,5000,-3.67,11.13
1996,-0.25,1.53,-24.01,0.0,0.0,0.0,0,5004,-4.30,2.87
2017,0.04,1.09,-19.12,0.0,0.0,0.0,0,5004,-3.55,1.49
2037,-0.95,0.68,-16.61,0.0,0.0,0.0,0,5000,-3.00,3.55
2058,-1.57,0.32,-13.76,0.0,0.0,0.0,0,5004,-2.63,3.10
2078,-2.66,0.00,-11.70,0.0,0.0,0.0,0,5000,-0.22,1.67
2099,-3.34,-0.31,-10.07,0.0,0.0,0.0,0,5000,4.91,2.24
2119,-2.43,-0.58,-7.66,0.0,0.0,0.0,0,5004,5.71,0.08
2140,-1.81,-0.72,-3.40,0.0,0.0,0.0,0,5000,0.63,-3.75
2160,-2.24,-0.85,-3.89,0.0,0.0,0.0,0,5000,-1.69,-5.36
2181,-1.84,-1.00,-7.05,0.0,0.0,0.0,0,5004,-1.24,-4.87
2201,-2.08,-1.26,-13.86,0.0,0.0,0.0,0,5000,-0.35,-2.71
2222,-2.84,-1.67,-18.26,0.0,0.0,0.0,0,5000,1.63,1.45
2242,-2.69,-2.07,-18.12,0.0,0.0,0.0,0,5004,0.29,4.24
2263,-5.10,-2.53,-18.16,0.0,0.0,0.0,0,5000,-2.08,5.38
2283,-4.65,-2.98,-15.70,0.0,0.0,0.0,0,5000,1.35,2.08
2304,-4.31,-3.32,-11.88,0.0,0.0,0.0,0,5000,6.89,-2.16
2324,-5.18,-3.65,-13.98,0.0,0.0,0.0,0,5000,7.97,-2.96
