# trial: trial_041.csv
# date: 2026-08-01T21:40:10
# note: shake test part 2: handling/jostling/wire flex
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1854,6.82,9.03,29.72,0.0,0.0,0.0,0,5000,8.58,-30.35
1874,5.49,9.60,27.86,0.0,0.0,0.0,0,5000,-18.08,-25.17
1895,6.33,10.11,25.58,0.0,0.0,0.0,0,5000,-49.51,-26.89
1915,11.34,10.76,37.67,0.0,0.0,0.0,0,5000,-90.36,-30.53
1937,16.36,11.81,55.79,0.0,0.0,0.0,0,5000,-137.12,-20.75
1957,16.28,13.30,73.69,0.0,0.0,0.0,0,5008,-159.97,-19.89
1978,7.98,14.83,75.78,0.0,0.0,0.0,0,5000,-152.94,-19.22
1998,4.74,15.86,52.32,0.0,0.0,0.0,0,5004,-161.78,-12.33
2020,-2.77,16.45,38.59,0.0,0.0,0.0,0,5004,-174.85,-3.02
2040,11.22,16.30,-5.81,0.0,0.0,0.0,0,5004,-197.55,8.23
2061,20.53,16.12,-11.96,0.0,0.0,0.0,0,5004,-224.26,17.45
2081,23.46,16.04,-16.12,0.0,0.0,0.0,0,5004,-221.89,10.11
2102,19.27,15.89,-10.72,0.0,0.0,0.0,0,5004,-181.78,-11.64
2123,10.30,15.87,11.92,0.0,0.0,0.0,0,5004,-130.62,-8.26
2144,1.92,15.83,15.70,0.0,0.0,0.0,0,5004,-80.15,15.98
2164,-0.69,14.95,-33.35,0.0,0.0,0.0,0,5000,-31.98,26.17
2185,3.41,13.14,-77.88,0.0,0.0,0.0,0,5000,15.06,35.47
2205,1.56,10.81,-102.77,0.0,0.0,0.0,0,5004,68.28,38.93
2227,-1.47,7.80,-135.36,0.0,0.0,0.0,0,5004,118.43,43.76
2247,-3.14,4.32,-154.18,0.0,0.0,0.0,0,5000,146.58,52.89
2268,-9.51,0.59,-155.83,0.0,0.0,0.0,0,5004,152.32,73.24
2288,-10.94,-3.24,-168.53,0.0,0.0,0.0,0,5000,175.09,84.55
2310,-10.39,-7.21,-179.21,0.0,0.0,0.0,0,5004,201.73,83.12
2330,-10.21,-10.97,-172.89,0.0,0.0,0.0,0,5000,206.69,76.34
