# trial: trial_042.csv
# date: 2026-08-01T21:50:51
# note: shake test part 3: after wire reconnect/swap
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1870,-9.45,-10.56,4.10,0.0,0.0,0.0,0,5000,-3.71,-14.19
1891,-9.96,-10.49,3.22,0.0,0.0,0.0,0,5004,-11.58,-16.63
1911,-11.72,-10.40,6.11,0.0,0.0,0.0,0,5004,-10.42,-12.76
1932,-12.63,-10.13,17.75,0.0,0.0,0.0,0,5000,-7.66,-13.55
1952,-10.40,-9.68,25.85,0.0,0.0,0.0,0,5004,-11.19,-18.79
1973,-9.24,-9.19,22.36,0.0,0.0,0.0,0,5000,-14.59,-19.65
1994,-9.58,-8.79,18.04,0.0,0.0,0.0,0,5004,-13.37,-15.23
2015,-7.94,-8.44,15.78,0.0,0.0,0.0,0,5000,-12.80,-10.99
2035,-6.60,-8.12,13.58,0.0,0.0,0.0,0,5000,-11.72,-8.07
2056,-6.81,-7.84,10.70,0.0,0.0,0.0,0,5004,-9.36,-7.83
2076,-5.34,-7.59,9.87,0.0,0.0,0.0,0,5000,-10.76,-8.91
2097,-4.63,-7.30,9.85,0.0,0.0,0.0,0,5004,-20.57,-11.54
2117,-4.61,-7.06,6.24,0.0,0.0,0.0,0,5004,-27.74,-11.80
2138,-7.90,-6.98,2.49,0.0,0.0,0.0,0,5000,-24.83,-5.85
2158,-7.77,-7.00,-0.04,0.0,0.0,0.0,0,5000,-11.64,-2.12
2179,-6.76,-7.05,-4.30,0.0,0.0,0.0,0,5004,-2.26,-2.87
2199,-6.94,-7.23,-11.25,0.0,0.0,0.0,0,5004,3.26,-2.47
2220,-7.03,-7.45,-11.05,0.0,0.0,0.0,0,5004,3.32,-6.26
2240,-8.46,-7.67,-10.68,0.0,0.0,0.0,0,5004,-0.49,-2.83
2260,-7.79,-7.83,-4.83,0.0,0.0,0.0,0,5004,-1.67,-1.30
2281,-7.49,-7.89,-5.26,0.0,0.0,0.0,0,5004,1.96,-5.67
2301,-7.67,-8.04,-11.43,0.0,0.0,0.0,0,5000,14.84,-5.36
2322,-9.41,-8.37,-19.45,0.0,0.0,0.0,0,5000,24.50,-7.46
2343,-11.65,-8.91,-16.25,0.0,0.0,0.0,0,5000,21.38,-7.34
2364,-9.52,-9.19,-8.21,0.0,0.0,0.0,0,5000,9.15,-8.40
2384,-10.24,-9.30,-0.53,0.0,0.0,0.0,0,5000,0.02,-11.21
2405,-10.66,-9.28,6.16,0.0,0.0,0.0,0,5004,-10.62,-14.27
2425,-10.21,-9.18,11.07,0.0,0.0,0.0,0,5000,-21.93,-14.82
2446,-11.63,-9.04,14.82,0.0,0.0,0.0,0,5000,-31.35,-11.17
2466,-10.17,-8.79,18.30,0.0,0.0,0.0,0,5004,-39.05,-8.95
