# trial: trial_043.csv
# date: 2026-08-01T21:53:54
# note: shake test part 4: confirmation pass after reconnect
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1870,62.78,-51.27,-159.09,0.0,0.0,0.0,0,5000,-4.87,-59.87
1891,58.56,-53.01,-82.67,0.0,0.0,0.0,0,5004,4.99,47.98
1911,29.24,-53.08,-27.70,0.0,0.0,0.0,0,5000,-32.57,62.47
1932,-8.86,-53.20,-19.59,0.0,0.0,0.0,0,5000,-61.03,78.96
1953,-42.68,-52.33,56.85,0.0,0.0,0.0,0,5000,-45.94,61.37
1974,-57.17,-50.29,111.07,0.0,0.0,0.0,0,5000,-0.59,-0.88
1994,-43.70,-47.59,131.53,0.0,0.0,0.0,0,5004,27.76,-48.96
2015,-38.52,-45.77,25.93,0.0,0.0,0.0,0,5004,39.26,-126.11
2035,37.89,-45.80,-126.31,0.0,0.0,0.0,0,5004,-13.23,-111.80
2057,66.35,-46.32,-143.99,0.0,0.0,0.0,0,5000,-46.88,-10.29
2077,62.80,-44.91,-66.84,0.0,0.0,0.0,0,5000,-36.87,65.90
2098,-39.35,-44.68,-87.65,0.0,0.0,0.0,0,5004,-61.43,100.06
2119,-49.06,-46.58,-68.98,0.0,0.0,0.0,0,5004,-47.21,65.80
2140,-29.21,-45.48,89.87,0.0,0.0,0.0,0,5000,9.66,19.59
2160,-41.20,-41.94,176.97,0.0,0.0,0.0,0,5000,34.12,-39.20
2181,-23.15,-37.97,144.92,0.0,0.0,0.0,0,5000,39.09,-116.08
2202,30.54,-35.51,1.77,0.0,0.0,0.0,0,5004,16.31,-89.26
2223,62.31,-33.27,-105.20,0.0,0.0,0.0,0,5000,-14.06,-13.92
2243,59.04,-30.94,-115.59,0.0,0.0,0.0,0,5004,-11.29,54.46
2264,-20.10,-30.95,-130.96,0.0,0.0,0.0,0,5000,-36.18,63.84
2285,-34.48,-32.99,-84.12,0.0,0.0,0.0,0,5004,-30.49,84.79
2306,-37.40,-32.93,49.65,0.0,0.0,0.0,0,5000,-4.22,41.91
2326,-41.24,-30.52,160.52,0.0,0.0,0.0,0,5000,21.57,-19.43
2347,-21.52,-26.80,178.50,0.0,0.0,0.0,0,5004,31.45,-107.79
2368,21.71,-24.48,3.12,0.0,0.0,0.0,0,5004,3.32,-89.42
2388,61.64,-21.27,-100.37,0.0,0.0,0.0,0,5000,-14.31,-39.73
2409,57.58,-18.17,-107.81,0.0,0.0,0.0,0,5000,-21.46,31.63
2429,-17.08,-18.49,-157.70,0.0,0.0,0.0,0,5000,-43.84,100.06
2451,-29.07,-20.61,-59.66,0.0,0.0,0.0,0,5004,-37.53,62.19
2471,-48.41,-20.81,73.07,0.0,0.0,0.0,0,5000,-1.53,31.92
2492,-44.29,-19.65,134.69,0.0,0.0,0.0,0,5000,29.56,3.69
2512,-20.09,-17.03,146.37,0.0,0.0,0.0,0,5004,45.13,-100.06
2533,16.32,-15.55,-22.38,0.0,0.0,0.0,0,5000,7.52,-98.02
2554,61.81,-12.42,-123.05,0.0,0.0,0.0,0,5004,-15.90,-41.91
2575,60.83,-9.36,-134.22,0.0,0.0,0.0,0,5004,-24.62,50.98
2595,-5.33,-9.33,-146.66,0.0,0.0,0.0,0,5000,-47.96,110.91
2616,-38.39,-11.45,-61.72,0.0,0.0,0.0,0,5004,-32.65,98.51
2637,-44.98,-12.82,53.40,0.0,0.0,0.0,0,5000,7.48,33.80
2658,-36.18,-11.82,145.31,0.0,0.0,0.0,0,5004,32.61,-23.13
2678,-13.52,-9.18,169.20,0.0,0.0,0.0,0,5000,22.77,-90.58
2699,9.65,-6.45,26.50,0.0,0.0,0.0,0,5000,17.90,-86.85
2719,61.66,-3.14,-66.73,0.0,0.0,0.0,0,5000,-17.04,-42.15
2741,48.28,-0.48,-133.45,0.0,0.0,0.0,0,5004,-32.47,53.77
2761,-22.26,-2.22,-181.15,0.0,0.0,0.0,0,5004,-57.60,99.76
2782,-29.25,-5.55,-50.10,0.0,0.0,0.0,0,5000,-28.37,44.92
2802,-42.50,-5.79,106.75,0.0,0.0,0.0,0,5004,12.13,6.64
2823,-40.36,-4.86,160.09,0.0,0.0,0.0,0,5000,38.71,1.94
2844,-15.08,-2.74,163.51,0.0,0.0,0.0,0,5004,39.54,-99.02
2865,16.43,-0.94,-5.63,0.0,0.0,0.0,0,5004,1.12,-100.14
2885,68.43,2.48,-90.22,0.0,0.0,0.0,0,5000,-30.90,-51.06
2906,52.34,5.33,-135.41,0.0,0.0,0.0,0,5004,-35.57,51.28
2926,-11.17,3.60,-173.22,0.0,0.0,0.0,0,5004,-55.89,105.87
2948,-19.18,0.36,-54.69,0.0,0.0,0.0,0,5000,-32.88,68.02
2968,-41.54,-1.42,56.34,0.0,0.0,0.0,0,5004,15.92,42.64
2989,-34.92,-1.17,151.37,0.0,0.0,0.0,0,5004,36.87,-19.77
3009,-20.06,0.17,159.25,0.0,0.0,0.0,0,5000,35.36,-96.70
3030,15.57,2.75,41.13,0.0,0.0,0.0,0,5000,18.34,-68.26
3050,56.66,5.59,-63.49,0.0,0.0,0.0,0,5004,-21.02,-31.88
3072,42.80,7.68,-125.89,0.0,0.0,0.0,0,5004,-27.48,40.32
3092,11.57,7.15,-126.38,0.0,0.0,0.0,0,5000,-51.55,88.83
3112,-30.09,3.88,-44.62,0.0,0.0,0.0,0,5004,-34.14,50.12
3133,-42.55,0.95,35.81,0.0,0.0,0.0,0,5000,-1.30,53.04
3153,-35.39,0.93,165.76,0.0,0.0,0.0,0,5004,27.44,-10.68
3175,-21.13,2.22,182.67,0.0,0.0,0.0,0,5000,40.83,-111.05
3195,10.55,5.12,72.67,0.0,0.0,0.0,0,5000,29.90,-97.82
3216,60.22,8.00,-35.02,0.0,0.0,0.0,0,5004,-23.26,-62.05
3236,68.07,11.45,-116.45,0.0,0.0,0.0,0,5000,-21.30,10.13
3257,33.34,11.39,-187.97,0.0,0.0,0.0,0,5004,-57.52,104.91
