# trial: trial_044.csv
# date: 2026-08-01T21:55:23
# note: P2 trial 12: trim 6.0, healthy sensor, hold-back arming
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1875,10.10,10.18,-0.24,0.0,0.0,0.0,0,5004,-0.02,-0.08
1896,9.94,10.18,0.08,0.0,0.0,0.0,0,5000,-0.06,0.06
1916,10.03,10.18,-0.02,0.0,0.0,0.0,0,5004,-0.04,0.04
1937,10.10,10.18,-0.02,0.0,0.0,0.0,0,5000,-0.08,-0.04
1957,9.90,10.17,-0.16,0.0,0.0,0.0,0,5004,-0.02,-0.10
1978,10.29,10.17,-0.14,0.0,0.0,0.0,0,5004,-0.02,-0.02
1998,9.98,10.17,-0.02,0.0,0.0,0.0,0,5000,0.04,0.02
2019,10.14,10.17,-0.04,0.0,0.0,0.0,0,5000,-0.08,0.08
2039,10.17,10.17,-0.02,0.0,0.0,0.0,0,5004,0.06,0.00
2060,10.02,10.16,-0.06,0.0,0.0,0.0,0,5000,-0.02,0.06
2080,9.99,10.16,-0.04,0.0,0.0,0.0,0,5000,-0.02,0.02
2101,10.09,10.15,-0.10,0.0,0.0,0.0,0,5000,-0.04,-0.04
2121,10.09,10.15,-0.04,0.0,0.0,0.0,0,5004,0.02,0.04
2142,10.17,10.15,-0.02,0.0,0.0,0.0,0,5000,0.02,0.04
2162,10.17,10.15,0.08,0.0,0.0,0.0,0,5000,-0.06,0.00
2183,9.97,10.15,0.14,0.0,0.0,0.0,0,5000,0.02,0.10
2203,9.96,10.15,0.04,0.0,0.0,0.0,0,5004,-0.08,-0.02
2224,10.42,10.15,-0.08,0.0,0.0,0.0,0,5004,-0.02,0.04
2244,10.13,10.14,-0.24,0.0,0.0,0.0,0,5004,0.00,-0.02
2265,10.20,10.14,-0.08,0.0,0.0,0.0,0,5000,0.02,-0.08
2285,10.04,10.14,0.06,0.0,0.0,0.0,0,5000,0.12,-0.08
2306,10.17,10.13,-0.06,0.0,0.0,0.0,0,5004,0.00,-0.06
2326,10.05,10.13,-0.22,0.0,0.0,0.0,0,5004,-0.04,0.00
2347,10.25,10.12,-0.16,0.0,0.0,0.0,0,5004,-0.04,0.02
2367,10.16,10.11,0.00,0.0,0.0,0.0,0,5000,0.06,-0.06
2387,10.16,10.11,0.06,0.0,0.0,0.0,0,5000,-0.02,-0.02
2408,10.10,10.11,-0.14,0.0,0.0,0.0,0,5000,0.04,-0.12
2428,9.90,10.11,-0.29,0.0,0.0,0.0,0,5004,-0.10,-0.12
2449,9.88,10.10,-0.18,0.0,0.0,0.0,0,5000,-0.06,0.00
2469,10.03,10.09,0.00,0.0,0.0,0.0,0,5000,0.00,0.02
2490,10.18,10.09,0.20,0.0,0.0,0.0,0,5004,0.02,0.04
2510,10.05,10.09,-0.12,0.0,0.0,0.0,0,5004,-0.02,0.04
2531,10.05,10.08,-0.02,0.0,0.0,0.0,0,5000,-0.06,-0.06
2551,10.11,10.08,0.02,0.0,0.0,0.0,0,5004,0.00,0.08
2572,9.92,10.09,-0.04,0.0,0.0,0.0,0,5000,0.02,0.06
2592,10.25,10.09,-0.08,0.0,0.0,0.0,0,5004,-0.06,-0.06
2613,10.23,10.09,-0.20,0.0,0.0,0.0,0,5000,0.04,-0.02
2633,9.91,10.08,0.02,0.0,0.0,0.0,0,5004,-0.04,-0.16
2654,9.91,10.07,0.06,0.0,0.0,0.0,0,5000,-0.08,0.04
2674,10.30,10.07,0.29,0.0,0.0,0.0,0,5000,0.08,0.10
2695,10.14,10.07,0.18,0.0,0.0,0.0,0,5004,-0.02,0.06
2715,9.93,10.07,0.22,0.0,0.0,0.0,0,5000,0.00,-0.06
2736,9.97,10.07,0.22,0.0,0.0,0.0,0,5004,0.04,0.14
2756,10.04,10.07,0.24,0.0,0.0,0.0,0,5004,0.06,0.14
2777,10.32,10.09,0.02,0.0,0.0,0.0,0,5000,0.08,0.06
2797,10.26,10.09,-0.26,0.0,0.0,0.0,0,5004,-0.06,-0.04
2819,10.07,10.09,0.16,0.0,0.0,0.0,0,5004,-0.04,0.18
2839,9.96,10.09,1.06,0.0,0.0,0.0,0,5004,-0.04,0.35
2860,10.35,10.12,1.06,0.0,0.0,0.0,0,5004,0.29,0.71
2880,10.32,10.13,-1.02,0.0,0.0,0.0,0,5000,-0.02,-0.24
2900,10.20,10.12,-2.32,0.0,0.0,0.0,0,5000,-0.18,0.10
2921,9.68,10.06,-1.96,0.0,0.0,0.0,0,5004,-0.12,-0.02
2941,9.59,9.99,-0.31,0.0,0.0,0.0,0,5000,-0.10,0.20
2962,9.73,9.98,1.71,0.0,0.0,0.0,0,5000,0.10,0.51
2982,10.51,10.04,2.12,0.0,0.0,0.0,0,5004,0.18,0.71
3003,10.56,10.09,0.41,0.0,0.0,0.0,0,5000,0.10,0.33
3023,10.19,10.11,-0.51,0.0,0.0,0.0,0,5004,0.06,-0.04
3044,9.82,10.09,-0.10,0.0,0.0,0.0,0,5004,0.26,0.33
3064,10.32,10.09,-0.04,0.0,0.0,0.0,0,5004,0.16,0.39
3085,10.59,10.11,-1.63,0.0,0.0,0.0,0,5004,0.16,0.26
3105,10.24,10.08,-3.36,0.0,0.0,0.0,0,5000,0.04,-0.12
3126,9.63,10.00,-2.79,0.0,0.0,0.0,0,5000,0.14,0.02
3146,9.42,9.92,-0.63,0.0,0.0,0.0,0,5000,-0.04,0.16
3167,9.54,9.89,1.20,0.0,0.0,0.0,0,5004,-0.14,0.31
3187,9.99,9.92,1.88,0.0,0.0,0.0,0,5000,-0.18,0.02
3208,10.20,9.96,1.69,0.0,0.0,0.0,0,5000,-0.10,0.39
