# trial: trial_045.csv
# date: 2026-08-01T22:00:46
# note: P2 trial 13: endurance + disturbance test, 15/0.5/0.2 trim 6.0 db 23/19
# self-balancing-robot fw2 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z
1870,-6.58,-6.57,0.04,0.0,0.0,0.0,0,5004,-0.14,0.00
1890,-6.53,-6.58,0.02,0.0,0.0,0.0,0,5000,-0.08,-0.06
1910,-6.58,-6.57,0.04,0.0,0.0,0.0,0,5004,-0.10,-0.02
1931,-6.41,-6.57,0.10,0.0,0.0,0.0,0,5000,-0.08,0.18
1951,-6.47,-6.57,-0.12,0.0,0.0,0.0,0,5004,0.04,0.12
1972,-6.58,-6.57,0.16,0.0,0.0,0.0,0,5000,0.06,-0.10
1992,-6.43,-6.56,0.02,0.0,0.0,0.0,0,5004,0.00,-0.14
2013,-6.47,-6.56,0.04,0.0,0.0,0.0,0,5000,0.10,-0.06
2033,-6.66,-6.56,0.14,0.0,0.0,0.0,0,5000,0.10,-0.08
2054,-6.53,-6.56,0.08,0.0,0.0,0.0,0,5000,0.20,-0.04
2074,-6.49,-6.55,-0.14,0.0,0.0,0.0,0,5000,-0.10,0.06
2095,-6.57,-6.56,-0.12,0.0,0.0,0.0,0,5000,0.12,-0.18
2115,-6.60,-6.56,0.02,0.0,0.0,0.0,0,5000,0.16,0.02
2136,-6.48,-6.56,0.18,0.0,0.0,0.0,0,5000,0.04,0.04
2156,-6.48,-6.55,0.10,0.0,0.0,0.0,0,5000,0.04,-0.02
2177,-6.62,-6.55,0.14,0.0,0.0,0.0,0,5000,-0.06,-0.02
2197,-6.56,-6.55,0.29,0.0,0.0,0.0,0,5000,-0.12,0.02
2217,-6.80,-6.55,0.45,0.0,0.0,0.0,0,5000,-0.08,0.04
2238,-6.53,-6.54,0.37,0.0,0.0,0.0,0,5004,0.02,0.08
2258,-6.39,-6.52,0.41,0.0,0.0,0.0,0,5004,-0.06,-0.02
2279,-6.62,-6.52,0.22,0.0,0.0,0.0,0,5000,-0.02,0.08
2299,-6.44,-6.51,0.29,0.0,0.0,0.0,0,5000,0.04,0.02
2320,-6.47,-6.50,0.08,0.0,0.0,0.0,0,5000,0.02,0.02
