# trial: trial_046.csv
# date: 2026-08-01T22:25:26
# note: yaw verify: baseline then 90deg left pivot in place
# self-balancing-robot fw3 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
# vp=0.080 vi=0.040 yp=2.00 k=0.2350
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
1861,0.34,-0.08,0.45,0.0,0.0,0.0,0,5004,-0.02,-0.33,0.00,0.0,0.0,0.0,-0.0
1883,0.25,-0.09,-0.86,0.0,0.0,0.0,0,5004,-0.14,-0.12,0.00,0.0,0.0,0.0,-0.0
1904,-0.41,-0.11,-0.57,0.0,0.0,0.0,0,5000,0.02,0.12,0.00,0.0,0.0,0.0,-0.0
1926,-0.57,-0.11,0.94,0.0,0.0,0.0,0,5004,0.08,0.04,0.00,0.0,0.0,0.0,-0.0
1947,0.03,-0.08,1.02,0.0,0.0,0.0,0,5000,0.04,-0.08,0.00,0.0,0.0,0.0,-0.0
1968,0.38,-0.07,-0.18,0.0,0.0,0.0,0,5000,0.00,-0.22,0.00,0.0,0.0,0.0,-0.0
1989,-0.10,-0.08,-0.47,0.0,0.0,0.0,0,5004,-0.10,-0.04,0.00,0.0,0.0,0.0,-0.0
2011,-0.41,-0.08,0.75,0.0,0.0,0.0,0,5000,0.10,-0.18,0.00,0.0,0.0,0.0,-0.0
2032,-0.18,-0.05,1.55,0.0,0.0,0.0,0,5000,0.12,-0.16,0.00,0.0,0.0,0.0,-0.0
2054,0.45,-0.01,0.94,0.0,0.0,0.0,0,5000,0.02,-0.24,0.00,0.0,0.0,0.0,-0.0
2075,0.02,-0.00,-0.43,0.0,0.0,0.0,0,5004,-0.04,0.00,0.00,0.0,0.0,0.0,-0.0
2096,0.24,-0.02,-1.26,0.0,0.0,0.0,0,5004,-0.20,-0.10,0.00,0.0,0.0,0.0,-0.0
2117,-0.39,-0.04,-0.98,0.0,0.0,0.0,0,5000,0.02,0.08,0.00,0.0,0.0,0.0,-0.0
2139,-0.11,-0.05,-0.33,0.0,0.0,0.0,0,5000,0.04,-0.08,0.00,0.0,0.0,0.0,-0.0
2160,-0.07,-0.05,0.18,0.0,0.0,0.0,0,5000,-0.06,-0.18,0.00,0.0,0.0,0.0,-0.0
2182,0.03,-0.05,0.37,0.0,0.0,0.0,0,5000,-0.04,0.04,0.00,0.0,0.0,0.0,-0.0
2203,0.16,-0.03,0.49,0.0,0.0,0.0,0,5000,-0.02,-0.06,0.00,0.0,0.0,0.0,-0.0
2225,0.07,-0.01,0.47,0.0,0.0,0.0,0,5000,-0.06,-0.14,0.00,0.0,0.0,0.0,-0.0
2245,-0.26,-0.01,0.57,0.0,0.0,0.0,0,5000,0.00,-0.10,0.00,0.0,0.0,0.0,-0.0
