# trial: trial_047.csv
# date: 2026-08-01T22:28:01
# note: yaw scale cal: 180deg left pivot
# self-balancing-robot fw3 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
# vp=0.080 vi=0.040 yp=2.00 k=0.2350
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
1861,3.89,-0.22,-22.34,0.0,0.0,0.0,0,5004,0.45,36.51,0.00,0.0,0.0,0.0,0.7
1883,1.58,-0.67,-21.97,0.0,0.0,0.0,0,5004,0.77,35.89,0.00,0.0,0.0,0.0,1.5
1904,4.02,-1.12,-22.26,0.0,0.0,0.0,0,5004,0.00,39.46,0.00,0.0,0.0,0.0,2.3
1926,2.47,-1.57,-21.95,0.0,0.0,0.0,0,5000,-0.82,37.95,0.00,0.0,0.0,0.0,3.2
1947,1.24,-1.98,-21.52,0.0,0.0,0.0,0,5004,-0.82,32.63,0.00,0.0,0.0,0.0,3.9
1969,-0.97,-2.45,-22.93,0.0,0.0,0.0,0,5000,-0.67,36.12,0.00,0.0,0.0,0.0,4.6
1990,0.71,-2.99,-26.70,0.0,0.0,0.0,0,5000,-0.73,36.81,0.00,0.0,0.0,0.0,5.4
2012,3.89,-3.30,-15.78,0.0,0.0,0.0,0,5004,-1.92,33.41,0.00,0.0,0.0,0.0,6.2
2033,1.31,-3.29,0.06,0.0,0.0,0.0,0,5000,-1.85,32.10,0.00,0.0,0.0,0.0,6.9
2055,-0.59,-3.03,8.81,0.0,0.0,0.0,0,5004,-1.37,35.02,0.00,0.0,0.0,0.0,7.6
2076,1.32,-2.63,15.08,0.0,0.0,0.0,0,5000,-0.45,36.91,0.00,0.0,0.0,0.0,8.4
2098,-0.51,-2.14,17.55,0.0,0.0,0.0,0,5004,0.57,40.44,0.00,0.0,0.0,0.0,9.3
2119,-1.34,-1.77,14.84,0.0,0.0,0.0,0,5000,0.02,38.67,0.00,0.0,0.0,0.0,10.1
2141,0.77,-1.44,12.13,0.0,0.0,0.0,0,5004,-0.06,35.47,0.00,0.0,0.0,0.0,10.9
2162,0.35,-1.08,12.68,0.0,0.0,0.0,0,5000,0.33,36.40,0.00,0.0,0.0,0.0,11.7
2184,2.11,-0.72,14.21,0.0,0.0,0.0,0,5000,1.20,35.22,0.00,0.0,0.0,0.0,12.5
2205,3.89,-0.26,17.59,0.0,0.0,0.0,0,5000,-0.39,46.23,0.00,0.0,0.0,0.0,13.3
2227,1.79,0.29,21.89,0.0,0.0,0.0,0,5000,0.49,51.88,0.00,0.0,0.0,0.0,14.4
2248,2.48,0.83,20.00,0.0,0.0,0.0,0,5004,0.92,52.49,0.00,0.0,0.0,0.0,15.6
2270,-0.73,1.01,6.91,0.0,0.0,0.0,0,5000,-0.41,37.32,0.00,0.0,0.0,0.0,16.5
2291,-1.32,0.93,-1.77,0.0,0.0,0.0,0,5000,-0.31,16.10,0.00,0.0,0.0,0.0,17.0
2313,3.19,0.93,-7.26,0.0,0.0,0.0,0,5000,-1.30,11.25,0.00,0.0,0.0,0.0,17.3
2334,-3.55,0.58,-18.45,0.0,0.0,0.0,0,5000,1.65,19.67,0.00,0.0,0.0,0.0,17.5
2356,1.32,-0.14,-31.41,0.0,0.0,0.0,0,5004,1.24,34.83,0.00,0.0,0.0,0.0,18.3
2377,4.30,-0.32,-15.14,0.0,0.0,0.0,0,5000,-0.90,21.32,0.00,0.0,0.0,0.0,18.9
2400,0.92,-0.44,-12.82,0.0,0.0,0.0,0,5004,-0.65,20.02,0.00,0.0,0.0,0.0,19.3
