# trial: trial_048.csv
# date: 2026-08-01T22:29:29
# note: yaw scale cal: 180deg right pivot (tiebreak)
# self-balancing-robot fw3 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
# vp=0.080 vi=0.040 yp=2.00 k=0.2350
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
1861,8.91,8.52,21.38,0.0,0.0,0.0,0,5004,-1.65,-37.16,0.00,0.0,0.0,0.0,-0.7
1883,6.90,8.99,21.20,0.0,0.0,0.0,0,5000,-0.65,-36.98,0.00,0.0,0.0,0.0,-1.5
1904,6.51,9.32,13.05,0.0,0.0,0.0,0,5000,-0.55,-28.37,0.00,0.0,0.0,0.0,-2.2
1926,9.25,9.54,10.15,0.0,0.0,0.0,0,5000,-2.94,-28.27,0.00,0.0,0.0,0.0,-2.8
1947,8.06,9.82,16.23,0.0,0.0,0.0,0,5000,-3.61,-30.90,0.00,0.0,0.0,0.0,-3.4
1969,7.42,10.12,14.11,0.0,0.0,0.0,0,5000,-2.24,-25.91,0.00,0.0,0.0,0.0,-4.0
1990,9.06,10.28,6.75,0.0,0.0,0.0,0,5000,-2.36,-21.34,0.00,0.0,0.0,0.0,-4.5
2012,10.72,10.41,6.22,0.0,0.0,0.0,0,5004,-2.16,-24.30,0.00,0.0,0.0,0.0,-5.0
2033,10.35,10.56,7.13,0.0,0.0,0.0,0,5000,-2.32,-24.93,0.00,0.0,0.0,0.0,-5.6
2055,9.99,10.69,4.99,0.0,0.0,0.0,0,5000,-2.02,-23.38,0.00,0.0,0.0,0.0,-6.1
2076,8.19,10.67,-0.53,0.0,0.0,0.0,0,5004,-1.65,-20.26,0.00,0.0,0.0,0.0,-6.5
2099,8.94,10.55,-3.77,0.0,0.0,0.0,0,5004,-1.00,-17.55,0.00,0.0,0.0,0.0,-6.9
2120,7.75,10.39,-6.32,0.0,0.0,0.0,0,5004,-3.12,-19.47,0.00,0.0,0.0,0.0,-7.3
2142,4.82,9.75,-27.95,0.0,0.0,0.0,0,5000,-3.24,-31.63,0.00,0.0,0.0,0.0,-7.9
2163,6.16,8.76,-50.51,0.0,0.0,0.0,0,5000,-1.51,-45.58,0.00,0.0,0.0,0.0,-8.8
