# trial: trial_049.csv
# date: 2026-08-01T22:32:43
# note: yaw scale cal: 720deg (2 rev) left pivot vs landmark
# self-balancing-robot fw3 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal REJECTED (movement) ��� stored bias in use, run 'c' when still
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
# vp=0.080 vi=0.040 yp=2.00 k=0.2350
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
1861,-2.23,-1.81,-2.73,0.0,0.0,0.0,0,5004,-0.18,2.69,0.00,0.0,0.0,0.0,0.0
1883,-2.50,-1.85,-1.81,0.0,0.0,0.0,0,5004,-0.69,3.61,0.00,0.0,0.0,0.0,0.1
1904,-2.87,-1.89,-1.57,0.0,0.0,0.0,0,5000,-0.73,3.47,0.00,0.0,0.0,0.0,0.2
1926,-3.07,-1.95,-2.12,0.0,0.0,0.0,0,5000,-0.71,3.10,0.00,0.0,0.0,0.0,0.3
1947,-2.28,-2.00,-1.75,0.0,0.0,0.0,0,5000,-0.02,0.26,0.00,0.0,0.0,0.0,0.3
1969,-2.10,-2.03,-1.30,0.0,0.0,0.0,0,5004,0.14,0.47,0.00,0.0,0.0,0.0,0.3
1989,-2.32,-2.05,-1.08,0.0,0.0,0.0,0,5000,-0.02,0.82,0.00,0.0,0.0,0.0,0.3
2011,-2.87,-2.09,-0.67,0.0,0.0,0.0,0,5004,-0.35,1.79,0.00,0.0,0.0,0.0,0.3
2032,-3.12,-2.10,0.82,0.0,0.0,0.0,0,5004,-0.61,3.73,0.00,0.0,0.0,0.0,0.4
2054,-2.26,-2.10,0.00,0.0,0.0,0.0,0,5000,-0.39,2.12,0.00,0.0,0.0,0.0,0.5
2075,-1.90,-2.09,0.16,0.0,0.0,0.0,0,5004,0.18,0.96,0.00,0.0,0.0,0.0,0.5
2097,-2.17,-2.11,-0.84,0.0,0.0,0.0,0,5000,-0.06,0.86,0.00,0.0,0.0,0.0,0.5
2118,-2.44,-2.13,-0.77,0.0,0.0,0.0,0,5000,-0.16,1.28,0.00,0.0,0.0,0.0,0.5
2140,-2.38,-2.16,-1.22,0.0,0.0,0.0,0,5000,-0.33,1.45,0.00,0.0,0.0,0.0,0.6
2161,-3.12,-2.22,-1.35,0.0,0.0,0.0,0,5004,-0.51,2.75,0.00,0.0,0.0,0.0,0.6
2183,-2.84,-2.26,-0.63,0.0,0.0,0.0,0,5000,-0.24,1.83,0.00,0.0,0.0,0.0,0.7
2204,-2.26,-2.28,-0.53,0.0,0.0,0.0,0,5004,0.10,0.31,0.00,0.0,0.0,0.0,0.7
2226,-2.22,-2.29,-1.04,0.0,0.0,0.0,0,5004,-0.02,0.84,0.00,0.0,0.0,0.0,0.7
2246,-2.63,-2.33,-1.43,0.0,0.0,0.0,0,5004,0.04,0.47,0.00,0.0,0.0,0.0,0.7
2268,-2.64,-2.37,-1.47,0.0,0.0,0.0,0,5004,-0.18,0.82,0.00,0.0,0.0,0.0,0.7
2289,-2.96,-2.41,-0.31,0.0,0.0,0.0,0,5004,-0.49,0.65,0.00,0.0,0.0,0.0,0.7
2311,-2.78,-2.44,0.00,0.0,0.0,0.0,0,5004,0.02,0.57,0.00,0.0,0.0,0.0,0.7
2332,-3.13,-2.46,0.82,0.0,0.0,0.0,0,5000,-0.02,1.26,0.00,0.0,0.0,0.0,0.8
2354,-2.80,-2.45,2.28,0.0,0.0,0.0,0,5000,-0.08,1.65,0.00,0.0,0.0,0.0,0.8
2375,-2.51,-2.40,3.04,0.0,0.0,0.0,0,5000,0.02,1.04,0.00,0.0,0.0,0.0,0.8
2397,-1.68,-2.33,2.20,0.0,0.0,0.0,0,5004,0.26,0.94,0.00,0.0,0.0,0.0,0.8
2418,-2.58,-2.28,2.63,0.0,0.0,0.0,0,5000,0.04,0.79,0.00,0.0,0.0,0.0,0.9
2440,-2.23,-2.22,3.55,0.0,0.0,0.0,0,5000,-0.06,1.96,0.00,0.0,0.0,0.0,0.9
2460,-3.39,-2.18,4.40,0.0,0.0,0.0,0,5004,-0.08,3.63,0.00,0.0,0.0,0.0,1.0
2482,-1.02,-2.07,2.24,0.0,0.0,0.0,0,5000,-0.29,4.06,0.00,0.0,0.0,0.0,1.0
2503,-2.13,-2.05,0.14,0.0,0.0,0.0,0,5000,-0.31,2.87,0.00,0.0,0.0,0.0,1.1
2525,-3.21,-2.10,-3.02,0.0,0.0,0.0,0,5004,1.12,1.94,0.00,0.0,0.0,0.0,1.2
2546,-1.48,-2.14,-2.41,0.0,0.0,0.0,0,5004,-0.29,1.30,0.00,0.0,0.0,0.0,1.2
2568,-3.10,-2.20,-1.57,0.0,0.0,0.0,0,5000,-0.06,-0.02,0.00,0.0,0.0,0.0,1.2
2589,-2.57,-2.23,-1.14,0.0,0.0,0.0,0,5000,0.10,0.55,0.00,0.0,0.0,0.0,1.2
2611,-8.12,-2.64,-16.65,0.0,0.0,0.0,0,5004,-2.24,11.94,0.00,0.0,0.0,0.0,1.3
2632,-3.91,-2.98,-14.76,0.0,0.0,0.0,0,5004,-2.83,22.34,0.00,0.0,0.0,0.0,1.7
2654,-3.79,-3.33,-13.78,0.0,0.0,0.0,0,5000,-1.81,24.22,0.00,0.0,0.0,0.0,2.2
2675,-3.46,-3.59,-10.09,0.0,0.0,0.0,0,5000,-2.26,24.26,0.00,0.0,0.0,0.0,2.8
2697,-3.53,-3.70,-3.95,0.0,0.0,0.0,0,5000,-0.26,18.90,0.00,0.0,0.0,0.0,3.2
2718,-2.75,-3.78,-2.49,0.0,0.0,0.0,0,5000,-0.57,16.37,0.00,0.0,0.0,0.0,3.6
2740,-0.25,-3.58,3.77,0.0,0.0,0.0,0,5004,-0.55,7.38,0.00,0.0,0.0,0.0,3.9
2761,-3.49,-3.38,5.30,0.0,0.0,0.0,0,5004,0.39,-0.79,0.00,0.0,0.0,0.0,3.9
2783,-3.17,-3.28,3.65,0.0,0.0,0.0,0,5000,0.20,-1.30,0.00,0.0,0.0,0.0,3.9
2804,-3.43,-3.23,2.45,0.0,0.0,0.0,0,5004,0.04,-0.20,0.00,0.0,0.0,0.0,3.8
2826,-3.23,-3.19,3.02,0.0,0.0,0.0,0,5000,0.22,0.29,0.00,0.0,0.0,0.0,3.9
2846,-2.65,-3.11,3.14,0.0,0.0,0.0,0,5004,0.00,0.82,0.00,0.0,0.0,0.0,3.9
