# trial: trial_052.csv
# date: 2026-08-01T22:43:28
# note: P3 trial 2: g 80 mission, kvScale 0.235 uncalibrated
# self-balancing-robot fw3 ��� motors DISARMED at boot
# EEPROM settings loaded
# gyro cal: keep robot still...
# gyro cal done ('c' to redo)
# saved to EEPROM
# 'h' for help, 'a' to arm, 'x' = E-STOP
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=23/19
# vp=0.080 vi=0.040 yp=2.00 k=0.2350
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
1867,1.02,0.86,-0.02,0.0,0.0,0.0,0,5000,0.04,0.00,0.00,0.0,0.0,0.0,-0.0
1889,1.15,0.86,0.04,0.0,0.0,0.0,0,5000,-0.04,-0.08,0.00,0.0,0.0,0.0,-0.0
1910,1.16,0.86,-0.02,0.0,0.0,0.0,0,5000,-0.04,-0.06,0.00,0.0,0.0,0.0,-0.0
1932,0.93,0.87,0.06,0.0,0.0,0.0,0,5004,-0.04,-0.10,0.00,0.0,0.0,0.0,-0.0
1952,1.04,0.87,0.00,0.0,0.0,0.0,0,5004,-0.04,-0.04,0.00,0.0,0.0,0.0,-0.0
1974,0.96,0.87,0.00,0.0,0.0,0.0,0,5004,0.04,0.00,0.00,0.0,0.0,0.0,-0.0
1995,0.91,0.87,0.06,0.0,0.0,0.0,0,5004,-0.02,0.04,0.00,0.0,0.0,0.0,-0.0
2017,0.94,0.87,-0.08,0.0,0.0,0.0,0,5000,-0.16,0.08,0.00,0.0,0.0,0.0,-0.0
2038,0.86,0.88,0.06,0.0,0.0,0.0,0,5004,0.02,0.02,0.00,0.0,0.0,0.0,-0.0
2060,0.91,0.88,-0.02,0.0,0.0,0.0,0,5004,-0.04,-0.02,0.00,0.0,0.0,0.0,-0.0
2080,0.93,0.88,0.06,0.0,0.0,0.0,0,5000,0.00,0.06,0.00,0.0,0.0,0.0,-0.0
2102,0.97,0.89,0.00,0.0,0.0,0.0,0,5004,-0.04,0.04,0.00,0.0,0.0,0.0,-0.0
2123,1.00,0.89,0.12,0.0,0.0,0.0,0,5000,-0.06,0.02,0.00,0.0,0.0,0.0,-0.0
2145,0.96,0.89,-0.04,0.0,0.0,0.0,0,5004,-0.10,0.00,0.00,0.0,0.0,0.0,-0.0
2166,0.96,0.90,-0.02,0.0,0.0,0.0,0,5004,0.00,0.00,0.00,0.0,0.0,0.0,-0.0
2188,0.96,0.91,0.02,0.0,0.0,0.0,0,5000,-0.04,-0.02,0.00,0.0,0.0,0.0,-0.0
2208,0.97,0.91,0.04,0.0,0.0,0.0,0,5000,-0.06,-0.02,0.00,0.0,0.0,0.0,-0.0
2230,0.95,0.92,0.06,0.0,0.0,0.0,0,5000,-0.06,-0.10,0.00,0.0,0.0,0.0,-0.0
2251,0.93,0.92,0.00,0.0,0.0,0.0,0,5000,0.00,0.02,0.00,0.0,0.0,0.0,-0.0
2273,0.98,0.92,-0.04,0.0,0.0,0.0,0,5004,-0.04,0.02,0.00,0.0,0.0,0.0,-0.0
2294,1.05,0.92,0.08,0.0,0.0,0.0,0,5004,0.00,0.00,0.00,0.0,0.0,0.0,-0.0
2315,1.05,0.93,-0.04,0.0,0.0,0.0,0,5000,0.02,-0.04,0.00,0.0,0.0,0.0,-0.0
2336,0.77,0.93,0.00,0.0,0.0,0.0,0,5004,-0.06,-0.08,0.00,0.0,0.0,0.0,-0.0
2358,0.98,0.93,0.02,0.0,0.0,0.0,0,5004,-0.06,0.00,0.00,0.0,0.0,0.0,-0.0
2379,1.07,0.93,0.02,0.0,0.0,0.0,0,5004,0.00,0.02,0.00,0.0,0.0,0.0,-0.0
2401,1.03,0.94,-0.06,0.0,0.0,0.0,0,5004,-0.06,-0.04,0.00,0.0,0.0,0.0,-0.0
2422,0.79,0.94,0.10,0.0,0.0,0.0,0,5004,0.10,-0.08,0.00,0.0,0.0,0.0,-0.0
2443,0.95,0.94,-0.08,0.0,0.0,0.0,0,5000,-0.04,-0.04,0.00,0.0,0.0,0.0,-0.0
# ARMING: hold upright ~2 s
2465,0.99,0.94,-0.04,0.0,0.0,0.0,0,5000,-0.02,-0.08,0.00,0.0,0.0,0.0,-0.0
2486,1.15,0.94,-0.04,0.0,0.0,0.0,0,5000,-0.04,0.04,0.00,0.0,0.0,0.0,-0.0
2507,0.92,0.95,-0.02,0.0,0.0,0.0,0,5004,0.12,-0.04,0.00,0.0,0.0,0.0,-0.0
2529,0.84,0.95,-0.02,0.0,0.0,0.0,0,5000,-0.02,0.04,0.00,0.0,0.0,0.0,-0.0
2550,0.97,0.95,0.02,0.0,0.0,0.0,0,5000,-0.04,-0.12,0.00,0.0,0.0,0.0,-0.0
2572,0.90,0.94,-0.02,0.0,0.0,0.0,0,5008,-0.10,-0.06,0.00,0.0,0.0,0.0,-0.0
2593,0.95,0.94,0.02,0.0,0.0,0.0,0,5000,0.04,0.02,0.00,0.0,0.0,0.0,-0.0
2615,1.09,0.95,0.04,0.0,0.0,0.0,0,5004,-0.04,0.00,0.00,0.0,0.0,0.0,-0.0
2635,0.96,0.95,0.00,0.0,0.0,0.0,0,5000,0.00,0.02,0.00,0.0,0.0,0.0,-0.0
2657,1.12,0.96,0.04,0.0,0.0,0.0,0,5000,0.02,0.04,0.00,0.0,0.0,0.0,-0.0
2678,1.02,0.97,0.08,0.0,0.0,0.0,0,5004,0.06,0.00,0.00,0.0,0.0,0.0,-0.0
