# trial: trial_053.csv
# note: P3 trial 3: g 80 reactive, kvScale 0.235
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
2482,7.08,6.62,-2.85,0.0,0.0,0.0,0,5000,0.16,-0.47,0.00,0.0,0.0,0.0,-0.0
2503,6.50,6.54,-3.53,0.0,0.0,0.0,0,5000,0.10,-0.39,0.00,0.0,0.0,0.0,-0.0
2525,5.95,6.46,-2.67,0.0,0.0,0.0,0,5004,0.02,-0.08,0.00,0.0,0.0,0.0,-0.0
2546,6.10,6.39,-1.61,0.0,0.0,0.0,0,5004,-0.06,0.16,0.00,0.0,0.0,0.0,-0.0
2567,6.03,6.35,-0.90,0.0,0.0,0.0,0,5004,0.02,0.16,0.00,0.0,0.0,0.0,-0.0
2588,6.00,6.33,-0.31,0.0,0.0,0.0,0,5004,0.14,0.24,0.00,0.0,0.0,0.0,-0.0
2610,6.34,6.31,-0.65,0.0,0.0,0.0,0,5000,-0.10,0.02,0.00,0.0,0.0,0.0,-0.0
2631,6.73,6.32,-1.61,0.0,0.0,0.0,0,5000,0.08,-0.39,0.00,0.0,0.0,0.0,-0.0
2653,5.78,6.28,-1.06,0.0,0.0,0.0,0,5004,0.41,-1.06,0.00,0.0,0.0,0.0,-0.0
2674,5.04,6.22,2.30,0.0,0.0,0.0,0,5000,0.16,-0.29,0.00,0.0,0.0,0.0,-0.1
2696,5.99,6.26,5.03,0.0,0.0,0.0,0,5004,0.06,0.71,0.00,0.0,0.0,0.0,-0.0
2716,6.94,6.40,4.63,0.0,0.0,0.0,0,5004,0.35,-0.67,0.00,0.0,0.0,0.0,-0.0
2738,6.96,6.51,2.96,0.0,0.0,0.0,0,5000,0.39,-0.55,0.00,0.0,0.0,0.0,-0.1
2759,6.79,6.56,1.47,0.0,0.0,0.0,0,5004,0.06,-0.55,0.00,0.0,0.0,0.0,-0.1
# ARMING: hold upright ~2 s
2781,7.01,6.60,-0.33,0.0,0.0,0.0,0,5000,-0.29,0.77,0.00,0.0,0.0,0.0,-0.1
2802,6.83,6.59,-1.73,0.0,0.0,0.0,0,5004,0.02,-0.82,0.00,0.0,0.0,0.0,-0.1
2824,6.08,6.53,-1.75,0.0,0.0,0.0,0,5004,-0.02,-1.04,0.00,0.0,0.0,0.0,-0.1
2845,6.50,6.48,-1.71,0.0,0.0,0.0,0,5004,-0.86,0.88,0.00,0.0,0.0,0.0,-0.1
2867,7.37,6.49,-3.79,0.0,0.0,0.0,0,5004,-0.47,0.53,0.00,0.0,0.0,0.0,-0.1
2888,7.40,6.43,-7.99,0.0,0.0,0.0,0,5004,-0.39,-0.43,0.00,0.0,0.0,0.0,-0.1
2910,6.67,6.27,-11.03,0.0,0.0,0.0,0,5000,-0.67,0.18,0.00,0.0,0.0,0.0,-0.1
2931,6.50,6.04,-12.43,0.0,0.0,0.0,0,5000,-0.33,-0.10,0.00,0.0,0.0,0.0,-0.1
2953,3.57,5.74,-8.30,0.0,0.0,0.0,0,5000,0.61,-2.24,0.00,0.0,0.0,0.0,-0.1
2974,2.44,5.43,0.90,0.0,0.0,0.0,0,5000,-0.26,1.65,0.00,0.0,0.0,0.0,-0.1
