# trial: trial_054.csv
# note: P3 trial 4: g 80, gyro-D + vEst deadzone, kvScale 0.235
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
2481,14.07,14.17,0.04,0.0,0.0,0.0,0,5000,-0.08,0.06,0.00,0.0,0.0,0.0,-0.0
2502,13.94,14.16,-0.06,0.0,0.0,0.0,0,5000,0.02,-0.04,0.00,0.0,0.0,0.0,-0.0
2524,14.02,14.15,-0.04,0.0,0.0,0.0,0,5004,0.10,0.00,0.00,0.0,0.0,0.0,-0.0
2545,14.08,14.15,0.04,0.0,0.0,0.0,0,5004,0.06,-0.04,0.00,0.0,0.0,0.0,-0.0
2567,14.10,14.14,-0.02,0.0,0.0,0.0,0,5004,0.00,0.00,0.00,0.0,0.0,0.0,-0.0
2588,13.95,14.13,0.08,0.0,0.0,0.0,0,5004,-0.02,0.02,0.00,0.0,0.0,0.0,-0.0
2610,14.10,14.13,-0.02,0.0,0.0,0.0,0,5000,-0.06,-0.10,0.00,0.0,0.0,0.0,-0.0
2631,14.04,14.13,0.02,0.0,0.0,0.0,0,5000,-0.02,0.08,0.00,0.0,0.0,0.0,-0.0
2653,14.04,14.13,0.06,0.0,0.0,0.0,0,5004,-0.06,-0.06,0.00,0.0,0.0,0.0,-0.0
2674,14.22,14.12,0.02,0.0,0.0,0.0,0,5004,0.00,-0.10,0.00,0.0,0.0,0.0,-0.0
2696,14.07,14.12,-0.04,0.0,0.0,0.0,0,5004,-0.02,-0.04,0.00,0.0,0.0,0.0,-0.0
2717,14.09,14.12,-0.02,0.0,0.0,0.0,0,5000,-0.04,0.04,0.00,0.0,0.0,0.0,-0.0
2739,14.03,14.12,0.00,0.0,0.0,0.0,0,5000,-0.02,0.00,0.00,0.0,0.0,0.0,-0.0
2760,14.11,14.11,0.02,0.0,0.0,0.0,0,5000,-0.02,0.04,0.00,0.0,0.0,0.0,-0.0
# ARMING: hold upright ~2 s
2782,14.10,14.11,0.06,0.0,0.0,0.0,0,5000,-0.06,0.08,0.00,0.0,0.0,0.0,-0.0
2803,14.04,14.11,-0.06,0.0,0.0,0.0,0,5004,0.04,0.02,0.00,0.0,0.0,0.0,-0.0
2825,14.18,14.10,-0.04,0.0,0.0,0.0,0,5000,-0.02,-0.02,0.00,0.0,0.0,0.0,-0.0
2846,14.12,14.10,-0.08,0.0,0.0,0.0,0,5004,0.02,-0.02,0.00,0.0,0.0,0.0,-0.0
2868,14.43,14.11,0.00,0.0,0.0,0.0,0,5004,0.02,0.00,0.00,0.0,0.0,0.0,-0.0
