# trial: trial_056.csv
# note: P3 trial 6: g 80 redo, LED arming, mission-relative clock
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
2483,16.63,22.26,-18.67,0.0,0.0,0.0,0,5004,37.55,20.02,0.00,0.0,0.0,0.0,30.3
2504,21.61,21.64,-25.13,0.0,0.0,0.0,0,5000,29.05,17.33,0.00,0.0,0.0,0.0,30.7
2526,20.23,20.86,-38.01,0.0,0.0,0.0,0,5000,28.62,17.94,0.00,0.0,0.0,0.0,31.1
2547,17.97,19.94,-32.98,0.0,0.0,0.0,0,5004,37.34,22.60,0.00,0.0,0.0,0.0,31.5
2569,17.60,19.22,-21.08,0.0,0.0,0.0,0,5000,34.16,21.93,0.00,0.0,0.0,0.0,32.0
2591,18.49,18.75,-17.59,0.0,0.0,0.0,0,5000,22.24,17.47,0.00,0.0,0.0,0.0,32.5
2613,18.56,18.26,-21.65,0.0,0.0,0.0,0,5004,13.60,14.64,0.00,0.0,0.0,0.0,32.8
2634,22.36,17.91,-23.50,0.0,0.0,0.0,0,5004,10.74,17.24,0.00,0.0,0.0,0.0,33.1
2656,22.63,17.82,-15.61,0.0,0.0,0.0,0,5000,7.48,23.75,0.00,0.0,0.0,0.0,33.6
2677,16.83,17.61,-13.29,0.0,0.0,0.0,0,5000,3.93,23.48,0.00,0.0,0.0,0.0,34.1
2700,15.19,17.10,-14.00,0.0,0.0,0.0,0,5000,8.76,21.57,0.00,0.0,0.0,0.0,34.6
2721,12.91,16.61,-10.76,0.0,0.0,0.0,0,5004,5.79,15.59,0.00,0.0,0.0,0.0,35.0
2743,15.87,16.12,-17.00,0.0,0.0,0.0,0,5004,1.35,11.46,0.00,0.0,0.0,0.0,35.3
2764,17.90,15.89,-12.17,0.0,0.0,0.0,0,5000,1.24,11.11,0.00,0.0,0.0,0.0,35.5
# ARMING: hold upright ~2 s
2786,17.58,15.75,-13.11,0.0,0.0,0.0,0,5000,3.51,8.48,0.00,0.0,0.0,0.0,35.7
2808,14.32,15.47,-8.95,0.0,0.0,0.0,0,5000,10.64,6.95,0.00,0.0,0.0,0.0,35.9
2830,11.48,15.12,-2.85,0.0,0.0,0.0,0,5004,10.27,4.40,0.00,0.0,0.0,0.0,36.0
2851,11.87,14.68,-8.60,0.0,0.0,0.0,0,5000,2.69,1.55,0.00,0.0,0.0,0.0,36.0
2873,13.59,14.36,-7.42,0.0,0.0,0.0,0,5000,-3.63,0.26,0.00,0.0,0.0,0.0,36.1
2894,14.26,14.15,-7.58,0.0,0.0,0.0,0,5000,-2.00,-1.59,0.00,0.0,0.0,0.0,36.0
2916,12.88,13.98,-0.88,0.0,0.0,0.0,0,5000,5.63,-3.38,0.00,0.0,0.0,0.0,36.0
2937,10.86,13.83,5.26,0.0,0.0,0.0,0,5004,10.56,-5.97,0.00,0.0,0.0,0.0,35.9
2959,11.11,13.54,-3.14,0.0,0.0,0.0,0,5004,12.94,-6.54,0.00,0.0,0.0,0.0,35.7
2980,13.73,13.38,-1.06,0.0,0.0,0.0,0,5004,14.39,-3.28,0.00,0.0,0.0,0.0,35.6
3002,13.50,13.44,6.52,0.0,0.0,0.0,0,5004,14.15,-1.59,0.00,0.0,0.0,0.0,35.6
3024,10.06,13.32,0.69,0.0,0.0,0.0,0,5000,13.43,-3.42,0.00,0.0,0.0,0.0,35.5
3046,7.16,12.80,-3.85,0.0,0.0,0.0,0,5000,19.24,-9.48,0.00,0.0,0.0,0.0,35.4
3067,8.04,12.24,-3.38,0.0,0.0,0.0,0,5000,23.71,-16.08,0.00,0.0,0.0,0.0,35.1
