# trial: trial_057.csv
# note: P3 trial 7: g 80, hum-guided arming
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
2482,21.60,21.91,-13.76,0.0,0.0,0.0,0,5004,-0.71,-0.57,0.00,0.0,0.0,0.0,0.2
2503,21.89,21.65,-10.42,0.0,0.0,0.0,0,5000,-0.43,0.57,0.00,0.0,0.0,0.0,0.2
2525,22.40,21.48,-9.68,0.0,0.0,0.0,0,5004,0.24,1.14,0.00,0.0,0.0,0.0,0.2
2546,21.87,21.31,-11.35,0.0,0.0,0.0,0,5004,-0.04,0.06,0.00,0.0,0.0,0.0,0.2
2568,21.15,21.10,-10.76,0.0,0.0,0.0,0,5004,0.16,0.43,0.00,0.0,0.0,0.0,0.2
2589,20.74,20.89,-9.93,0.0,0.0,0.0,0,5000,0.02,0.51,0.00,0.0,0.0,0.0,0.2
2611,20.31,20.68,-7.97,0.0,0.0,0.0,0,5004,-0.02,-0.18,0.00,0.0,0.0,0.0,0.2
2632,20.13,20.53,-4.59,0.0,0.0,0.0,0,5000,-0.37,0.18,0.00,0.0,0.0,0.0,0.2
2654,20.33,20.46,-1.45,0.0,0.0,0.0,0,5004,-0.75,0.00,0.00,0.0,0.0,0.0,0.2
2675,21.44,20.50,-0.73,0.0,0.0,0.0,0,5000,-0.06,1.08,0.00,0.0,0.0,0.0,0.3
2697,21.81,20.53,-4.06,0.0,0.0,0.0,0,5004,0.41,1.61,0.00,0.0,0.0,0.0,0.3
2718,20.51,20.47,-5.34,0.0,0.0,0.0,0,5004,0.02,-0.39,0.00,0.0,0.0,0.0,0.3
2740,20.31,20.36,-4.14,0.0,0.0,0.0,0,5004,-0.10,-0.82,0.00,0.0,0.0,0.0,0.3
2761,20.76,20.32,-3.87,0.0,0.0,0.0,0,5000,0.37,0.96,0.00,0.0,0.0,0.0,0.3
# ARMING: hold upright ~2 s (hum = in gate)
2784,20.60,20.25,-5.26,0.0,0.0,0.0,0,5000,-0.06,-0.55,0.00,0.0,0.0,0.0,0.3
2805,20.58,20.17,-5.14,0.0,0.0,0.0,0,5004,-0.16,0.02,0.00,0.0,0.0,0.0,0.3
2827,20.46,20.08,-5.03,0.0,0.0,0.0,0,5004,-0.16,0.37,0.00,0.0,0.0,0.0,0.3
2848,21.06,20.02,-7.81,0.0,0.0,0.0,0,5000,0.10,0.90,0.00,0.0,0.0,0.0,0.3
2870,20.02,19.87,-10.72,0.0,0.0,0.0,0,5004,-0.06,-0.77,0.00,0.0,0.0,0.0,0.3
2891,19.06,19.63,-9.85,0.0,0.0,0.0,0,5004,-0.16,-1.32,0.00,0.0,0.0,0.0,0.3
2913,19.24,19.42,-8.60,0.0,0.0,0.0,0,5000,-0.29,-0.26,0.00,0.0,0.0,0.0,0.3
2934,19.69,19.27,-9.01,0.0,0.0,0.0,0,5004,-0.20,0.51,0.00,0.0,0.0,0.0,0.3
2956,19.41,19.09,-10.74,0.0,0.0,0.0,0,5004,-0.39,0.49,0.00,0.0,0.0,0.0,0.3
2977,18.98,18.87,-12.31,0.0,0.0,0.0,0,5004,-0.53,-0.04,0.00,0.0,0.0,0.0,0.3
