# trial: trial_058.csv
# note: P3 trial 8: g 80, proven PID, hum arming, kvScale 0.235
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
2483,-3.45,-3.27,5.14,0.0,0.0,0.0,0,5000,0.47,-0.39,0.00,0.0,0.0,0.0,-0.1
2504,-3.46,-3.15,6.67,0.0,0.0,0.0,0,5000,0.35,0.08,0.00,0.0,0.0,0.0,-0.1
2526,-3.09,-3.00,7.30,0.0,0.0,0.0,0,5004,0.26,-0.10,0.00,0.0,0.0,0.0,-0.1
2547,-2.99,-2.83,7.83,0.0,0.0,0.0,0,5000,0.29,-0.18,0.00,0.0,0.0,0.0,-0.1
2568,-2.64,-2.65,8.09,0.0,0.0,0.0,0,5004,0.29,-0.02,0.00,0.0,0.0,0.0,-0.1
2589,-2.66,-2.47,8.52,0.0,0.0,0.0,0,5004,0.14,0.12,0.00,0.0,0.0,0.0,-0.1
2611,-2.23,-2.29,8.70,0.0,0.0,0.0,0,5004,0.31,-0.02,0.00,0.0,0.0,0.0,-0.1
2632,-2.04,-2.10,8.89,0.0,0.0,0.0,0,5000,0.04,0.02,0.00,0.0,0.0,0.0,-0.1
2654,-1.60,-1.90,8.46,0.0,0.0,0.0,0,5004,-0.04,0.06,0.00,0.0,0.0,0.0,-0.1
2675,-1.53,-1.71,7.81,0.0,0.0,0.0,0,5000,0.35,0.26,0.00,0.0,0.0,0.0,-0.1
2697,-1.45,-1.54,7.15,0.0,0.0,0.0,0,5000,0.45,-0.20,0.00,0.0,0.0,0.0,-0.1
2718,-1.80,-1.39,7.52,0.0,0.0,0.0,0,5000,0.22,-0.41,0.00,0.0,0.0,0.0,-0.1
2740,-1.12,-1.22,8.28,0.0,0.0,0.0,0,5000,0.02,0.00,0.00,0.0,0.0,0.0,-0.1
2761,-0.48,-1.03,7.81,0.0,0.0,0.0,0,5000,0.37,0.14,0.00,0.0,0.0,0.0,-0.1
# ARMING: hold upright ~2 s (hum = in gate)
2783,-0.71,-0.84,6.89,0.0,0.0,0.0,0,5004,0.53,-0.04,0.00,0.0,0.0,0.0,-0.1
2804,-0.89,-0.70,6.36,0.0,0.0,0.0,0,5004,0.14,-0.37,0.00,0.0,0.0,0.0,-0.1
2826,-0.50,-0.56,6.42,0.0,0.0,0.0,0,5000,-0.04,-0.08,0.00,0.0,0.0,0.0,-0.1
2847,-0.32,-0.42,5.97,0.0,0.0,0.0,0,5000,0.45,-0.04,0.00,0.0,0.0,0.0,-0.1
2869,0.15,-0.26,5.12,0.0,0.0,0.0,0,5004,0.63,0.04,0.00,0.0,0.0,0.0,-0.1
2890,0.10,-0.14,4.00,0.0,0.0,0.0,0,5000,0.82,0.00,0.00,0.0,0.0,0.0,-0.1
2912,-0.61,-0.08,3.61,0.0,0.0,0.0,0,5004,0.57,-0.57,0.00,0.0,0.0,0.0,-0.1
2933,-0.88,-0.02,5.69,0.0,0.0,0.0,0,5004,0.45,-0.47,0.00,0.0,0.0,0.0,-0.1
2955,-0.62,0.08,8.76,0.0,0.0,0.0,0,5000,0.18,-0.18,0.00,0.0,0.0,0.0,-0.1
2975,0.17,0.28,10.66,0.0,0.0,0.0,0,5004,0.08,0.65,0.00,0.0,0.0,0.0,-0.1
2997,0.89,0.53,9.89,0.0,0.0,0.0,0,5004,0.12,0.49,0.00,0.0,0.0,0.0,-0.1
3018,1.48,0.77,7.30,0.0,0.0,0.0,0,5004,0.04,-0.04,0.00,0.0,0.0,0.0,-0.1
3040,1.36,0.94,4.67,0.0,0.0,0.0,0,5000,-0.35,-0.10,0.00,0.0,0.0,0.0,-0.1
3061,2.19,1.07,2.32,0.0,0.0,0.0,0,5000,-0.51,0.08,0.00,0.0,0.0,0.0,-0.1
3083,0.47,1.16,-2.00,0.0,0.0,0.0,0,5000,-0.41,-0.92,0.00,0.0,0.0,0.0,-0.1
3104,0.23,1.14,-3.97,0.0,0.0,0.0,0,5004,0.02,0.02,0.00,0.0,0.0,0.0,-0.1
3126,-0.15,1.14,-0.08,0.0,0.0,0.0,0,5004,-0.47,-3.38,0.00,0.0,0.0,0.0,-0.2
3147,1.59,0.97,-4.46,0.0,0.0,0.0,0,5000,-0.41,0.98,0.00,0.0,0.0,0.0,-0.2
3169,2.17,0.81,-5.38,0.0,0.0,0.0,0,5000,-0.16,-0.55,0.00,0.0,0.0,0.0,-0.2
3190,1.56,0.66,-7.40,0.0,0.0,0.0,0,5000,-0.41,0.31,0.00,0.0,0.0,0.0,-0.2
3212,0.48,0.48,-7.44,0.0,0.0,0.0,0,5000,-0.47,-0.08,0.00,0.0,0.0,0.0,-0.2
3233,-0.61,0.31,-5.34,0.0,0.0,0.0,0,5004,-0.02,-0.33,0.00,0.0,0.0,0.0,-0.2
3255,-1.19,0.17,-0.75,0.0,0.0,0.0,0,5000,0.12,-0.02,0.00,0.0,0.0,0.0,-0.2
3276,-0.71,0.14,3.40,0.0,0.0,0.0,0,5000,0.08,0.65,0.00,0.0,0.0,0.0,-0.2
3298,-0.09,0.22,4.95,0.0,0.0,0.0,0,5004,-0.16,0.61,0.00,0.0,0.0,0.0,-0.2
3319,0.24,0.33,4.69,0.0,0.0,0.0,0,5000,-0.10,-0.18,0.00,0.0,0.0,0.0,-0.1
3341,0.54,0.43,4.73,0.0,0.0,0.0,0,5004,-0.47,0.14,0.00,0.0,0.0,0.0,-0.2
3362,1.09,0.55,3.57,0.0,0.0,0.0,0,5000,-0.39,0.02,0.00,0.0,0.0,0.0,-0.1
3383,1.05,0.65,1.71,0.0,0.0,0.0,0,5000,0.00,-0.24,0.00,0.0,0.0,0.0,-0.2
3404,1.10,0.69,-0.47,0.0,0.0,0.0,0,5000,0.16,-0.08,0.00,0.0,0.0,0.0,-0.2
3426,0.39,0.67,-1.32,0.0,0.0,0.0,0,5000,0.18,-0.26,0.00,0.0,0.0,0.0,-0.2
3447,0.25,0.63,-0.75,0.0,0.0,0.0,0,5004,-0.02,-0.12,0.00,0.0,0.0,0.0,-0.2
3469,0.22,0.60,0.08,0.0,0.0,0.0,0,5004,-0.02,0.39,0.00,0.0,0.0,0.0,-0.2
3490,0.53,0.60,0.47,0.0,0.0,0.0,0,5000,0.33,-0.04,0.00,0.0,0.0,0.0,-0.2
3512,0.69,0.61,-0.04,0.0,0.0,0.0,0,5000,0.18,-0.29,0.00,0.0,0.0,0.0,-0.2
3533,0.01,0.60,1.06,0.0,0.0,0.0,0,5004,0.69,-0.63,0.00,0.0,0.0,0.0,-0.2
3555,-0.84,0.58,5.24,0.0,0.0,0.0,0,5004,1.12,-0.61,0.00,0.0,0.0,0.0,-0.2
3576,-0.52,0.66,10.78,0.0,0.0,0.0,0,5004,0.47,0.43,0.00,0.0,0.0,0.0,-0.2
3598,0.78,0.90,13.41,0.0,0.0,0.0,0,5000,0.00,0.69,0.00,0.0,0.0,0.0,-0.2
3619,2.50,1.24,12.17,0.0,0.0,0.0,0,5000,0.16,0.77,0.00,0.0,0.0,0.0,-0.2
3641,2.64,1.55,7.34,0.0,0.0,0.0,0,5004,0.04,-0.20,0.00,0.0,0.0,0.0,-0.2
3662,2.26,1.74,3.53,0.0,0.0,0.0,0,5000,0.18,-0.57,0.00,0.0,0.0,0.0,-0.2
3684,1.54,1.82,2.10,0.0,0.0,0.0,0,5000,0.08,-0.65,0.00,0.0,0.0,0.0,-0.2
3705,1.48,1.85,3.22,0.0,0.0,0.0,0,5004,0.10,-0.16,0.00,0.0,0.0,0.0,-0.2
3727,1.60,1.91,4.53,0.0,0.0,0.0,0,5004,0.10,0.16,0.00,0.0,0.0,0.0,-0.2
3747,2.30,2.01,4.38,0.0,0.0,0.0,0,5000,0.10,0.22,0.00,0.0,0.0,0.0,-0.2
3769,2.59,2.12,3.26,0.0,0.0,0.0,0,5004,0.12,-0.02,0.00,0.0,0.0,0.0,-0.2
3790,2.86,2.21,1.12,0.0,0.0,0.0,0,5004,0.31,-0.08,0.00,0.0,0.0,0.0,-0.2
3812,2.27,2.23,-0.47,0.0,0.0,0.0,0,5004,0.71,-0.43,0.00,0.0,0.0,0.0,-0.2
3833,2.20,2.20,-1.26,0.0,0.0,0.0,0,5000,0.43,-0.37,0.00,0.0,0.0,0.0,-0.2
3855,1.79,2.16,-0.90,0.0,0.0,0.0,0,5004,-0.10,-0.08,0.00,0.0,0.0,0.0,-0.2
3876,1.71,2.13,-0.16,0.0,0.0,0.0,0,5004,0.10,0.08,0.00,0.0,0.0,0.0,-0.2
3898,2.24,2.12,-0.18,0.0,0.0,0.0,0,5000,0.04,0.14,0.00,0.0,0.0,0.0,-0.2
3919,2.63,2.12,-1.73,0.0,0.0,0.0,0,5004,-0.39,0.12,0.00,0.0,0.0,0.0,-0.2
3941,2.24,2.10,-3.36,0.0,0.0,0.0,0,5004,-0.16,0.26,0.00,0.0,0.0,0.0,-0.2
3962,1.56,2.01,-3.36,0.0,0.0,0.0,0,5000,0.10,-0.51,0.00,0.0,0.0,0.0,-0.2
3984,1.45,1.92,-1.96,0.0,0.0,0.0,0,5004,-0.39,0.20,0.00,0.0,0.0,0.0,-0.2
4005,1.89,1.87,-0.86,0.0,0.0,0.0,0,5004,-0.20,0.49,0.00,0.0,0.0,0.0,-0.2
4027,1.95,1.86,-1.57,0.0,0.0,0.0,0,5004,-0.04,0.16,0.00,0.0,0.0,0.0,-0.2
4047,1.94,1.82,-2.26,0.0,0.0,0.0,0,5000,0.06,-0.22,0.00,0.0,0.0,0.0,-0.2
4069,1.61,1.77,-2.57,0.0,0.0,0.0,0,5004,-0.06,-0.47,0.00,0.0,0.0,0.0,-0.2
4090,1.03,1.69,-1.39,0.0,0.0,0.0,0,5004,-0.06,-0.10,0.00,0.0,0.0,0.0,-0.2
4112,1.39,1.64,0.53,0.0,0.0,0.0,0,5000,-0.10,0.20,0.00,0.0,0.0,0.0,-0.2
4133,1.78,1.66,1.24,0.0,0.0,0.0,0,5000,-0.04,0.33,0.00,0.0,0.0,0.0,-0.2
4155,1.99,1.70,0.57,0.0,0.0,0.0,0,5000,0.08,0.26,0.00,0.0,0.0,0.0,-0.2
4176,1.93,1.72,-0.90,0.0,0.0,0.0,0,5000,0.08,-0.26,0.00,0.0,0.0,0.0,-0.2
4198,1.51,1.69,-1.47,0.0,0.0,0.0,0,5004,0.08,-0.24,0.00,0.0,0.0,0.0,-0.2
4219,1.44,1.64,-1.06,0.0,0.0,0.0,0,5000,0.00,0.02,0.00,0.0,0.0,0.0,-0.2
4241,1.58,1.62,-0.49,0.0,0.0,0.0,0,5000,0.04,0.45,0.00,0.0,0.0,0.0,-0.2
4262,1.60,1.63,-0.57,0.0,0.0,0.0,0,5004,-0.18,0.00,0.00,0.0,0.0,0.0,-0.2
4284,1.60,1.61,-0.41,0.0,0.0,0.0,0,5004,0.08,-0.26,0.00,0.0,0.0,0.0,-0.2
4305,1.28,1.59,0.71,0.0,0.0,0.0,0,5000,0.20,-0.35,0.00,0.0,0.0,0.0,-0.2
4326,1.71,1.61,1.59,0.0,0.0,0.0,0,5000,-0.02,0.16,0.00,0.0,0.0,0.0,-0.2
4347,1.88,1.66,1.20,0.0,0.0,0.0,0,5004,0.02,0.10,0.00,0.0,0.0,0.0,-0.2
4369,1.90,1.69,0.55,0.0,0.0,0.0,0,5000,0.37,-0.20,0.00,0.0,0.0,0.0,-0.2
4390,1.43,1.68,0.73,0.0,0.0,0.0,0,5000,0.31,0.08,0.00,0.0,0.0,0.0,-0.2
4412,1.32,1.67,1.88,0.0,0.0,0.0,0,5000,-0.02,-0.20,0.00,0.0,0.0,0.0,-0.2
4433,1.64,1.71,3.51,0.0,0.0,0.0,0,5004,0.20,0.22,0.00,0.0,0.0,0.0,-0.2
4455,1.91,1.79,3.91,0.0,0.0,0.0,0,5000,0.33,0.06,0.00,0.0,0.0,0.0,-0.2
4476,1.92,1.89,3.34,0.0,0.0,0.0,0,5012,0.04,-0.12,0.00,0.0,0.0,0.0,-0.2
4498,2.00,1.96,3.30,0.0,0.0,0.0,0,5000,-0.06,-0.08,0.00,0.0,0.0,0.0,-0.2
4519,2.47,2.05,2.43,0.0,0.0,0.0,0,5000,-0.06,0.26,0.00,0.0,0.0,0.0,-0.2
4541,2.56,2.11,0.69,0.0,0.0,0.0,0,5004,0.24,0.08,0.00,0.0,0.0,0.0,-0.2
4562,2.04,2.12,-0.16,0.0,0.0,0.0,0,5004,0.06,-0.61,0.00,0.0,0.0,0.0,-0.2
4584,1.58,2.10,1.16,0.0,0.0,0.0,0,5000,-0.22,-0.08,0.00,0.0,0.0,0.0,-0.2
4605,2.50,2.14,1.75,0.0,0.0,0.0,0,5000,-0.24,0.26,0.00,0.0,0.0,0.0,-0.2
4626,2.93,2.22,-0.20,0.0,0.0,0.0,0,5004,0.12,0.35,0.00,0.0,0.0,0.0,-0.2
4647,2.70,2.23,-3.24,0.0,0.0,0.0,0,5000,0.04,-0.06,0.00,0.0,0.0,0.0,-0.2
4669,1.95,2.15,-4.48,0.0,0.0,0.0,0,5004,0.00,-0.49,0.00,0.0,0.0,0.0,-0.2
4690,1.34,2.02,-2.85,0.0,0.0,0.0,0,5000,0.06,-0.22,0.00,0.0,0.0,0.0,-0.2
4712,1.55,1.94,-1.02,0.0,0.0,0.0,0,5004,-0.04,0.33,0.00,0.0,0.0,0.0,-0.2
4733,2.38,1.93,-1.14,0.0,0.0,0.0,0,5000,-0.33,0.49,0.00,0.0,0.0,0.0,-0.2
4755,2.18,1.92,-2.20,0.0,0.0,0.0,0,5004,-0.14,0.18,0.00,0.0,0.0,0.0,-0.2
4776,1.56,1.85,-2.51,0.0,0.0,0.0,0,5000,0.06,-0.12,0.00,0.0,0.0,0.0,-0.2
4798,1.58,1.79,-2.57,0.0,0.0,0.0,0,5000,-0.24,0.20,0.00,0.0,0.0,0.0,-0.2
4819,1.85,1.75,-2.89,0.0,0.0,0.0,0,5000,-0.12,0.20,0.00,0.0,0.0,0.0,-0.2
4841,1.56,1.68,-3.14,0.0,0.0,0.0,0,5000,0.14,-0.26,0.00,0.0,0.0,0.0,-0.2
4862,1.26,1.59,-2.36,0.0,0.0,0.0,0,5004,-0.02,-0.20,0.00,0.0,0.0,0.0,-0.2
4884,1.33,1.53,-1.37,0.0,0.0,0.0,0,5004,0.16,0.12,0.00,0.0,0.0,0.0,-0.2
4905,1.79,1.51,-1.24,0.0,0.0,0.0,0,5004,0.24,0.26,0.00,0.0,0.0,0.0,-0.2
4927,1.39,1.47,-1.49,0.0,0.0,0.0,0,5004,0.00,-0.14,0.00,0.0,0.0,0.0,-0.2
4947,1.12,1.43,-0.61,0.0,0.0,0.0,0,5004,0.02,-0.04,0.00,0.0,0.0,0.0,-0.2
4969,0.76,1.39,0.90,0.0,0.0,0.0,0,5004,-0.20,0.02,0.00,0.0,0.0,0.0,-0.2
4990,1.02,1.41,2.61,0.0,0.0,0.0,0,5000,-0.08,0.02,0.00,0.0,0.0,0.0,-0.2
5012,1.47,1.47,3.77,0.0,0.0,0.0,0,5004,0.26,0.26,0.00,0.0,0.0,0.0,-0.2
5033,1.62,1.56,3.91,0.0,0.0,0.0,0,5000,0.26,0.00,0.00,0.0,0.0,0.0,-0.2
5055,1.53,1.64,4.26,0.0,0.0,0.0,0,5000,0.31,-0.18,0.00,0.0,0.0,0.0,-0.2
5076,1.78,1.74,4.67,0.0,0.0,0.0,0,5000,0.08,-0.06,0.00,0.0,0.0,0.0,-0.2
5098,2.12,1.84,4.44,0.0,0.0,0.0,0,5004,0.02,-0.02,0.00,0.0,0.0,0.0,-0.2
5120,2.17,1.94,3.59,0.0,0.0,0.0,0,5000,-0.10,0.06,0.00,0.0,0.0,0.0,-0.2
5141,2.58,2.05,2.45,0.0,0.0,0.0,0,5004,-0.08,0.31,0.00,0.0,0.0,0.0,-0.2
5163,2.81,2.12,0.02,0.0,0.0,0.0,0,5000,0.00,0.16,0.00,0.0,0.0,0.0,-0.2
5184,2.45,2.13,-2.55,0.0,0.0,0.0,0,5004,0.20,-0.33,0.00,0.0,0.0,0.0,-0.2
5204,1.72,2.06,-2.38,0.0,0.0,0.0,0,5000,0.39,-0.49,0.00,0.0,0.0,0.0,-0.2
5226,1.59,1.99,-0.96,0.0,0.0,0.0,0,5000,0.10,-0.06,0.00,0.0,0.0,0.0,-0.2
5248,1.97,1.97,0.14,0.0,0.0,0.0,0,5000,-0.04,0.43,0.00,0.0,0.0,0.0,-0.2
5269,1.97,1.98,0.10,0.0,0.0,0.0,0,5000,-0.10,0.04,0.00,0.0,0.0,0.0,-0.2
5291,1.95,1.99,-0.31,0.0,0.0,0.0,0,5000,-0.14,0.16,0.00,0.0,0.0,0.0,-0.2
5312,2.46,2.00,-1.32,0.0,0.0,0.0,0,5004,-0.20,0.06,0.00,0.0,0.0,0.0,-0.2
5334,2.13,1.97,-2.24,0.0,0.0,0.0,0,5000,-0.16,-0.06,0.00,0.0,0.0,0.0,-0.2
5355,1.44,1.92,-1.65,0.0,0.0,0.0,0,5000,0.06,-0.33,0.00,0.0,0.0,0.0,-0.2
5377,1.33,1.86,0.04,0.0,0.0,0.0,0,5004,-0.08,0.06,0.00,0.0,0.0,0.0,-0.2
5398,1.75,1.85,1.35,0.0,0.0,0.0,0,5004,-0.33,0.18,0.00,0.0,0.0,0.0,-0.2
5420,2.31,1.89,0.37,0.0,0.0,0.0,0,5004,-0.08,0.24,0.00,0.0,0.0,0.0,-0.2
5441,2.23,1.92,-1.08,0.0,0.0,0.0,0,5000,0.12,-0.12,0.00,0.0,0.0,0.0,-0.2
5463,1.68,1.88,-1.24,0.0,0.0,0.0,0,5000,0.12,-0.08,0.00,0.0,0.0,0.0,-0.2
5484,1.75,1.85,-0.69,0.0,0.0,0.0,0,5000,-0.22,-0.02,0.00,0.0,0.0,0.0,-0.2
