# trial: trial_059.csv
# note: P3 trial 9: station keep re-validation, soft-start, vp .04 vi .02
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg
2483,26.35,26.18,2.89,0.0,0.0,0.0,0,5004,0.22,0.22,0.00,0.0,0.0,0.0,-0.1
2504,26.62,26.25,2.47,0.0,0.0,0.0,0,5004,0.26,0.39,0.00,0.0,0.0,0.0,-0.1
2526,26.35,26.31,2.65,0.0,0.0,0.0,0,5000,0.41,0.35,0.00,0.0,0.0,0.0,-0.1
2547,25.97,26.36,2.85,0.0,0.0,0.0,0,5004,-0.04,-0.24,0.00,0.0,0.0,0.0,-0.1
2569,26.39,26.43,4.02,0.0,0.0,0.0,0,5000,0.24,0.47,0.00,0.0,0.0,0.0,-0.1
2590,26.71,26.53,3.32,0.0,0.0,0.0,0,5004,0.18,0.35,0.00,0.0,0.0,0.0,-0.1
2612,26.66,26.59,1.77,0.0,0.0,0.0,0,5000,-0.12,-0.53,0.00,0.0,0.0,0.0,-0.1
2633,26.08,26.61,2.36,0.0,0.0,0.0,0,5004,-0.18,-0.84,0.00,0.0,0.0,0.0,-0.1
2655,26.10,26.66,4.59,0.0,0.0,0.0,0,5000,-0.04,-0.06,0.00,0.0,0.0,0.0,-0.2
2676,27.18,26.77,5.36,0.0,0.0,0.0,0,5000,0.37,0.94,0.00,0.0,0.0,0.0,-0.1
2698,27.66,26.92,4.55,0.0,0.0,0.0,0,5004,0.63,0.90,0.00,0.0,0.0,0.0,-0.1
2719,26.87,27.02,2.96,0.0,0.0,0.0,0,5004,0.39,0.51,0.00,0.0,0.0,0.0,-0.1
2741,26.69,27.06,2.55,0.0,0.0,0.0,0,5000,-0.12,-0.55,0.00,0.0,0.0,0.0,-0.1
2762,27.22,27.12,3.18,0.0,0.0,0.0,0,5004,-0.04,-0.14,0.00,0.0,0.0,0.0,-0.1
# ARMING: hold upright ~2 s (hum = in gate)
2785,26.85,27.19,4.40,0.0,0.0,0.0,0,5000,0.04,-0.08,0.00,0.0,0.0,0.0,-0.1
2806,27.59,27.29,4.55,0.0,0.0,0.0,0,5004,0.20,0.45,0.00,0.0,0.0,0.0,-0.1
2828,27.71,27.41,3.83,0.0,0.0,0.0,0,5004,0.24,0.55,0.00,0.0,0.0,0.0,-0.1
2849,28.00,27.50,2.38,0.0,0.0,0.0,0,5004,0.39,0.35,0.00,0.0,0.0,0.0,-0.1
2871,27.16,27.54,2.18,0.0,0.0,0.0,0,5000,0.37,0.02,0.00,0.0,0.0,0.0,-0.1
2892,27.20,27.56,3.14,0.0,0.0,0.0,0,5000,0.22,0.22,0.00,0.0,0.0,0.0,-0.1
2914,27.80,27.65,3.10,0.0,0.0,0.0,0,5004,0.35,0.55,0.00,0.0,0.0,0.0,-0.1
2935,27.68,27.70,2.32,0.0,0.0,0.0,0,5004,0.14,-0.12,0.00,0.0,0.0,0.0,-0.1
2957,27.59,27.74,2.85,0.0,0.0,0.0,0,5004,-0.04,-0.31,0.00,0.0,0.0,0.0,-0.1
2978,27.69,27.80,2.83,0.0,0.0,0.0,0,5004,-0.14,0.06,0.00,0.0,0.0,0.0,-0.1
3000,27.51,27.85,4.22,0.0,0.0,0.0,0,5000,0.08,-0.53,0.00,0.0,0.0,0.0,-0.1
3021,27.47,27.94,7.13,0.0,0.0,0.0,0,5004,0.75,0.37,0.00,0.0,0.0,0.0,-0.1
3043,28.34,28.12,7.93,0.0,0.0,0.0,0,5000,0.88,1.53,0.00,0.0,0.0,0.0,-0.1
3064,29.61,28.31,2.81,0.0,0.0,0.0,0,5004,0.49,1.35,0.00,0.0,0.0,0.0,-0.0
3086,29.94,28.40,-6.16,0.0,0.0,0.0,0,5000,-1.16,-0.41,0.00,0.0,0.0,0.0,-0.0
3107,29.28,28.25,-14.23,0.0,0.0,0.0,0,5000,-2.04,-0.59,0.00,0.0,0.0,0.0,-0.0
3129,30.41,27.96,-25.52,0.0,0.0,0.0,0,5004,-2.65,0.45,0.00,0.0,0.0,0.0,-0.0
3150,29.48,27.49,-36.26,0.0,0.0,0.0,0,5004,-2.16,0.47,0.00,0.0,0.0,0.0,-0.0
3172,26.79,26.68,-42.40,0.0,0.0,0.0,0,5004,-2.20,-0.49,0.00,0.0,0.0,0.0,-0.0
3193,25.43,25.78,-41.01,0.0,0.0,0.0,0,5004,-0.77,1.77,0.00,0.0,0.0,0.0,-0.0
