# trial: trial_060.csv
# note: P3 wireless trial 1: untethered balance, camera mass on front
# gains: Kp=15.0 Ki=0.5 Kd=0.2 trim=6.0 link=wifi
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg,vbat
259012,73.83,73.94,-0.02,0.0,0.0,0.0,0,5000,0.02,0.06,0.00,0.0,0.0,0.0,-127.1,8.07
259054,73.98,73.94,0.02,0.0,0.0,0.0,0,5000,-0.04,-0.08,0.00,0.0,0.0,0.0,-127.1,8.07
259097,74.06,73.95,0.00,0.0,0.0,0.0,0,5000,0.06,0.04,0.00,0.0,0.0,0.0,-127.1,8.07
259139,74.17,73.96,-0.06,0.0,0.0,0.0,0,5000,0.00,0.00,0.00,0.0,0.0,0.0,-127.1,8.07
259182,73.97,73.98,-0.02,0.0,0.0,0.0,0,5000,0.10,-0.02,0.00,0.0,0.0,0.0,-127.1,8.07
# ARMING: hold upright ~2 s (hum = in gate)
259225,73.71,73.96,0.02,0.0,0.0,0.0,0,5000,0.06,-0.02,0.00,0.0,0.0,0.0,-127.1,8.07
259268,73.99,73.95,-0.02,0.0,0.0,0.0,0,5000,0.06,0.10,0.00,0.0,0.0,0.0,-127.1,8.07
259310,73.87,73.94,-0.06,0.0,0.0,0.0,0,5000,-0.02,-0.10,0.00,0.0,0.0,0.0,-127.1,8.07
259354,73.82,73.95,0.00,0.0,0.0,0.0,0,5004,0.02,0.04,0.00,0.0,0.0,0.0,-127.1,8.07
259396,74.03,73.94,0.00,0.0,0.0,0.0,0,5004,0.12,-0.02,0.00,0.0,0.0,0.0,-127.1,8.07
259439,73.76,73.95,-0.04,0.0,0.0,0.0,0,5004,0.04,-0.08,0.00,0.0,0.0,0.0,-127.1,8.07
259482,73.82,73.95,0.04,0.0,0.0,0.0,0,5004,0.00,0.02,0.00,0.0,0.0,0.0,-127.1,8.07
259524,74.00,73.95,0.02,0.0,0.0,0.0,0,5004,0.02,-0.02,0.00,0.0,0.0,0.0,-127.1,8.07
259567,73.86,73.95,-0.12,0.0,0.0,0.0,0,5004,0.02,0.00,0.00,0.0,0.0,0.0,-127.1,8.07
259610,73.83,73.96,0.02,0.0,0.0,0.0,0,5004,-0.04,-0.06,0.00,0.0,0.0,0.0,-127.1,8.07
