# trial: trial_061.csv
# note: P3 wireless trial 2: trim 7.5 for camera mass
# gains: Kp=15.0 Ki=0.5 Kd=0.2 trim=7.5 link=wifi
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=6.00 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=7.50 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg,vbat
393724,31.44,32.53,-22.40,0.0,0.0,0.0,0,5000,-0.86,-2.59,0.00,0.0,0.0,0.0,15.7,8.07
393767,32.52,31.93,-10.38,0.0,0.0,0.0,0,5004,0.10,0.14,0.00,0.0,0.0,0.0,15.8,8.07
393809,32.94,31.79,-8.52,0.0,0.0,0.0,0,5004,-0.24,-0.71,0.00,0.0,0.0,0.0,15.8,8.07
393852,31.92,31.63,-10.50,0.0,0.0,0.0,0,5000,-1.04,-1.28,0.00,0.0,0.0,0.0,15.7,8.07
393894,31.45,31.38,-0.63,0.0,0.0,0.0,0,5000,-0.16,-0.86,0.00,0.0,0.0,0.0,15.7,8.07
# ARMING: hold upright ~2 s (hum = in gate)
393937,32.96,31.68,-3.18,0.0,0.0,0.0,0,5000,0.08,0.55,0.00,0.0,0.0,0.0,15.7,8.07
393979,31.36,31.63,-5.48,0.0,0.0,0.0,0,5000,-0.49,-0.51,0.00,0.0,0.0,0.0,15.6,8.07
394022,32.30,31.55,-8.11,0.0,0.0,0.0,0,5004,0.98,2.00,0.00,0.0,0.0,0.0,15.7,8.07
394064,31.80,31.12,-24.66,0.0,0.0,0.0,0,5000,0.90,3.04,0.00,0.0,0.0,0.0,15.8,8.07
394107,30.18,30.07,-27.74,0.0,0.0,0.0,0,5004,-1.63,-4.61,0.00,0.0,0.0,0.0,15.8,8.07
394150,29.44,29.17,-26.03,0.0,0.0,0.0,0,5000,0.29,2.45,0.00,0.0,0.0,0.0,15.7,8.07
394192,28.00,27.92,-39.85,0.0,0.0,0.0,0,5004,0.14,4.30,0.00,0.0,0.0,0.0,15.9,8.07
394234,24.91,26.48,-30.21,0.0,0.0,0.0,0,5000,-3.10,-4.89,0.00,0.0,0.0,0.0,15.8,8.07
394277,23.91,25.39,-20.08,0.0,0.0,0.0,0,5004,-2.30,-4.28,0.00,0.0,0.0,0.0,15.6,8.07
394320,23.81,24.45,-19.67,0.0,0.0,0.0,0,5004,-0.77,-0.06,0.00,0.0,0.0,0.0,15.5,8.07
394363,23.37,23.68,-18.32,0.0,0.0,0.0,0,5004,-1.26,-1.35,0.00,0.0,0.0,0.0,15.5,8.07
394406,21.89,23.05,-14.41,0.0,0.0,0.0,0,5000,-1.08,-0.37,0.00,0.0,0.0,0.0,15.4,8.07
394449,21.72,22.32,-15.61,0.0,0.0,0.0,0,5000,-1.22,-1.59,0.00,0.0,0.0,0.0,15.5,8.07
394492,21.47,21.73,-12.13,0.0,0.0,0.0,0,5000,-1.75,-3.71,0.00,0.0,0.0,0.0,15.3,8.07
394535,20.28,21.25,-12.31,0.0,0.0,0.0,0,5004,-1.12,-1.63,0.00,0.0,0.0,0.0,15.2,8.07
394578,20.45,20.63,-13.43,0.0,0.0,0.0,0,5004,-0.61,-0.08,0.00,0.0,0.0,0.0,15.2,8.07
394621,19.83,20.10,-14.19,0.0,0.0,0.0,0,5000,-0.53,1.20,0.00,0.0,0.0,0.0,15.2,8.07
394664,18.67,19.52,-8.87,0.0,0.0,0.0,0,5004,-1.37,-3.00,0.00,0.0,0.0,0.0,15.1,8.07
394706,20.17,19.11,-16.33,0.0,0.0,0.0,0,5004,-0.49,0.12,0.00,0.0,0.0,0.0,15.1,8.07
394749,17.82,18.48,-15.25,0.0,0.0,0.0,0,5000,-2.20,-5.14,0.00,0.0,0.0,0.0,15.0,8.07
394792,12.54,17.86,-5.79,0.0,0.0,0.0,0,5000,-2.59,-8.38,0.00,0.0,0.0,0.0,14.5,8.07
394835,18.26,17.82,-1.08,0.0,0.0,0.0,0,5000,0.84,2.75,0.00,0.0,0.0,0.0,14.6,8.07
394877,17.24,17.70,-9.72,0.0,0.0,0.0,0,5000,-0.35,0.75,0.00,0.0,0.0,0.0,14.6,8.07
394919,15.47,17.25,-1.39,0.0,0.0,0.0,0,5000,0.14,-0.41,0.00,0.0,0.0,0.0,14.6,8.07
394962,19.50,17.36,-8.48,0.0,0.0,0.0,0,5004,0.37,2.91,0.00,0.0,0.0,0.0,14.6,8.07
395004,17.04,16.95,-19.16,0.0,0.0,0.0,0,5000,-1.41,0.12,0.00,0.0,0.0,0.0,14.7,8.07
395047,14.99,15.92,-19.55,0.0,0.0,0.0,0,5000,-0.67,-0.20,0.00,0.0,0.0,0.0,14.7,8.07
395090,15.84,15.05,-26.68,0.0,0.0,0.0,0,5000,-0.04,2.24,0.00,0.0,0.0,0.0,14.7,8.07
395132,13.00,13.54,-42.80,0.0,0.0,0.0,0,5000,-0.75,2.55,0.00,0.0,0.0,0.0,14.9,8.07
395175,8.68,11.55,-31.27,0.0,0.0,0.0,0,5004,-2.32,-10.44,0.00,0.0,0.0,0.0,14.7,8.07
395218,10.61,9.99,-43.11,0.0,0.0,0.0,0,5000,-1.28,-0.29,0.00,0.0,0.0,0.0,14.4,8.07
395261,10.62,8.64,-24.15,0.0,0.0,0.0,0,5004,-1.39,-6.24,0.00,0.0,0.0,0.0,14.4,8.07
395303,2.54,7.10,-11.80,0.0,0.0,0.0,0,5000,-1.39,-5.44,0.00,0.0,0.0,0.0,14.1,8.07
