# trial: trial_062.csv
# note: P3 wireless trial 3: re-validation, centered ruler, trim 12.9
# gains: Kp=15.0 Ki=0.5 Kd=0.2 trim=12.9 link=wifi
# Kp=15.000 Ki=0.500 Kd=0.200 trim=7.50 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=7.50 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=7.50 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
# Kp=15.000 Ki=0.500 Kd=0.200 trim=12.90 db=19/17
# vp=0.040 vi=0.020 yp=2.00 k=0.1400
time_ms,raw_angle,kalman_angle,gyro_rate,p_term,i_term,d_term,motor_out,loop_dt_us,gyro_y,gyro_z,tilt_cmd,v_est,v_set,dist_cm,yaw_deg,vbat
2246984,14.95,14.91,-2.10,0.0,0.0,0.0,0,5004,-0.08,0.24,0.00,0.0,0.0,0.0,-10.4,7.96
2247027,14.70,14.82,-1.32,0.0,0.0,0.0,0,5000,-0.10,0.04,0.00,0.0,0.0,0.0,-10.4,7.96
2247070,14.51,14.77,-0.96,0.0,0.0,0.0,0,5004,-0.04,-0.43,0.00,0.0,0.0,0.0,-10.4,7.96
2247113,14.56,14.75,1.41,0.0,0.0,0.0,0,5000,0.04,0.59,0.00,0.0,0.0,0.0,-10.4,7.96
2247155,14.76,14.80,-0.16,0.0,0.0,0.0,0,5004,-0.10,-0.65,0.00,0.0,0.0,0.0,-10.4,7.96
# ARMING: hold upright ~2 s (hum = in gate)
2247200,14.16,14.80,1.57,0.0,0.0,0.0,0,5004,0.18,1.02,0.00,0.0,0.0,0.0,-10.4,7.96
2247243,15.23,14.86,-0.41,0.0,0.0,0.0,0,5004,-0.14,0.51,0.00,0.0,0.0,0.0,-10.4,7.96
2247286,14.15,14.79,-1.26,0.0,0.0,0.0,0,5004,-0.06,-0.49,0.00,0.0,0.0,0.0,-10.4,7.96
2247329,15.02,14.78,0.47,0.0,0.0,0.0,0,5000,0.10,0.20,0.00,0.0,0.0,0.0,-10.4,7.96
2247371,14.96,14.80,-1.10,0.0,0.0,0.0,0,5004,-0.31,0.14,0.00,0.0,0.0,0.0,-10.4,7.96
2247414,14.35,14.72,-1.30,0.0,0.0,0.0,0,5004,-0.08,-0.67,0.00,0.0,0.0,0.0,-10.4,7.96
2247458,15.29,14.71,0.45,0.0,0.0,0.0,0,5000,0.10,0.75,0.00,0.0,0.0,0.0,-10.4,7.96
2247500,14.16,14.68,-1.67,0.0,0.0,0.0,0,5000,-0.24,-0.92,0.00,0.0,0.0,0.0,-10.4,7.96
2247543,14.90,14.65,-0.55,0.0,0.0,0.0,0,5004,0.00,0.57,0.00,0.0,0.0,0.0,-10.4,7.96
2247586,13.87,14.57,-0.63,0.0,0.0,0.0,0,5000,0.04,-0.71,0.00,0.0,0.0,0.0,-10.4,7.96
2247629,15.43,14.63,-0.47,0.0,0.0,0.0,0,5004,-0.02,0.65,0.00,0.0,0.0,0.0,-10.4,7.96
